ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,0.3464144405513164, https://leetcode.com/problems/two-sum,Not Done
2,Add Two Numbers,33.9%,Medium,0.303844163691924, https://leetcode.com/problems/add-two-numbers,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.2612738868325316, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii,Not Done
741,Cherry Pickup,33.9%,Hard,0.2090917978585594, https://leetcode.com/problems/cherry-pickup,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.1872630233931392, https://leetcode.com/problems/longest-palindromic-substring,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.1446927465337468, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.1110882064011508, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Not Done
274,H-Index,36.1%,Medium,0.0741690725722787, https://leetcode.com/problems/h-index,Not Done
706,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap,Not Done
22,Generate Parentheses,62.7%,Medium,0.0675932911325281, https://leetcode.com/problems/generate-parentheses,Not Done
115,Distinct Subsequences,38.3%,Hard,0.0614947816078062, https://leetcode.com/problems/distinct-subsequences,Not Done
739,Daily Temperatures,63.3%,Medium,0.0611138332322297, https://leetcode.com/problems/daily-temperatures,Not Done
420,Strong Password Checker,14.0%,Hard,0.0610876919798381, https://leetcode.com/problems/strong-password-checker,Not Done
218,The Skyline Problem,34.6%,Hard,0.0564413109049518, https://leetcode.com/problems/the-skyline-problem,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0547332219608938, https://leetcode.com/problems/minimum-window-substring,Not Done
728,Self Dividing Numbers,74.3%,Easy,0.054658412537864, https://leetcode.com/problems/self-dividing-numbers,Not Done
15,3Sum,26.8%,Medium,0.0535746746494733, https://leetcode.com/problems/3sum,Not Done
206,Reverse Linked List,62.5%,Easy,0.0463469672541273, https://leetcode.com/problems/reverse-linked-list,Not Done
725,Split Linked List in Parts,52.2%,Medium,0.0460380492025572, https://leetcode.com/problems/split-linked-list-in-parts,Not Done
53,Maximum Subarray,46.5%,Easy,0.0429934068559204, https://leetcode.com/problems/maximum-subarray,Not Done
37,Sudoku Solver,43.6%,Hard,0.0405278336121183, https://leetcode.com/problems/sudoku-solver,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
202,Happy Number,50.4%,Easy,0.0385374444418702, https://leetcode.com/problems/happy-number,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0384909606076536, https://leetcode.com/problems/trapping-rain-water,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.0378713606995214, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
7,Reverse Integer,25.8%,Easy,0.0370311099306989, https://leetcode.com/problems/reverse-integer,Not Done
31,Next Permutation,32.6%,Medium,0.0368610211315989, https://leetcode.com/problems/next-permutation,Not Done
74,Search a 2D Matrix,36.5%,Medium,0.0368535487588291, https://leetcode.com/problems/search-a-2d-matrix,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0345656531122808, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
214,Shortest Palindrome,29.8%,Hard,0.0341913647482793, https://leetcode.com/problems/shortest-palindrome,Not Done
12,Integer to Roman,55.1%,Medium,0.0337015888109755, https://leetcode.com/problems/integer-to-roman,Not Done
617,Merge Two Binary Trees,74.1%,Easy,0.0326492986676611, https://leetcode.com/problems/merge-two-binary-trees,Not Done
1114,Print in Order,65.7%,Easy,0.0317486983145803, https://leetcode.com/problems/print-in-order,Not Done
55,Jump Game,34.6%,Medium,0.0309852523818078, https://leetcode.com/problems/jump-game,Not Done
368,Largest Divisible Subset,38.0%,Medium,0.0303513434241384, https://leetcode.com/problems/largest-divisible-subset,Not Done
176,Second Highest Salary,31.6%,Easy,0.0292525428374373, https://leetcode.com/problems/second-highest-salary,Not Done
1108,Defanging an IP Address,87.5%,Easy,0.0290138211907157, https://leetcode.com/problems/defanging-an-ip-address,Not Done
219,Contains Duplicate II,37.7%,Easy,0.0285009791675499, https://leetcode.com/problems/contains-duplicate-ii,Not Done
11,Container With Most Water,50.8%,Medium,0.0272764845762222, https://leetcode.com/problems/container-with-most-water,Not Done
343,Integer Break,50.4%,Medium,0.0271571339689074, https://leetcode.com/problems/integer-break,Not Done
312,Burst Balloons,51.8%,Hard,0.0255278699533429, https://leetcode.com/problems/burst-balloons,Not Done
220,Contains Duplicate III,20.9%,Medium,0.0248769047554045, https://leetcode.com/problems/contains-duplicate-iii,Not Done
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0242289259743798, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,Not Done
836,Rectangle Overlap,48.6%,Easy,0.0242289259743798, https://leetcode.com/problems/rectangle-overlap,Not Done
221,Maximal Square,37.7%,Medium,0.0221084907542034, https://leetcode.com/problems/maximal-square,Not Done
18,4Sum,33.7%,Medium,0.0220111601013515, https://leetcode.com/problems/4sum,Not Done
45,Jump Game II,30.6%,Hard,0.0213531244705689, https://leetcode.com/problems/jump-game-ii,Not Done
300,Longest Increasing Subsequence,42.6%,Medium,0.0208939436819121, https://leetcode.com/problems/longest-increasing-subsequence,Not Done
525,Contiguous Array,42.8%,Medium,0.0197537287362325, https://leetcode.com/problems/contiguous-array,Not Done
229,Majority Element II,35.6%,Medium,0.0190572704102861, https://leetcode.com/problems/majority-element-ii,Not Done
146,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache,Not Done
200,Number of Islands,46.8%,Medium,0.0179254817660544, https://leetcode.com/problems/number-of-islands,Not Done
993,Cousins in Binary Tree,52.0%,Easy,0.0174144583686365, https://leetcode.com/problems/cousins-in-binary-tree,Not Done
6,ZigZag Conversion,36.3%,Medium,0.0172682725322634, https://leetcode.com/problems/zigzag-conversion,Not Done
175,Combine Two Tables,60.8%,Easy,0.0172352025814879, https://leetcode.com/problems/combine-two-tables,Not Done
994,Rotting Oranges,49.2%,Medium,0.0170879418971956, https://leetcode.com/problems/rotting-oranges,Not Done
