ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
736,Parse Lisp Expression,47.5%,Hard,0.7290367865107017, https://leetcode.com/problems/parse-lisp-expression,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.4958698074092965, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
695,Max Area of Island,62.7%,Medium,0.3142559572771687, https://leetcode.com/problems/max-area-of-island,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0810889781757635, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
49,Group Anagrams,56.9%,Medium,0.0566272456368464, https://leetcode.com/problems/group-anagrams,Not Done
200,Number of Islands,46.8%,Medium,0.0333591177498745, https://leetcode.com/problems/number-of-islands,Not Done
362,Design Hit Counter,63.7%,Medium,0.0243173076507063, https://leetcode.com/problems/design-hit-counter,Not Done
322,Coin Change,35.5%,Medium,0.0086714099575511, https://leetcode.com/problems/coin-change,Not Done
230,Kth Smallest Element in a BST,60.2%,Medium,0.0060855200738027, https://leetcode.com/problems/kth-smallest-element-in-a-bst,Not Done
127,Word Ladder,29.6%,Medium,0.0057314958446896, https://leetcode.com/problems/word-ladder,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0041194702952388, https://leetcode.com/problems/trapping-rain-water,Not Done
1,Two Sum,45.6%,Easy,0.003139596786381, https://leetcode.com/problems/two-sum,Not Done
