ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
755,Pour Water,43.3%,Medium,1.6549959634129805, https://leetcode.com/problems/pour-water,Not Done
1166,Design File System,56.8%,Medium,1.578042968988746, https://leetcode.com/problems/design-file-system,Not Done
336,Palindrome Pairs,33.7%,Hard,1.3086247857193076, https://leetcode.com/problems/palindrome-pairs,Not Done
166,Fraction to Recurring Decimal,21.6%,Medium,1.110416810228655, https://leetcode.com/problems/fraction-to-recurring-decimal,Not Done
875,Koko Eating Bananas,52.1%,Medium,0.8409986269592165, https://leetcode.com/problems/koko-eating-bananas,Not Done
773,Sliding Puzzle,59.3%,Hard,0.6810258200276005, https://leetcode.com/problems/sliding-puzzle,Not Done
864,Shortest Path to Get All Keys,40.1%,Hard,0.6061358035703156, https://leetcode.com/problems/shortest-path-to-get-all-keys,Not Done
787,Cheapest Flights Within K Stops,39.3%,Medium,0.5212226928497461, https://leetcode.com/problems/cheapest-flights-within-k-stops,Not Done
269,Alien Dictionary,33.3%,Hard,0.487231062804732, https://leetcode.com/problems/alien-dictionary,Not Done
251,Flatten 2D Vector,45.7%,Medium,0.4808790962829651, https://leetcode.com/problems/flatten-2d-vector,Not Done
1257,Smallest Common Region,58.8%,Medium,0.2561688067457042, https://leetcode.com/problems/smallest-common-region,Not Done
68,Text Justification,27.7%,Hard,0.1614321443463724, https://leetcode.com/problems/text-justification,Not Done
1235,Maximum Profit in Job Scheduling,44.0%,Hard,0.1532629744871177, https://leetcode.com/problems/maximum-profit-in-job-scheduling,Not Done
39,Combination Sum,56.1%,Medium,0.1339254107186325, https://leetcode.com/problems/combination-sum,Not Done
324,Wiggle Sort II,29.9%,Medium,0.1112256351102243, https://leetcode.com/problems/wiggle-sort-ii,Not Done
759,Employee Free Time,66.2%,Hard,0.1062318669297373, https://leetcode.com/problems/employee-free-time,Not Done
280,Wiggle Sort,63.8%,Medium,0.043627420179626, https://leetcode.com/problems/wiggle-sort,Not Done
322,Coin Change,35.5%,Medium,0.024924029676386, https://leetcode.com/problems/coin-change,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0047142102627264, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
