ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
713,Subarray Product Less Than K,39.1%,Medium,1.072475096007634, https://leetcode.com/problems/subarray-product-less-than-k,Not Done
1223,Dice Roll Simulation,45.6%,Medium,0.8403614163905465, https://leetcode.com/problems/dice-roll-simulation,Not Done
995,Minimum Number of K Consecutive Bit Flips,46.8%,Hard,0.6082477367734591, https://leetcode.com/problems/minimum-number-of-k-consecutive-bit-flips,Not Done
324,Wiggle Sort II,29.9%,Medium,0.4672424678044075, https://leetcode.com/problems/wiggle-sort-ii,Not Done
1411,Number of Ways to Paint N × 3 Grid,61.1%,Hard,0.3553407209255957, https://leetcode.com/problems/number-of-ways-to-paint-n-3-grid,Not Done
1177,Can Make Palindrome from Substring,34.6%,Medium,0.2499114115653143, https://leetcode.com/problems/can-make-palindrome-from-substring,Not Done
1319,Number of Operations to Make Network Connected,53.1%,Medium,0.1004187477470473, https://leetcode.com/problems/number-of-operations-to-make-network-connected,Not Done
20,Valid Parentheses,39.0%,Easy,0.0673524026442898, https://leetcode.com/problems/valid-parentheses,Not Done
48,Rotate Image,56.7%,Medium,0.0449513878622663, https://leetcode.com/problems/rotate-image,Not Done
443,String Compression,41.3%,Easy,0.0310262735631005, https://leetcode.com/problems/string-compression,Not Done
743,Network Delay Time,45.0%,Medium,0.0284469245020536, https://leetcode.com/problems/network-delay-time,Not Done
1048,Longest String Chain,54.7%,Medium,0.0193616890491459, https://leetcode.com/problems/longest-string-chain,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0132011633028461, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.0125349830696961, https://leetcode.com/problems/maximum-product-subarray,Not Done
39,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum,Not Done
15,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum,Not Done
677,Map Sum Pairs,53.5%,Medium,0.0, https://leetcode.com/problems/map-sum-pairs,Not Done
740,Delete and Earn,48.6%,Medium,0.0, https://leetcode.com/problems/delete-and-earn,Not Done
741,Cherry Pickup,33.9%,Hard,0.0, https://leetcode.com/problems/cherry-pickup,Not Done
1425,Constrained Subsequence Sum,44.1%,Hard,0.0, https://leetcode.com/problems/constrained-subsequence-sum,Not Done
1326,Minimum Number of Taps to Open to Water a Garden,43.6%,Hard,0.0, https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Not Done
1338,Reduce Array Size to The Half,67.0%,Medium,0.0, https://leetcode.com/problems/reduce-array-size-to-the-half,Not Done
1370,Increasing Decreasing String,75.7%,Easy,0.0, https://leetcode.com/problems/increasing-decreasing-string,Not Done
