ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,1.8426731183805536, https://leetcode.com/problems/two-sum,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,1.3202175987487612, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.7977620791169685, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
2,Add Two Numbers,33.9%,Medium,0.5366346918295662, https://leetcode.com/problems/add-two-numbers,Not Done
146,LRU Cache,33.2%,Medium,0.443354853895488, https://leetcode.com/problems/lru-cache,Not Done
206,Reverse Linked List,62.5%,Easy,0.4233615954299824, https://leetcode.com/problems/reverse-linked-list,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.3696713039601054, https://leetcode.com/problems/longest-palindromic-substring,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.3584329285696304, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
53,Maximum Subarray,46.5%,Easy,0.3543183348432278, https://leetcode.com/problems/maximum-subarray,Not Done
10,Regular Expression Matching,26.8%,Hard,0.3026257535192428, https://leetcode.com/problems/regular-expression-matching,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.2572061238898046, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.2327382673745402, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.2222739516704936, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
70,Climbing Stairs,47.8%,Easy,0.140596799083353, https://leetcode.com/problems/climbing-stairs,Not Done
15,3Sum,26.8%,Medium,0.1318100440396084, https://leetcode.com/problems/3sum,Not Done
446,Arithmetic Slices II - Subsequence,32.7%,Hard,0.1209933112866316, https://leetcode.com/problems/arithmetic-slices-ii-subsequence,Not Done
160,Intersection of Two Linked Lists,40.6%,Easy,0.0948522352969612, https://leetcode.com/problems/intersection-of-two-linked-lists,Not Done
22,Generate Parentheses,62.7%,Medium,0.0848054200136495, https://leetcode.com/problems/generate-parentheses,Not Done
14,Longest Common Prefix,35.4%,Easy,0.0798700043869474, https://leetcode.com/problems/longest-common-prefix,Not Done
460,LFU Cache,34.2%,Hard,0.0683637428093902, https://leetcode.com/problems/lfu-cache,Not Done
62,Unique Paths,54.1%,Medium,0.0551879698526498, https://leetcode.com/problems/unique-paths,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0517901676831283, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
200,Number of Islands,46.8%,Medium,0.0452629940835575, https://leetcode.com/problems/number-of-islands,Not Done
992,Subarrays with K Different Integers,48.6%,Hard,0.0370069981086968, https://leetcode.com/problems/subarrays-with-k-different-integers,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.0344386650545433, https://leetcode.com/problems/maximum-product-subarray,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum,Not Done
678,Valid Parenthesis String,31.0%,Medium,0.0227153435214726, https://leetcode.com/problems/valid-parenthesis-string,Not Done
56,Merge Intervals,39.3%,Medium,0.0138195324222588, https://leetcode.com/problems/merge-intervals,Not Done
101,Symmetric Tree,46.8%,Easy,0.0135537864798141, https://leetcode.com/problems/symmetric-tree,Not Done
94,Binary Tree Inorder Traversal,63.3%,Medium,0.0133535618061347, https://leetcode.com/problems/binary-tree-inorder-traversal,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.0084890153249113, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
394,Decode String,50.0%,Medium,0.0081666440002722, https://leetcode.com/problems/decode-string,Not Done
666,Path Sum IV,54.7%,Medium,0.0, https://leetcode.com/problems/path-sum-iv,Not Done
548,Split Array with Equal Sum,46.4%,Medium,0.0, https://leetcode.com/problems/split-array-with-equal-sum,Not Done
555,Split Concatenated Strings,42.2%,Medium,0.0, https://leetcode.com/problems/split-concatenated-strings,Not Done
