ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
937,Reorder Data in Log Files,54.3%,Easy,4.767247308723531, https://leetcode.com/problems/reorder-data-in-log-files,Not Done
1192,Critical Connections in a Network,48.6%,Hard,4.608392488817646, https://leetcode.com/problems/critical-connections-in-a-network,Not Done
200,Number of Islands,46.8%,Medium,4.5237927479658, https://leetcode.com/problems/number-of-islands,Not Done
973,K Closest Points to Origin,63.8%,Medium,4.3649379280599145, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
819,Most Common Word,44.8%,Easy,4.206083108154029, https://leetcode.com/problems/most-common-word,Not Done
994,Rotting Oranges,49.2%,Medium,4.12888767326667, https://leetcode.com/problems/rotting-oranges,Not Done
146,LRU Cache,33.2%,Medium,4.125912521753064, https://leetcode.com/problems/lru-cache,Not Done
1,Two Sum,45.6%,Easy,3.9670577018471778, https://leetcode.com/problems/two-sum,Not Done
138,Copy List with Random Pointer,36.4%,Medium,3.808202881941293, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
763,Partition Labels,76.1%,Medium,3.6493480620354073, https://leetcode.com/problems/partition-labels,Not Done
5,Longest Palindromic Substring,29.5%,Medium,3.6112713851966896, https://leetcode.com/problems/longest-palindromic-substring,Not Done
692,Top K Frequent Words,51.8%,Medium,3.4524165652908043, https://leetcode.com/problems/top-k-frequent-words,Not Done
572,Subtree of Another Tree,44.1%,Easy,3.293561745384919, https://leetcode.com/problems/subtree-of-another-tree,Not Done
23,Merge k Sorted Lists,40.2%,Hard,3.275608353119414, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,3.1760577119891367, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
957,Prison Cells After N Days,40.7%,Medium,3.1619868806897298, https://leetcode.com/problems/prison-cells-after-n-days,Not Done
472,Concatenated Words,43.7%,Hard,3.1035670505472908, https://leetcode.com/problems/concatenated-words,Not Done
295,Find Median from Data Stream,44.3%,Hard,3.071377319923169, https://leetcode.com/problems/find-median-from-data-stream,Not Done
42,Trapping Rain Water,48.9%,Hard,3.0345785163632195, https://leetcode.com/problems/trapping-rain-water,Not Done
240,Search a 2D Matrix II,43.2%,Medium,2.8882389761040663, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
642,Design Search Autocomplete System,44.7%,Hard,2.850097902691714, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,2.691243082785829, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,2.6765966310651685, https://leetcode.com/problems/design-tic-tac-toe,Not Done
127,Word Ladder,29.6%,Medium,2.6565727712956915, https://leetcode.com/problems/word-ladder,Not Done
126,Word Ladder II,22.1%,Hard,2.6210965949028595, https://leetcode.com/problems/word-ladder-ii,Not Done
253,Meeting Rooms II,45.7%,Medium,2.5426760894240816, https://leetcode.com/problems/meeting-rooms-ii,Not Done
588,Design In-Memory File System,45.9%,Hard,2.481768900116033, https://leetcode.com/problems/design-in-memory-file-system,Not Done
1167,Minimum Cost to Connect Sticks,62.8%,Medium,2.423130930639536, https://leetcode.com/problems/minimum-cost-to-connect-sticks,Not Done
212,Word Search II,34.9%,Hard,2.409742163556229, https://leetcode.com/problems/word-search-ii,Not Done
909,Snakes and Ladders,38.4%,Medium,2.3368173292871526, https://leetcode.com/problems/snakes-and-ladders,Not Done
273,Integer to English Words,27.1%,Hard,2.3215771011354915, https://leetcode.com/problems/integer-to-english-words,Not Done
460,LFU Cache,34.2%,Hard,2.311351586206228, https://leetcode.com/problems/lfu-cache,Not Done
2,Add Two Numbers,33.9%,Medium,2.253344430204624, https://leetcode.com/problems/add-two-numbers,Not Done
545,Boundary of Binary Tree,38.9%,Medium,2.2324541765453, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
139,Word Break,40.1%,Medium,2.2058799303129293, https://leetcode.com/problems/word-break,Not Done
694,Number of Distinct Islands,56.0%,Medium,2.1981500748571623, https://leetcode.com/problems/number-of-distinct-islands,Not Done
1152,Analyze User Website Visit Pattern,43.5%,Medium,2.1610636126719283, https://leetcode.com/problems/analyze-user-website-visit-pattern,Not Done
1268,Search Suggestions System,63.2%,Medium,2.157831912757614, https://leetcode.com/problems/search-suggestions-system,Not Done
1000,Minimum Cost to Merge Stones,39.8%,Hard,2.076371438637316, https://leetcode.com/problems/minimum-cost-to-merge-stones,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,2.0707373499375032, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
675,Cut Off Trees for Golf Event,34.6%,Hard,2.035685110649988, https://leetcode.com/problems/cut-off-trees-for-golf-event,Not Done
269,Alien Dictionary,33.3%,Hard,2.01306490259895, https://leetcode.com/problems/alien-dictionary,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,2.0057576952331098, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
49,Group Anagrams,56.9%,Medium,1.9598330557667063, https://leetcode.com/problems/group-anagrams,Not Done
772,Basic Calculator III,41.3%,Hard,1.93133194589594, https://leetcode.com/problems/basic-calculator-iii,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,1.924676094041702, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
155,Min Stack,44.5%,Easy,1.9215077818220443, https://leetcode.com/problems/min-stack,Not Done
20,Valid Parentheses,39.0%,Easy,1.9107339238261305, https://leetcode.com/problems/valid-parentheses,Not Done
15,3Sum,26.8%,Medium,1.889218736497702, https://leetcode.com/problems/3sum,Not Done
165,Compare Version Numbers,27.4%,Medium,1.7706467919904958, https://leetcode.com/problems/compare-version-numbers,Not Done
239,Sliding Window Maximum,43.0%,Hard,1.7509567493480187, https://leetcode.com/problems/sliding-window-maximum,Not Done
733,Flood Fill,55.3%,Easy,1.74755550107457, https://leetcode.com/problems/flood-fill,Not Done
866,Prime Palindrome,24.9%,Medium,1.7204703854807533, https://leetcode.com/problems/prime-palindrome,Not Done
238,Product of Array Except Self,60.1%,Medium,1.71425284264257, https://leetcode.com/problems/product-of-array-except-self,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,1.7121511329488843, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
490,The Maze,51.4%,Medium,1.6829041515736798, https://leetcode.com/problems/the-maze,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,1.6822073282155063, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,1.6660170989747354, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
45,Jump Game II,30.6%,Hard,1.6544525444028275, https://leetcode.com/problems/jump-game-ii,Not Done
1099,Two Sum Less Than K,60.6%,Easy,1.6416694814604238, https://leetcode.com/problems/two-sum-less-than-k,Not Done
207,Course Schedule,43.1%,Medium,1.61781279723231, https://leetcode.com/problems/course-schedule,Not Done
