ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
937,Reorder Data in Log Files,54.3%,Easy,3.9547702430822818, https://leetcode.com/problems/reorder-data-in-log-files,Not Done
200,Number of Islands,46.8%,Medium,3.6590323855166846, https://leetcode.com/problems/number-of-islands,Not Done
1192,Critical Connections in a Network,48.6%,Hard,3.3632945279510875, https://leetcode.com/problems/critical-connections-in-a-network,Not Done
763,Partition Labels,76.1%,Medium,3.1678101129592746, https://leetcode.com/problems/partition-labels,Not Done
994,Rotting Oranges,49.2%,Medium,2.872072255393677, https://leetcode.com/problems/rotting-oranges,Not Done
692,Top K Frequent Words,51.8%,Medium,2.7214375224426046, https://leetcode.com/problems/top-k-frequent-words,Not Done
819,Most Common Word,44.8%,Easy,2.4256996648770075, https://leetcode.com/problems/most-common-word,Not Done
146,LRU Cache,33.2%,Medium,2.1299618073114104, https://leetcode.com/problems/lru-cache,Not Done
1152,Analyze User Website Visit Pattern,43.5%,Medium,1.8342239497458133, https://leetcode.com/problems/analyze-user-website-visit-pattern,Not Done
23,Merge k Sorted Lists,40.2%,Hard,1.739235050219392, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
588,Design In-Memory File System,45.9%,Hard,1.6763233015814871, https://leetcode.com/problems/design-in-memory-file-system,Not Done
1,Two Sum,45.6%,Easy,1.5089728550598949, https://leetcode.com/problems/two-sum,Not Done
472,Concatenated Words,43.7%,Hard,1.4802648705378958, https://leetcode.com/problems/concatenated-words,Not Done
973,K Closest Points to Origin,63.8%,Medium,1.4345467018065698, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
957,Prison Cells After N Days,40.7%,Medium,1.342328910447712, https://leetcode.com/problems/prison-cells-after-n-days,Not Done
460,LFU Cache,34.2%,Hard,1.1854052630535123, https://leetcode.com/problems/lfu-cache,Not Done
1167,Minimum Cost to Connect Sticks,62.8%,Medium,1.1814314904899383, https://leetcode.com/problems/minimum-cost-to-connect-sticks,Not Done
42,Trapping Rain Water,48.9%,Hard,1.1037585327659545, https://leetcode.com/problems/trapping-rain-water,Not Done
138,Copy List with Random Pointer,36.4%,Medium,1.102640803567812, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
127,Word Ladder,29.6%,Medium,1.0425997036961998, https://leetcode.com/problems/word-ladder,Not Done
295,Find Median from Data Stream,44.3%,Hard,1.0194793992505595, https://leetcode.com/problems/find-median-from-data-stream,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,0.9433716904768258, https://leetcode.com/problems/design-tic-tac-toe,Not Done
212,Word Search II,34.9%,Hard,0.8857014706209553, https://leetcode.com/problems/word-search-ii,Not Done
253,Meeting Rooms II,45.7%,Medium,0.8632775077826929, https://leetcode.com/problems/meeting-rooms-ii,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.8095181456041088, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
694,Number of Distinct Islands,56.0%,Medium,0.7884573603642702, https://leetcode.com/problems/number-of-distinct-islands,Not Done
269,Alien Dictionary,33.3%,Hard,0.7683984542353193, https://leetcode.com/problems/alien-dictionary,Not Done
273,Integer to English Words,27.1%,Hard,0.7404748586772619, https://leetcode.com/problems/integer-to-english-words,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.7362463730417975, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.7044467358138786, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.6739386478106545, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
139,Word Break,40.1%,Medium,0.6613827480153901, https://leetcode.com/problems/word-break,Not Done
