ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
937,Reorder Data in Log Files,54.3%,Easy,5.669086974531991, https://leetcode.com/problems/reorder-data-in-log-files,Not Done
200,Number of Islands,46.8%,Medium,5.561995337907439, https://leetcode.com/problems/number-of-islands,Not Done
1192,Critical Connections in a Network,48.6%,Hard,5.451163696788967, https://leetcode.com/problems/critical-connections-in-a-network,Not Done
1,Two Sum,45.6%,Easy,5.340332055670496, https://leetcode.com/problems/two-sum,Not Done
146,LRU Cache,33.2%,Medium,5.266473618736184, https://leetcode.com/problems/lru-cache,Not Done
973,K Closest Points to Origin,63.8%,Medium,5.155641977617712, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
819,Most Common Word,44.8%,Easy,5.044810336499242, https://leetcode.com/problems/most-common-word,Not Done
138,Copy List with Random Pointer,36.4%,Medium,5.028653490396094, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
5,Longest Palindromic Substring,29.5%,Medium,4.9178218492776224, https://leetcode.com/problems/longest-palindromic-substring,Not Done
994,Rotting Oranges,49.2%,Medium,4.806990208159151, https://leetcode.com/problems/rotting-oranges,Not Done
42,Trapping Rain Water,48.9%,Hard,4.697248826330039, https://leetcode.com/problems/trapping-rain-water,Not Done
23,Merge k Sorted Lists,40.2%,Hard,4.599324597310145, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
763,Partition Labels,76.1%,Medium,4.548324962256519, https://leetcode.com/problems/partition-labels,Not Done
2,Add Two Numbers,33.9%,Medium,4.4374933211380485, https://leetcode.com/problems/add-two-numbers,Not Done
20,Valid Parentheses,39.0%,Easy,4.362623996011495, https://leetcode.com/problems/valid-parentheses,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,4.322317225718424, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
127,Word Ladder,29.6%,Medium,4.310600785424381, https://leetcode.com/problems/word-ladder,Not Done
295,Find Median from Data Stream,44.3%,Hard,4.2919882291467175, https://leetcode.com/problems/find-median-from-data-stream,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,4.29109371663071, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
692,Top K Frequent Words,51.8%,Medium,4.255293916882421, https://leetcode.com/problems/top-k-frequent-words,Not Done
572,Subtree of Another Tree,44.1%,Easy,4.159077466360555, https://leetcode.com/problems/subtree-of-another-tree,Not Done
240,Search a 2D Matrix II,43.2%,Medium,4.048245825242085, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
126,Word Ladder II,22.1%,Hard,4.024013333632092, https://leetcode.com/problems/word-ladder-ii,Not Done
472,Concatenated Words,43.7%,Hard,3.921598333672735, https://leetcode.com/problems/concatenated-words,Not Done
642,Design Search Autocomplete System,44.7%,Hard,3.8667846655909375, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
957,Prison Cells After N Days,40.7%,Medium,3.8492305425836575, https://leetcode.com/problems/prison-cells-after-n-days,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,3.815410005281224, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
273,Integer to English Words,27.1%,Hard,3.751742974770793, https://leetcode.com/problems/integer-to-english-words,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,3.729457573647053, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,3.673122324413377, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
253,Meeting Rooms II,45.7%,Medium,3.650908416088221, https://leetcode.com/problems/meeting-rooms-ii,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,3.646488617199801, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,3.644912199818459, https://leetcode.com/problems/design-tic-tac-toe,Not Done
139,Word Break,40.1%,Medium,3.568929344215992, https://leetcode.com/problems/word-break,Not Done
155,Min Stack,44.5%,Easy,3.543506924961488, https://leetcode.com/problems/min-stack,Not Done
48,Rotate Image,56.7%,Medium,3.5414589493287463, https://leetcode.com/problems/rotate-image,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,3.5247783696000754, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
238,Product of Array Except Self,60.1%,Medium,3.514882900018146, https://leetcode.com/problems/product-of-array-except-self,Not Done
212,Word Search II,34.9%,Hard,3.483790156179396, https://leetcode.com/problems/word-search-ii,Not Done
12,Integer to Roman,55.1%,Medium,3.4609849174972926, https://leetcode.com/problems/integer-to-roman,Not Done
239,Sliding Window Maximum,43.0%,Hard,3.433795326058728, https://leetcode.com/problems/sliding-window-maximum,Not Done
269,Alien Dictionary,33.3%,Hard,3.377668409524585, https://leetcode.com/problems/alien-dictionary,Not Done
