ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,1.3239393390446, https://leetcode.com/problems/two-sum,Not Done
284,Peeking Iterator,45.7%,Medium,1.225806299790293, https://leetcode.com/problems/peeking-iterator,Not Done
146,LRU Cache,33.2%,Medium,1.1817054748912657, https://leetcode.com/problems/lru-cache,Not Done
1095,Find in Mountain Array,35.8%,Hard,1.0835724356369587, https://leetcode.com/problems/find-in-mountain-array,Not Done
391,Perfect Rectangle,30.5%,Hard,0.9854393963826518, https://leetcode.com/problems/perfect-rectangle,Not Done
403,Frog Jump,39.7%,Hard,0.977549850058533, https://leetcode.com/problems/frog-jump,Not Done
2,Add Two Numbers,33.9%,Medium,0.9760771681710704, https://leetcode.com/problems/add-two-numbers,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.96017394600326, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
53,Maximum Subarray,46.5%,Easy,0.9397769028056372, https://leetcode.com/problems/maximum-subarray,Not Done
42,Trapping Rain Water,48.9%,Hard,0.8416438635513304, https://leetcode.com/problems/trapping-rain-water,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.8184023944755309, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.7804874458075195, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
97,Interleaving String,31.5%,Hard,0.6933519806963994, https://leetcode.com/problems/interleaving-string,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.6374386685560265, https://leetcode.com/problems/find-median-from-data-stream,Not Done
212,Word Search II,34.9%,Hard,0.5393056293017195, https://leetcode.com/problems/word-search-ii,Not Done
311,Sparse Matrix Multiplication,61.9%,Medium,0.4503238876572249, https://leetcode.com/problems/sparse-matrix-multiplication,Not Done
200,Number of Islands,46.8%,Medium,0.4492980477443428, https://leetcode.com/problems/number-of-islands,Not Done
479,Largest Palindrome Product,29.0%,Hard,0.4418327522790392, https://leetcode.com/problems/largest-palindrome-product,Not Done
49,Group Anagrams,56.9%,Medium,0.4081611687373586, https://leetcode.com/problems/group-anagrams,Not Done
688,Knight Probability in Chessboard,48.9%,Medium,0.3897785119404648, https://leetcode.com/problems/knight-probability-in-chessboard,Not Done
351,Android Unlock Patterns,48.4%,Medium,0.3828226313584045, https://leetcode.com/problems/android-unlock-patterns,Not Done
981,Time Based Key-Value Store,53.1%,Medium,0.3755723540313778, https://leetcode.com/problems/time-based-key-value-store,Not Done
227,Basic Calculator II,36.9%,Medium,0.3709825801608562, https://leetcode.com/problems/basic-calculator-ii,Not Done
206,Reverse Linked List,62.5%,Easy,0.3555322708386157, https://leetcode.com/problems/reverse-linked-list,Not Done
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.34223732585313, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Not Done
56,Merge Intervals,39.3%,Medium,0.324649020144345, https://leetcode.com/problems/merge-intervals,Not Done
12,Integer to Roman,55.1%,Medium,0.3089831480643014, https://leetcode.com/problems/integer-to-roman,Not Done
177,Nth Highest Salary,31.4%,Medium,0.3088994656700207, https://leetcode.com/problems/nth-highest-salary,Not Done
202,Happy Number,50.4%,Easy,0.3027727255563815, https://leetcode.com/problems/happy-number,Not Done
724,Find Pivot Index,44.0%,Easy,0.2991226548536739, https://leetcode.com/problems/find-pivot-index,Not Done
1229,Meeting Scheduler,52.7%,Medium,0.2955601745092634, https://leetcode.com/problems/meeting-scheduler,Not Done
387,First Unique Character in a String,53.4%,Easy,0.2924677090124108, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
996,Number of Squareful Arrays,47.8%,Hard,0.28675913745318, https://leetcode.com/problems/number-of-squareful-arrays,Not Done
54,Spiral Matrix,34.1%,Medium,0.2807943642131155, https://leetcode.com/problems/spiral-matrix,Not Done
15,3Sum,26.8%,Medium,0.2753610195122021, https://leetcode.com/problems/3sum,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.2637368700238773, https://leetcode.com/problems/longest-palindromic-substring,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,0.2625527836498761, https://leetcode.com/problems/design-tic-tac-toe,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.2612738868325316, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
609,Find Duplicate File in System,59.5%,Medium,0.2538801769623398, https://leetcode.com/problems/find-duplicate-file-in-system,Not Done
238,Product of Array Except Self,60.1%,Medium,0.2503950993262469, https://leetcode.com/problems/product-of-array-except-self,Not Done
139,Word Break,40.1%,Medium,0.2483618518602365, https://leetcode.com/problems/word-break,Not Done
251,Flatten 2D Vector,45.7%,Medium,0.2425088583672668, https://leetcode.com/problems/flatten-2d-vector,Not Done
545,Boundary of Binary Tree,38.9%,Medium,0.235382573048932, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.2335743075399183, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
48,Rotate Image,56.7%,Medium,0.2233989465397072, https://leetcode.com/problems/rotate-image,Not Done
18,4Sum,33.7%,Medium,0.2209651169444481, https://leetcode.com/problems/4sum,Not Done
8,String to Integer (atoi),15.4%,Medium,0.2176759858041558, https://leetcode.com/problems/string-to-integer-atoi,Not Done
393,UTF-8 Validation,37.5%,Medium,0.2166710368085923, https://leetcode.com/problems/utf-8-validation,Not Done
661,Image Smoother,51.5%,Easy,0.2110603993112869, https://leetcode.com/problems/image-smoother,Not Done
729,My Calendar I,51.8%,Medium,0.2085665785674366, https://leetcode.com/problems/my-calendar-i,Not Done
362,Design Hit Counter,63.7%,Medium,0.2081212537924689, https://leetcode.com/problems/design-hit-counter,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.2056773784161292, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
233,Number of Digit One,31.3%,Hard,0.2015726120960071, https://leetcode.com/problems/number-of-digit-one,Not Done
836,Rectangle Overlap,48.6%,Easy,0.1994437014431824, https://leetcode.com/problems/rectangle-overlap,Not Done
36,Valid Sudoku,48.7%,Medium,0.1991463806942981, https://leetcode.com/problems/valid-sudoku,Not Done
706,Design HashMap,61.3%,Easy,0.1960785423771685, https://leetcode.com/problems/design-hashmap,Not Done
46,Permutations,63.5%,Medium,0.1881669090178225, https://leetcode.com/problems/permutations,Not Done
658,Find K Closest Elements,40.9%,Medium,0.1866394129348204, https://leetcode.com/problems/find-k-closest-elements,Not Done
394,Decode String,50.0%,Medium,0.186481268202997, https://leetcode.com/problems/decode-string,Not Done
253,Meeting Rooms II,45.7%,Medium,0.1846510256146004, https://leetcode.com/problems/meeting-rooms-ii,Not Done
911,Online Election,50.4%,Medium,0.1741842396477574, https://leetcode.com/problems/online-election,Not Done
1278,Palindrome Partitioning III,59.9%,Hard,0.1728428128394108, https://leetcode.com/problems/palindrome-partitioning-iii,Not Done
223,Rectangle Area,37.8%,Medium,0.172469260350943, https://leetcode.com/problems/rectangle-area,Not Done
7,Reverse Integer,25.8%,Easy,0.1708373626727859, https://leetcode.com/problems/reverse-integer,Not Done
31,Next Permutation,32.6%,Medium,0.1669847613739794, https://leetcode.com/problems/next-permutation,Not Done
642,Design Search Autocomplete System,44.7%,Hard,0.1631278249249625, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
821,Shortest Distance to a Character,66.9%,Easy,0.1622986409188468, https://leetcode.com/problems/shortest-distance-to-a-character,Not Done
242,Valid Anagram,56.9%,Easy,0.1620140669319784, https://leetcode.com/problems/valid-anagram,Not Done
155,Min Stack,44.5%,Easy,0.1581717577009931, https://leetcode.com/problems/min-stack,Not Done
88,Merge Sorted Array,39.4%,Easy,0.1566455193869515, https://leetcode.com/problems/merge-sorted-array,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.1565690606915399, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
125,Valid Palindrome,36.7%,Easy,0.155730560170394, https://leetcode.com/problems/valid-palindrome,Not Done
20,Valid Parentheses,39.0%,Easy,0.153928559066692, https://leetcode.com/problems/valid-parentheses,Not Done
14,Longest Common Prefix,35.4%,Easy,0.1509742044686872, https://leetcode.com/problems/longest-common-prefix,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.1474002530427191, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.1466146891661091, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
269,Alien Dictionary,33.3%,Hard,0.1457878134614986, https://leetcode.com/problems/alien-dictionary,Not Done
909,Snakes and Ladders,38.4%,Medium,0.1446560539074798, https://leetcode.com/problems/snakes-and-ladders,Not Done
546,Remove Boxes,42.7%,Hard,0.1436155116911486, https://leetcode.com/problems/remove-boxes,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.1429023796098553, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
16,3Sum Closest,46.0%,Medium,0.1423451285092982, https://leetcode.com/problems/3sum-closest,Not Done
75,Sort Colors,47.3%,Medium,0.1409798103870244, https://leetcode.com/problems/sort-colors,Not Done
127,Word Ladder,29.6%,Medium,0.1396967554516324, https://leetcode.com/problems/word-ladder,Not Done
