ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,2.44165352519978, https://leetcode.com/problems/two-sum,Not Done
146,LRU Cache,33.2%,Medium,2.288507627845124, https://leetcode.com/problems/lru-cache,Not Done
403,Frog Jump,39.7%,Hard,2.135361730490468, https://leetcode.com/problems/frog-jump,Not Done
54,Spiral Matrix,34.1%,Medium,1.9822158331358115, https://leetcode.com/problems/spiral-matrix,Not Done
2,Add Two Numbers,33.9%,Medium,1.9375806091809584, https://leetcode.com/problems/add-two-numbers,Not Done
284,Peeking Iterator,45.7%,Medium,1.8988473588427888, https://leetcode.com/problems/peeking-iterator,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,1.7457014614881323, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
53,Maximum Subarray,46.5%,Easy,1.6039792365262746, https://leetcode.com/problems/maximum-subarray,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,1.596120365564316, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
42,Trapping Rain Water,48.9%,Hard,1.4504927724580507, https://leetcode.com/problems/trapping-rain-water,Not Done
391,Perfect Rectangle,30.5%,Hard,1.2973468751033943, https://leetcode.com/problems/perfect-rectangle,Not Done
206,Reverse Linked List,62.5%,Easy,1.2889543040599838, https://leetcode.com/problems/reverse-linked-list,Not Done
295,Find Median from Data Stream,44.3%,Hard,1.2415624618248458, https://leetcode.com/problems/find-median-from-data-stream,Not Done
200,Number of Islands,46.8%,Medium,1.233667865200624, https://leetcode.com/problems/number-of-islands,Not Done
5,Longest Palindromic Substring,29.5%,Medium,1.2049820501287227, https://leetcode.com/problems/longest-palindromic-substring,Not Done
218,The Skyline Problem,34.6%,Hard,1.2026816485623162, https://leetcode.com/problems/the-skyline-problem,Not Done
1095,Find in Mountain Array,35.8%,Hard,1.2013559031699637, https://leetcode.com/problems/find-in-mountain-array,Not Done
97,Interleaving String,31.5%,Hard,1.1879190873014442, https://leetcode.com/problems/interleaving-string,Not Done
479,Largest Palindrome Product,29.0%,Hard,1.1700712526502546, https://leetcode.com/problems/largest-palindrome-product,Not Done
393,UTF-8 Validation,37.5%,Medium,1.1560693436928968, https://leetcode.com/problems/utf-8-validation,Not Done
238,Product of Array Except Self,60.1%,Medium,1.125997958136907, https://leetcode.com/problems/product-of-array-except-self,Not Done
311,Sparse Matrix Multiplication,61.9%,Medium,1.1083957349771807, https://leetcode.com/problems/sparse-matrix-multiplication,Not Done
8,String to Integer (atoi),15.4%,Medium,1.0728242725044976, https://leetcode.com/problems/string-to-integer-atoi,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,1.0697178226683948, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,1.0191481173138628, https://leetcode.com/problems/design-tic-tac-toe,Not Done
56,Merge Intervals,39.3%,Medium,1.01565662402753, https://leetcode.com/problems/merge-intervals,Not Done
15,3Sum,26.8%,Medium,1.0028066641920663, https://leetcode.com/problems/3sum,Not Done
202,Happy Number,50.4%,Easy,0.9974860771490718, https://leetcode.com/problems/happy-number,Not Done
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.9678875215177066, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Not Done
49,Group Anagrams,56.9%,Medium,0.9561708823315208, https://leetcode.com/problems/group-anagrams,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.9024122656636088, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.8759518910272411, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.8331029734573284, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
139,Word Break,40.1%,Medium,0.7861844908659293, https://leetcode.com/problems/word-break,Not Done
351,Android Unlock Patterns,48.4%,Medium,0.7857399673877702, https://leetcode.com/problems/android-unlock-patterns,Not Done
20,Valid Parentheses,39.0%,Easy,0.7728842221115333, https://leetcode.com/problems/valid-parentheses,Not Done
269,Alien Dictionary,33.3%,Hard,0.7683984542353193, https://leetcode.com/problems/alien-dictionary,Not Done
212,Word Search II,34.9%,Hard,0.7375344172881568, https://leetcode.com/problems/word-search-ii,Not Done
149,Max Points on a Line,16.9%,Hard,0.7241094061639122, https://leetcode.com/problems/max-points-on-a-line,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.7169635384120102, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
48,Rotate Image,56.7%,Medium,0.6937855463652177, https://leetcode.com/problems/rotate-image,Not Done
242,Valid Anagram,56.9%,Easy,0.6931992137571369, https://leetcode.com/problems/valid-anagram,Not Done
7,Reverse Integer,25.8%,Easy,0.6643014117400133, https://leetcode.com/problems/reverse-integer,Not Done
204,Count Primes,31.5%,Easy,0.6619706759370921, https://leetcode.com/problems/count-primes,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.6562442821203051, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
227,Basic Calculator II,36.9%,Medium,0.642608764196984, https://leetcode.com/problems/basic-calculator-ii,Not Done
412,Fizz Buzz,62.3%,Easy,0.6260403395391076, https://leetcode.com/problems/fizz-buzz,Not Done
