ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1228,Missing Number In Arithmetic Progression,52.6%,Easy,0.1321986830719455, https://leetcode.com/problems/missing-number-in-arithmetic-progression,Not Done
545,Boundary of Binary Tree,38.9%,Medium,0.0877756108823857, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
200,Number of Islands,46.8%,Medium,0.0433525386928258, https://leetcode.com/problems/number-of-islands,Not Done
472,Concatenated Words,43.7%,Hard,0.0266150107572297, https://leetcode.com/problems/concatenated-words,Not Done
140,Word Break II,32.6%,Hard,0.0238295628329839, https://leetcode.com/problems/word-break-ii,Not Done
937,Reorder Data in Log Files,54.3%,Easy,0.0179717297044677, https://leetcode.com/problems/reorder-data-in-log-files,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0154145634011867, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.0150102884938891, https://leetcode.com/problems/set-matrix-zeroes,Not Done
139,Word Break,40.1%,Medium,0.0149367974945105, https://leetcode.com/problems/word-break,Not Done
101,Symmetric Tree,46.8%,Easy,0.0130030275803871, https://leetcode.com/problems/symmetric-tree,Not Done
1,Two Sum,45.6%,Easy,0.0095840505153881, https://leetcode.com/problems/two-sum,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0092450581440511, https://leetcode.com/problems/trapping-rain-water,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0081284739362025, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
127,Word Ladder,29.6%,Medium,0.0057314958446896, https://leetcode.com/problems/word-ladder,Not Done
20,Valid Parentheses,39.0%,Easy,0.0021976823306058, https://leetcode.com/problems/valid-parentheses,Not Done
1200,Minimum Absolute Difference,66.6%,Easy,0.0, https://leetcode.com/problems/minimum-absolute-difference,Not Done
