ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1396,Design Underground System,64.7%,Medium,2.155218657865939, https://leetcode.com/problems/design-underground-system,Not Done
1169,Invalid Transactions,31.2%,Medium,1.8705521944133323, https://leetcode.com/problems/invalid-transactions,Not Done
430,Flatten a Multilevel Doubly Linked List,55.1%,Medium,1.8386285548491932, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Not Done
394,Decode String,50.0%,Medium,1.5539620913965866, https://leetcode.com/problems/decode-string,Not Done
1274,Number of Ships in a Rectangle,66.3%,Hard,1.516863213204506, https://leetcode.com/problems/number-of-ships-in-a-rectangle,Not Done
200,Number of Islands,46.8%,Medium,1.2569671029144711, https://leetcode.com/problems/number-of-islands,Not Done
1029,Two City Scheduling,56.1%,Easy,1.1652198458372507, https://leetcode.com/problems/two-city-scheduling,Not Done
1209,Remove All Adjacent Duplicates in String II,56.9%,Medium,1.1602010262797395, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Not Done
146,LRU Cache,33.2%,Medium,1.1237841453867323, https://leetcode.com/problems/lru-cache,Not Done
723,Candy Crush,69.2%,Medium,0.8391176819341255, https://leetcode.com/problems/candy-crush,Not Done
253,Meeting Rooms II,45.7%,Medium,0.8140532494267123, https://leetcode.com/problems/meeting-rooms-ii,Not Done
445,Add Two Numbers II,54.5%,Medium,0.5293867859741055, https://leetcode.com/problems/add-two-numbers-ii,Not Done
155,Min Stack,44.5%,Easy,0.5220441452861782, https://leetcode.com/problems/min-stack,Not Done
117,Populating Next Right Pointers in Each Node II,39.1%,Medium,0.4973329437215165, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Not Done
2,Add Two Numbers,33.9%,Medium,0.4963046131254734, https://leetcode.com/problems/add-two-numbers,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.4895800610463537, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.4521972578125842, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Not Done
1472,Design Browser History,64.6%,Medium,0.4198538455602639, https://leetcode.com/problems/design-browser-history,Not Done
387,First Unique Character in a String,53.4%,Easy,0.41045073684368, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.3538407427028572, https://leetcode.com/problems/validate-binary-search-tree,Not Done
390,Elimination Game,44.5%,Medium,0.3379069570968732, https://leetcode.com/problems/elimination-game,Not Done
611,Valid Triangle Number,48.4%,Medium,0.3302416868705768, https://leetcode.com/problems/valid-triangle-number,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.3133604469552722, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
582,Kill Process,60.8%,Medium,0.2990550626240509, https://leetcode.com/problems/kill-process,Not Done
451,Sort Characters By Frequency,63.0%,Medium,0.285942725510602, https://leetcode.com/problems/sort-characters-by-frequency,Not Done
42,Trapping Rain Water,48.9%,Hard,0.2738524150906199, https://leetcode.com/problems/trapping-rain-water,Not Done
422,Valid Word Square,37.7%,Easy,0.2578291093020998, https://leetcode.com/problems/valid-word-square,Not Done
139,Word Break,40.1%,Medium,0.2483618518602365, https://leetcode.com/problems/word-break,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.2330001096609468, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
1,Two Sum,45.6%,Easy,0.2242758219657857, https://leetcode.com/problems/two-sum,Not Done
1223,Dice Roll Simulation,45.6%,Medium,0.2166710368085923, https://leetcode.com/problems/dice-roll-simulation,Not Done
12,Integer to Roman,55.1%,Medium,0.1941056074041244, https://leetcode.com/problems/integer-to-roman,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.1881816310890415, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.1872200857092653, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
797,All Paths From Source to Target,77.9%,Medium,0.1826100797644453, https://leetcode.com/problems/all-paths-from-source-to-target,Not Done
