ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1396,Design Underground System,64.7%,Medium,1.6336239764997664, https://leetcode.com/problems/design-underground-system,Not Done
1274,Number of Ships in a Rectangle,66.3%,Hard,1.3841012723467938, https://leetcode.com/problems/number-of-ships-in-a-rectangle,Not Done
1169,Invalid Transactions,31.2%,Medium,1.1345785681938212, https://leetcode.com/problems/invalid-transactions,Not Done
1209,Remove All Adjacent Duplicates in String II,56.9%,Medium,0.9182875611040504, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Not Done
394,Decode String,50.0%,Medium,0.8695403064407496, https://leetcode.com/problems/decode-string,Not Done
430,Flatten a Multilevel Doubly Linked List,55.1%,Medium,0.620017602287777, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Not Done
200,Number of Islands,46.8%,Medium,0.581027429947078, https://leetcode.com/problems/number-of-islands,Not Done
253,Meeting Rooms II,45.7%,Medium,0.4612706163774853, https://leetcode.com/problems/meeting-rooms-ii,Not Done
1472,Design Browser History,64.6%,Medium,0.4198538455602639, https://leetcode.com/problems/design-browser-history,Not Done
146,LRU Cache,33.2%,Medium,0.4110212101491863, https://leetcode.com/problems/lru-cache,Not Done
445,Add Two Numbers II,54.5%,Medium,0.3186792865497379, https://leetcode.com/problems/add-two-numbers-ii,Not Done
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.3023062380978065, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Not Done
1029,Two City Scheduling,56.1%,Easy,0.2336148511815051, https://leetcode.com/problems/two-city-scheduling,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.214140884493152, https://leetcode.com/problems/validate-binary-search-tree,Not Done
117,Populating Next Right Pointers in Each Node II,39.1%,Medium,0.2086053928681825, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Not Done
1244,Design A Leaderboard,60.7%,Medium,0.1776309474361007, https://leetcode.com/problems/design-a-leaderboard,Not Done
387,First Unique Character in a String,53.4%,Easy,0.163142620879867, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
2,Add Two Numbers,33.9%,Medium,0.1561525859238906, https://leetcode.com/problems/add-two-numbers,Not Done
723,Candy Crush,69.2%,Medium,0.1475667107409061, https://leetcode.com/problems/candy-crush,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.1466146891661091, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
384,Shuffle an Array,52.8%,Medium,0.1295376425789998, https://leetcode.com/problems/shuffle-an-array,Not Done
42,Trapping Rain Water,48.9%,Hard,0.1238927637867539, https://leetcode.com/problems/trapping-rain-water,Not Done
451,Sort Characters By Frequency,63.0%,Medium,0.112583621321214, https://leetcode.com/problems/sort-characters-by-frequency,Not Done
155,Min Stack,44.5%,Easy,0.1124400023488586, https://leetcode.com/problems/min-stack,Not Done
1188,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue,Not Done
924,Minimize Malware Spread,42.0%,Hard,0.1082135846402327, https://leetcode.com/problems/minimize-malware-spread,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.1075843020016509, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
658,Find K Closest Elements,40.9%,Medium,0.0995648587647672, https://leetcode.com/problems/find-k-closest-elements,Not Done
611,Valid Triangle Number,48.4%,Medium,0.0933319397922191, https://leetcode.com/problems/valid-triangle-number,Not Done
20,Valid Parentheses,39.0%,Easy,0.0928626343812616, https://leetcode.com/problems/valid-parentheses,Not Done
991,Broken Calculator,45.6%,Medium,0.0851578083403068, https://leetcode.com/problems/broken-calculator,Not Done
582,Kill Process,60.8%,Medium,0.0835558856909735, https://leetcode.com/problems/kill-process,Not Done
56,Merge Intervals,39.3%,Medium,0.0833955243057907, https://leetcode.com/problems/merge-intervals,Not Done
1297,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.0777089843273162, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,Not Done
1347,Minimum Number of Steps to Make Two Strings Anagram,74.7%,Medium,0.0774247247797157, https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram,Not Done
214,Shortest Palindrome,29.8%,Hard,0.0753494372417868, https://leetcode.com/problems/shortest-palindrome,Not Done
463,Island Perimeter,65.7%,Easy,0.0664608065022621, https://leetcode.com/problems/island-perimeter,Not Done
