ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
138,Copy List with Random Pointer,36.4%,Medium,2.9916072330367776, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
146,LRU Cache,33.2%,Medium,2.88011930741835, https://leetcode.com/problems/lru-cache,Not Done
1396,Design Underground System,64.7%,Medium,2.7686313817999224, https://leetcode.com/problems/design-underground-system,Not Done
430,Flatten a Multilevel Doubly Linked List,55.1%,Medium,2.699294019942542, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Not Done
200,Number of Islands,46.8%,Medium,2.5893928602940184, https://leetcode.com/problems/number-of-islands,Not Done
445,Add Two Numbers II,54.5%,Medium,2.5005209232280814, https://leetcode.com/problems/add-two-numbers-ii,Not Done
723,Candy Crush,69.2%,Medium,2.443371880409153, https://leetcode.com/problems/candy-crush,Not Done
394,Decode String,50.0%,Medium,2.4354178381724667, https://leetcode.com/problems/decode-string,Not Done
582,Kill Process,60.8%,Medium,2.329004207705794, https://leetcode.com/problems/kill-process,Not Done
1,Two Sum,45.6%,Easy,2.266337952907993, https://leetcode.com/problems/two-sum,Not Done
451,Sort Characters By Frequency,63.0%,Medium,2.214754567267123, https://leetcode.com/problems/sort-characters-by-frequency,Not Done
2,Add Two Numbers,33.9%,Medium,2.2105161651535843, https://leetcode.com/problems/add-two-numbers,Not Done
1169,Invalid Transactions,31.2%,Medium,2.1276788037634877, https://leetcode.com/problems/invalid-transactions,Not Done
117,Populating Next Right Pointers in Each Node II,39.1%,Medium,2.118212486885331, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii,Not Done
42,Trapping Rain Water,48.9%,Hard,2.0660776889450734, https://leetcode.com/problems/trapping-rain-water,Not Done
20,Valid Parentheses,39.0%,Easy,2.0208637675689056, https://leetcode.com/problems/valid-parentheses,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,1.9093758419504785, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
155,Min Stack,44.5%,Easy,1.8753356079547, https://leetcode.com/problems/min-stack,Not Done
98,Validate Binary Search Tree,27.8%,Medium,1.8280334735241492, https://leetcode.com/problems/validate-binary-search-tree,Not Done
253,Meeting Rooms II,45.7%,Medium,1.7748254445172882, https://leetcode.com/problems/meeting-rooms-ii,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,1.7316498584399342, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
387,First Unique Character in a String,53.4%,Easy,1.6717206372907538, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
56,Merge Intervals,39.3%,Medium,1.6344853036753997, https://leetcode.com/problems/merge-intervals,Not Done
214,Shortest Palindrome,29.8%,Hard,1.628304607593452, https://leetcode.com/problems/shortest-palindrome,Not Done
1274,Number of Ships in a Rectangle,66.3%,Hard,1.6253239794553145, https://leetcode.com/problems/number-of-ships-in-a-rectangle,Not Done
1029,Two City Scheduling,56.1%,Easy,1.6062408497394156, https://leetcode.com/problems/two-city-scheduling,Not Done
283,Move Zeroes,57.8%,Easy,1.5700380214242422, https://leetcode.com/problems/move-zeroes,Not Done
116,Populating Next Right Pointers in Each Node,45.2%,Medium,1.528216304439043, https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Not Done
390,Elimination Game,44.5%,Medium,1.435519307483543, https://leetcode.com/problems/elimination-game,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,1.3959826812294072, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
23,Merge k Sorted Lists,40.2%,Hard,1.390362038117481, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
