ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
407,Trapping Rain Water II,42.4%,Hard,0.4512959462757127, https://leetcode.com/problems/trapping-rain-water-ii,Not Done
403,Frog Jump,39.7%,Hard,0.4065374889179228, https://leetcode.com/problems/frog-jump,Not Done
1202,Smallest String With Swaps,46.5%,Medium,0.3430272491675487, https://leetcode.com/problems/smallest-string-with-swaps,Not Done
493,Reverse Pairs,25.2%,Hard,0.3339517563958779, https://leetcode.com/problems/reverse-pairs,Not Done
465,Optimal Account Balancing,46.9%,Hard,0.3083474266820498, https://leetcode.com/problems/optimal-account-balancing,Not Done
777,Swap Adjacent in LR String,34.8%,Medium,0.3009365392537307, https://leetcode.com/problems/swap-adjacent-in-lr-string,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.2704051213089347, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
1262,Greatest Sum Divisible by Three,47.6%,Medium,0.2325914143917342, https://leetcode.com/problems/greatest-sum-divisible-by-three,Not Done
42,Trapping Rain Water,48.9%,Hard,0.16908117464136, https://leetcode.com/problems/trapping-rain-water,Not Done
146,LRU Cache,33.2%,Medium,0.1535741447867858, https://leetcode.com/problems/lru-cache,Not Done
726,Number of Atoms,49.0%,Hard,0.1380442207962054, https://leetcode.com/problems/number-of-atoms,Not Done
1172,Dinner Plate Stacks,38.2%,Hard,0.1296310626529397, https://leetcode.com/problems/dinner-plate-stacks,Not Done
316,Remove Duplicate Letters,35.8%,Hard,0.1165801830326188, https://leetcode.com/problems/remove-duplicate-letters,Not Done
681,Next Closest Time,45.0%,Medium,0.1101356424960059, https://leetcode.com/problems/next-closest-time,Not Done
320,Generalized Abbreviation,52.1%,Medium,0.0935260580108234, https://leetcode.com/problems/generalized-abbreviation,Not Done
351,Android Unlock Patterns,48.4%,Medium,0.0719734996250892, https://leetcode.com/problems/android-unlock-patterns,Not Done
386,Lexicographical Numbers,51.6%,Medium,0.0687555954151299, https://leetcode.com/problems/lexicographical-numbers,Not Done
51,N-Queens,46.6%,Hard,0.064021858764931, https://leetcode.com/problems/n-queens,Not Done
772,Basic Calculator III,41.3%,Hard,0.0633122794143268, https://leetcode.com/problems/basic-calculator-iii,Not Done
735,Asteroid Collision,41.0%,Medium,0.0547915488296824, https://leetcode.com/problems/asteroid-collision,Not Done
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0537121935905255, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,Not Done
31,Next Permutation,32.6%,Medium,0.0526591380081901, https://leetcode.com/problems/next-permutation,Not Done
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.052557250738676, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Not Done
1339,Maximum Product of Splitted Binary Tree,37.2%,Medium,0.0506437328187549, https://leetcode.com/problems/maximum-product-of-splitted-binary-tree,Not Done
282,Expression Add Operators,35.5%,Hard,0.0499826408677354, https://leetcode.com/problems/expression-add-operators,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.0498442040772913, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
1283,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.0477988237377769, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.0464767658457288, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
856,Score of Parentheses,60.5%,Medium,0.0456700368331883, https://leetcode.com/problems/score-of-parentheses,Not Done
143,Reorder List,37.1%,Medium,0.0455400258860835, https://leetcode.com/problems/reorder-list,Not Done
1235,Maximum Profit in Job Scheduling,44.0%,Hard,0.0405735164471665, https://leetcode.com/problems/maximum-profit-in-job-scheduling,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.0379552200004355, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
402,Remove K Digits,28.4%,Medium,0.0375513456521324, https://leetcode.com/problems/remove-k-digits,Not Done
1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,0.0362851597397644, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0349979727542139, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.0345855796497799, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
974,Subarray Sums Divisible by K,48.9%,Medium,0.0336732151065878, https://leetcode.com/problems/subarray-sums-divisible-by-k,Not Done
207,Course Schedule,43.1%,Medium,0.0306283894901178, https://leetcode.com/problems/course-schedule,Not Done
44,Wildcard Matching,24.7%,Hard,0.0305730333622823, https://leetcode.com/problems/wildcard-matching,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0291056633868856, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
695,Max Area of Island,62.7%,Medium,0.0283215908632461, https://leetcode.com/problems/max-area-of-island,Not Done
445,Add Two Numbers II,54.5%,Medium,0.0275330943599893, https://leetcode.com/problems/add-two-numbers-ii,Not Done
79,Word Search,35.6%,Medium,0.0263086531563008, https://leetcode.com/problems/word-search,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0250564321052577, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0246043242310393, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
78,Subsets,62.0%,Medium,0.0228278722060345, https://leetcode.com/problems/subsets,Not Done
