ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
440,K-th Smallest in Lexicographical Order,29.1%,Hard,0.6255531303521535, https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,Not Done
465,Optimal Account Balancing,46.9%,Hard,0.5742250229838192, https://leetcode.com/problems/optimal-account-balancing,Not Done
42,Trapping Rain Water,48.9%,Hard,0.5642428619989066, https://leetcode.com/problems/trapping-rain-water,Not Done
493,Reverse Pairs,25.2%,Hard,0.5129147546305722, https://leetcode.com/problems/reverse-pairs,Not Done
351,Android Unlock Patterns,48.4%,Medium,0.4932463309863216, https://leetcode.com/problems/android-unlock-patterns,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.4843978663699508, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
146,LRU Cache,33.2%,Medium,0.4555489526464103, https://leetcode.com/problems/lru-cache,Not Done
407,Trapping Rain Water II,42.4%,Hard,0.4506714555662511, https://leetcode.com/problems/trapping-rain-water-ii,Not Done
726,Number of Atoms,49.0%,Hard,0.444497284392603, https://leetcode.com/problems/number-of-atoms,Not Done
403,Frog Jump,39.7%,Hard,0.4059129982084613, https://leetcode.com/problems/frog-jump,Not Done
777,Swap Adjacent in LR String,34.8%,Medium,0.3886435093009646, https://leetcode.com/problems/swap-adjacent-in-lr-string,Not Done
470,Implement Rand10() Using Rand7(),46.3%,Medium,0.3541335285236038, https://leetcode.com/problems/implement-rand10-using-rand7,Not Done
1202,Smallest String With Swaps,46.5%,Medium,0.3224673282497418, https://leetcode.com/problems/smallest-string-with-swaps,Not Done
1262,Greatest Sum Divisible by Three,47.6%,Medium,0.3224376243383285, https://leetcode.com/problems/greatest-sum-divisible-by-three,Not Done
1172,Dinner Plate Stacks,38.2%,Hard,0.2711095169699942, https://leetcode.com/problems/dinner-plate-stacks,Not Done
1057,Campus Bikes,57.7%,Medium,0.2582475718767295, https://leetcode.com/problems/campus-bikes,Not Done
31,Next Permutation,32.6%,Medium,0.258033900040813, https://leetcode.com/problems/next-permutation,Not Done
670,Maximum Swap,43.6%,Medium,0.2295474365135236, https://leetcode.com/problems/maximum-swap,Not Done
143,Reorder List,37.1%,Medium,0.2117804582764529, https://leetcode.com/problems/reorder-list,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.1881816310890415, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
681,Next Closest Time,45.0%,Medium,0.1881261522599218, https://leetcode.com/problems/next-closest-time,Not Done
445,Add Two Numbers II,54.5%,Medium,0.1810800917058897, https://leetcode.com/problems/add-two-numbers-ii,Not Done
1283,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.1788475571827798, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Not Done
1235,Maximum Profit in Job Scheduling,44.0%,Hard,0.1532629744871177, https://leetcode.com/problems/maximum-profit-in-job-scheduling,Not Done
695,Max Area of Island,62.7%,Medium,0.1453113999428855, https://leetcode.com/problems/max-area-of-island,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.1438742388841729, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
51,N-Queens,46.6%,Hard,0.1386833875339506, https://leetcode.com/problems/n-queens,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.1327502812764459, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
316,Remove Duplicate Letters,35.8%,Hard,0.1165801830326188, https://leetcode.com/problems/remove-duplicate-letters,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.1149245296604198, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.1145926416581286, https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.1117914059881167, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.1092140301774927, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
856,Score of Parentheses,60.5%,Medium,0.0999721929101361, https://leetcode.com/problems/score-of-parentheses,Not Done
207,Course Schedule,43.1%,Medium,0.0960111487529696, https://leetcode.com/problems/course-schedule,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0949810653845502, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0935807994396979, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,Not Done
320,Generalized Abbreviation,52.1%,Medium,0.0935260580108234, https://leetcode.com/problems/generalized-abbreviation,Not Done
282,Expression Add Operators,35.5%,Hard,0.0872011843357438, https://leetcode.com/problems/expression-add-operators,Not Done
206,Reverse Linked List,62.5%,Easy,0.0809658089087222, https://leetcode.com/problems/reverse-linked-list,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0790038276957049, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
54,Spiral Matrix,34.1%,Medium,0.0779284612004354, https://leetcode.com/problems/spiral-matrix,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0728836975944726, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
78,Subsets,62.0%,Medium,0.0721466627971786, https://leetcode.com/problems/subsets,Not Done
406,Queue Reconstruction by Height,66.9%,Medium,0.0691719064887724, https://leetcode.com/problems/queue-reconstruction-by-height,Not Done
386,Lexicographical Numbers,51.6%,Medium,0.0687555954151299, https://leetcode.com/problems/lexicographical-numbers,Not Done
56,Merge Intervals,39.3%,Medium,0.0680763502586962, https://leetcode.com/problems/merge-intervals,Not Done
