ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
920,Number of Music Playlists,46.5%,Hard,2.161795952094152, https://leetcode.com/problems/number-of-music-playlists,Not Done
453,Minimum Moves to Equal Array Elements,50.2%,Easy,1.6379595379336402, https://leetcode.com/problems/minimum-moves-to-equal-array-elements,Not Done
68,Text Justification,27.7%,Hard,1.5875791186216013, https://leetcode.com/problems/text-justification,Not Done
761,Special Binary String,54.7%,Hard,1.38007672450902, https://leetcode.com/problems/special-binary-string,Not Done
10,Regular Expression Matching,26.8%,Hard,0.8562403103485083, https://leetcode.com/problems/regular-expression-matching,Not Done
713,Subarray Product Less Than K,39.1%,Medium,0.621799099762479, https://leetcode.com/problems/subarray-product-less-than-k,Not Done
780,Reaching Points,29.4%,Hard,0.3635937067449341, https://leetcode.com/problems/reaching-points,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.1428985347902355, https://leetcode.com/problems/sliding-window-maximum,Not Done
44,Wildcard Matching,24.7%,Hard,0.1122322650678354, https://leetcode.com/problems/wildcard-matching,Not Done
1112,Highest Grade For Each Student,69.5%,Medium,0.0645385211375711, https://leetcode.com/problems/highest-grade-for-each-student,Not Done
647,Palindromic Substrings,60.6%,Medium,0.0395308387566352, https://leetcode.com/problems/palindromic-substrings,Not Done
15,3Sum,26.8%,Medium,0.0129367910307194, https://leetcode.com/problems/3sum,Not Done
392,Is Subsequence,49.2%,Easy,0.0086881519576379, https://leetcode.com/problems/is-subsequence,Not Done
945,Minimum Increment to Make Array Unique,46.3%,Medium,0.0, https://leetcode.com/problems/minimum-increment-to-make-array-unique,Not Done
1137,N-th Tribonacci Number,55.9%,Easy,0.0, https://leetcode.com/problems/n-th-tribonacci-number,Not Done
