ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
609,Find Duplicate File in System,59.5%,Medium,4.308646054568235, https://leetcode.com/problems/find-duplicate-file-in-system,Not Done
924,Minimize Malware Spread,42.0%,Hard,3.703407258805061, https://leetcode.com/problems/minimize-malware-spread,Not Done
289,Game of Life,54.5%,Medium,3.452499696999781, https://leetcode.com/problems/game-of-life,Not Done
379,Design Phone Directory,46.8%,Medium,2.546315277916644, https://leetcode.com/problems/design-phone-directory,Not Done
928,Minimize Malware Spread II,40.5%,Hard,1.6401308588335066, https://leetcode.com/problems/minimize-malware-spread-ii,Not Done
1242,Web Crawler Multithreaded,45.9%,Medium,0.8967461358011848, https://leetcode.com/problems/web-crawler-multithreaded,Not Done
1178,Number of Valid Words for Each Puzzle,37.8%,Hard,0.8109302162163288, https://leetcode.com/problems/number-of-valid-words-for-each-puzzle,Not Done
642,Design Search Autocomplete System,44.7%,Hard,0.4334924203628202, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
146,LRU Cache,33.2%,Medium,0.1305731307896573, https://leetcode.com/problems/lru-cache,Not Done
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.091713927690136, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Not Done
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0174925199324997, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
64,Minimum Path Sum,54.5%,Medium,0.0137343834495983, https://leetcode.com/problems/minimum-path-sum,Not Done
28,Implement strStr(),34.5%,Easy,0.00394322277504, https://leetcode.com/problems/implement-strstr,Not Done
