ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
545,Boundary of Binary Tree,38.9%,Medium,0.2348488235991804, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
146,LRU Cache,33.2%,Medium,0.1979320887256725, https://leetcode.com/problems/lru-cache,Not Done
498,Diagonal Traverse,48.2%,Medium,0.1610153538521647, https://leetcode.com/problems/diagonal-traverse,Not Done
702,Search in a Sorted Array of Unknown Size,66.9%,Medium,0.1378324745239132, https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size,Not Done
968,Binary Tree Cameras,37.5%,Hard,0.125864220890004, https://leetcode.com/problems/binary-tree-cameras,Not Done
358,Rearrange String k Distance Apart,34.9%,Hard,0.0889474860164961, https://leetcode.com/problems/rearrange-string-k-distance-apart,Not Done
703,Kth Largest Element in a Stream,49.7%,Easy,0.0838573529977253, https://leetcode.com/problems/kth-largest-element-in-a-stream,Not Done
962,Maximum Width Ramp,45.4%,Medium,0.0818452481042433, https://leetcode.com/problems/maximum-width-ramp,Not Done
250,Count Univalue Subtrees,52.0%,Medium,0.0797588183884502, https://leetcode.com/problems/count-univalue-subtrees,Not Done
244,Shortest Word Distance II,52.3%,Medium,0.0762273653878842, https://leetcode.com/problems/shortest-word-distance-ii,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0704654566800056, https://leetcode.com/problems/meeting-rooms-ii,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0674815433694624, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
846,Hand of Straights,54.2%,Medium,0.0647242394034963, https://leetcode.com/problems/hand-of-straights,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0634561659486313, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.0613689463762921, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
796,Rotate String,49.6%,Easy,0.0597787514258393, https://leetcode.com/problems/rotate-string,Not Done
366,Find Leaves of Binary Tree,70.6%,Medium,0.0552626786750494, https://leetcode.com/problems/find-leaves-of-binary-tree,Not Done
735,Asteroid Collision,41.0%,Medium,0.0547915488296824, https://leetcode.com/problems/asteroid-collision,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.0498442040772913, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
227,Basic Calculator II,36.9%,Medium,0.048701041581253, https://leetcode.com/problems/basic-calculator-ii,Not Done
143,Reorder List,37.1%,Medium,0.0455400258860835, https://leetcode.com/problems/reorder-list,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0444078884894403, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
54,Spiral Matrix,34.1%,Medium,0.0405176147578357, https://leetcode.com/problems/spiral-matrix,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0380795322359262, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.0378713606995214, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
51,N-Queens,46.6%,Hard,0.0365152129750974, https://leetcode.com/problems/n-queens,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0358854412556243, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
283,Move Zeroes,57.8%,Easy,0.0347848812354806, https://leetcode.com/problems/move-zeroes,Not Done
1146,Snapshot Array,37.0%,Medium,0.0317991816929387, https://leetcode.com/problems/snapshot-array,Not Done
284,Peeking Iterator,45.7%,Medium,0.0311067071322548, https://leetcode.com/problems/peeking-iterator,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0280130362276739, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0275701045042675, https://leetcode.com/problems/longest-palindromic-substring,Not Done
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,42.1%,Medium,0.0269558099885282, https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Not Done
130,Surrounded Regions,28.1%,Medium,0.0267236805521127, https://leetcode.com/problems/surrounded-regions,Not Done
46,Permutations,63.5%,Medium,0.0260648617105477, https://leetcode.com/problems/permutations,Not Done
200,Number of Islands,46.8%,Medium,0.0257120292126023, https://leetcode.com/problems/number-of-islands,Not Done
951,Flip Equivalent Binary Trees,65.8%,Medium,0.0252698221880763, https://leetcode.com/problems/flip-equivalent-binary-trees,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0243155336983582, https://leetcode.com/problems/product-of-array-except-self,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.0241440989293609, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
31,Next Permutation,32.6%,Medium,0.0237470345628781, https://leetcode.com/problems/next-permutation,Not Done
40,Combination Sum II,48.2%,Medium,0.0214242900440833, https://leetcode.com/problems/combination-sum-ii,Not Done
698,Partition to K Equal Sum Subsets,45.0%,Medium,0.0210978289646358, https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Not Done
206,Reverse Linked List,62.5%,Easy,0.0208642746707607, https://leetcode.com/problems/reverse-linked-list,Not Done
1122,Relative Sort Array,67.7%,Easy,0.0196856750710303, https://leetcode.com/problems/relative-sort-array,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.0189999382449039, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.018891763947827, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
787,Cheapest Flights Within K Stops,39.3%,Medium,0.0188240852456355, https://leetcode.com/problems/cheapest-flights-within-k-stops,Not Done
394,Decode String,50.0%,Medium,0.0182820448374491, https://leetcode.com/problems/decode-string,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0174925199324997, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.0169815401480941, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
658,Find K Closest Elements,40.9%,Medium,0.0166116776668961, https://leetcode.com/problems/find-k-closest-elements,Not Done
10,Regular Expression Matching,26.8%,Hard,0.0160976468428474, https://leetcode.com/problems/regular-expression-matching,Not Done
125,Valid Palindrome,36.7%,Easy,0.015827810886077, https://leetcode.com/problems/valid-palindrome,Not Done
977,Squares of a Sorted Array,72.1%,Easy,0.0154741965825973, https://leetcode.com/problems/squares-of-a-sorted-array,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.0152720059813261, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.0149395869161867, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Not Done
102,Binary Tree Level Order Traversal,54.6%,Medium,0.0144772705882875, https://leetcode.com/problems/binary-tree-level-order-traversal,Not Done
20,Valid Parentheses,39.0%,Easy,0.0142924911800259, https://leetcode.com/problems/valid-parentheses,Not Done
