ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
20,Valid Parentheses,39.0%,Easy,0.5285821270620421, https://leetcode.com/problems/valid-parentheses,Not Done
974,Subarray Sums Divisible by K,48.9%,Medium,0.4502609382733357, https://leetcode.com/problems/subarray-sums-divisible-by-k,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.3719397494846294, https://leetcode.com/problems/set-matrix-zeroes,Not Done
1283,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.3650850124002738, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Not Done
443,String Compression,41.3%,Easy,0.3002083322709612, https://leetcode.com/problems/string-compression,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.2561733762253273, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.2417268690318467, https://leetcode.com/problems/find-median-from-data-stream,Not Done
37,Sudoku Solver,43.6%,Hard,0.2030908927628207, https://leetcode.com/problems/sudoku-solver,Not Done
451,Sort Characters By Frequency,63.0%,Medium,0.1921484317335642, https://leetcode.com/problems/sort-characters-by-frequency,Not Done
200,Number of Islands,46.8%,Medium,0.189865498585062, https://leetcode.com/problems/number-of-islands,Not Done
713,Subarray Product Less Than K,39.1%,Medium,0.1454358319842275, https://leetcode.com/problems/subarray-product-less-than-k,Not Done
973,K Closest Points to Origin,63.8%,Medium,0.1351947450239383, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
146,LRU Cache,33.2%,Medium,0.1305731307896573, https://leetcode.com/problems/lru-cache,Not Done
1,Two Sum,45.6%,Easy,0.1299229690633312, https://leetcode.com/problems/two-sum,Not Done
88,Merge Sorted Array,39.4%,Easy,0.1198911526846698, https://leetcode.com/problems/merge-sorted-array,Not Done
53,Maximum Subarray,46.5%,Easy,0.115140069653099, https://leetcode.com/problems/maximum-subarray,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.1149245296604198, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.1076306641923654, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0991059463235541, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0947313331048832, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
884,Uncommon Words from Two Sentences,63.3%,Easy,0.079900510730531, https://leetcode.com/problems/uncommon-words-from-two-sentences,Not Done
198,House Robber,42.0%,Easy,0.0584908590737272, https://leetcode.com/problems/house-robber,Not Done
43,Multiply Strings,33.9%,Medium,0.0558305280472805, https://leetcode.com/problems/multiply-strings,Not Done
724,Find Pivot Index,44.0%,Easy,0.0542874128378284, https://leetcode.com/problems/find-pivot-index,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0494562805906621, https://leetcode.com/problems/meeting-rooms-ii,Not Done
15,3Sum,26.8%,Medium,0.0436139107737019, https://leetcode.com/problems/3sum,Not Done
404,Sum of Left Leaves,50.9%,Easy,0.0311875588567044, https://leetcode.com/problems/sum-of-left-leaves,Not Done
134,Gas Station,38.5%,Medium,0.0301833778230985, https://leetcode.com/problems/gas-station,Not Done
692,Top K Frequent Words,51.8%,Medium,0.0297309151846794, https://leetcode.com/problems/top-k-frequent-words,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0246043242310393, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
127,Word Ladder,29.6%,Medium,0.0237048136551663, https://leetcode.com/problems/word-ladder,Not Done
739,Daily Temperatures,63.3%,Medium,0.022433642692117, https://leetcode.com/problems/daily-temperatures,Not Done
96,Unique Binary Search Trees,52.9%,Medium,0.0206761328384273, https://leetcode.com/problems/unique-binary-search-trees,Not Done
160,Intersection of Two Linked Lists,40.6%,Easy,0.0194629668810578, https://leetcode.com/problems/intersection-of-two-linked-lists,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0180103922744653, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
91,Decode Ways,24.7%,Medium,0.013379120336324, https://leetcode.com/problems/decode-ways,Not Done
242,Valid Anagram,56.9%,Easy,0.0093226281162749, https://leetcode.com/problems/valid-anagram,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.0087591800898815, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
167,Two Sum II - Input array is sorted,54.1%,Easy,0.005507380022589, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.004279454482267, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
102,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal,Not Done
611,Valid Triangle Number,48.4%,Medium,0.0, https://leetcode.com/problems/valid-triangle-number,Not Done
1101,The Earliest Moment When Everyone Become Friends,66.3%,Medium,0.0, https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,Not Done
1151,Minimum Swaps to Group All 1's Together,59.3%,Medium,0.0, https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,Not Done
1328,Break a Palindrome,43.3%,Medium,0.0, https://leetcode.com/problems/break-a-palindrome,Not Done
1451,Rearrange Words in a Sentence,54.8%,Medium,0.0, https://leetcode.com/problems/rearrange-words-in-a-sentence,Not Done
1492,The kth Factor of n,67.9%,Medium,0.0, https://leetcode.com/problems/the-kth-factor-of-n,Not Done
