ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
953,Verifying an Alien Dictionary,54.1%,Easy,3.672929743430384, https://leetcode.com/problems/verifying-an-alien-dictionary,Not Done
1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,3.495670386899169, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Not Done
973,K Closest Points to Origin,63.8%,Medium,3.3184110303679546, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
238,Product of Array Except Self,60.1%,Medium,3.283232213950597, https://leetcode.com/problems/product-of-array-except-self,Not Done
301,Remove Invalid Parentheses,43.3%,Hard,3.2812706407880663, https://leetcode.com/problems/remove-invalid-parentheses,Not Done
680,Valid Palindrome II,36.6%,Easy,3.271459420826784, https://leetcode.com/problems/valid-palindrome-ii,Not Done
560,Subarray Sum Equals K,43.9%,Medium,3.2328873827137383, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
273,Integer to English Words,27.1%,Hard,3.055628026182524, https://leetcode.com/problems/integer-to-english-words,Not Done
269,Alien Dictionary,33.3%,Hard,2.878368669651309, https://leetcode.com/problems/alien-dictionary,Not Done
415,Add Strings,47.5%,Easy,2.7192844822779243, https://leetcode.com/problems/add-strings,Not Done
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,2.5420251257467097, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Not Done
124,Binary Tree Maximum Path Sum,34.3%,Hard,2.524435338510988, https://leetcode.com/problems/binary-tree-maximum-path-sum,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,2.491660542713749, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
199,Binary Tree Right Side View,54.1%,Medium,2.4876454517631963, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
438,Find All Anagrams in a String,43.3%,Medium,2.397524297872021, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
211,Add and Search Word - Data structure design,38.1%,Medium,2.3759545223677563, https://leetcode.com/problems/add-and-search-word-data-structure-design,Not Done
278,First Bad Version,35.7%,Easy,2.1986951658365417, https://leetcode.com/problems/first-bad-version,Not Done
523,Continuous Subarray Sum,24.6%,Medium,2.166716009367632, https://leetcode.com/problems/continuous-subarray-sum,Not Done
23,Merge k Sorted Lists,40.2%,Hard,2.1408121493810057, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
125,Valid Palindrome,36.7%,Easy,2.10463501498305, https://leetcode.com/problems/valid-palindrome,Not Done
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,2.037680840781204, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,2.0078306132610235, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
67,Add Binary,45.2%,Easy,2.000688443737229, https://leetcode.com/problems/add-binary,Not Done
282,Expression Add Operators,35.5%,Hard,1.9743024644234968, https://leetcode.com/problems/expression-add-operators,Not Done
340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,1.9268050203671725, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,1.9162899009936007, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
543,Diameter of Binary Tree,48.4%,Easy,1.9159403034429063, https://leetcode.com/problems/diameter-of-binary-tree,Not Done
636,Exclusive Time of Functions,51.9%,Medium,1.9144673183856245, https://leetcode.com/problems/exclusive-time-of-functions,Not Done
65,Valid Number,15.3%,Hard,1.82492214813292, https://leetcode.com/problems/valid-number,Not Done
986,Interval List Intersections,67.3%,Medium,1.7606773319042146, https://leetcode.com/problems/interval-list-intersections,Not Done
76,Minimum Window Substring,34.6%,Hard,1.7452444146734871, https://leetcode.com/problems/minimum-window-substring,Not Done
1428,Leftmost Column with at Least a One,46.8%,Medium,1.7410939458816417, https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Not Done
398,Random Pick Index,56.0%,Medium,1.739251464947996, https://leetcode.com/problems/random-pick-index,Not Done
938,Range Sum of BST,81.3%,Easy,1.7183278125336303, https://leetcode.com/problems/range-sum-of-bst,Not Done
311,Sparse Matrix Multiplication,61.9%,Medium,1.6183865180101145, https://leetcode.com/problems/sparse-matrix-multiplication,Not Done
270,Closest Binary Search Tree Value,48.5%,Easy,1.586376093728572, https://leetcode.com/problems/closest-binary-search-tree-value,Not Done
689,Maximum Sum of 3 Non-Overlapping Subarrays,46.3%,Hard,1.5757403799369294, https://leetcode.com/problems/maximum-sum-of-3-non-overlapping-subarrays,Not Done
56,Merge Intervals,39.3%,Medium,1.5421333498120642, https://leetcode.com/problems/merge-intervals,Not Done
31,Next Permutation,32.6%,Medium,1.4952605643210366, https://leetcode.com/problems/next-permutation,Not Done
139,Word Break,40.1%,Medium,1.480641865588627, https://leetcode.com/problems/word-break,Not Done
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,1.4752728801959076, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Not Done
133,Clone Graph,34.8%,Medium,1.4511392078839955, https://leetcode.com/problems/clone-graph,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,1.4396247937745372, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
71,Simplify Path,32.6%,Medium,1.4382022207219085, https://leetcode.com/problems/simplify-path,Not Done
88,Merge Sorted Array,39.4%,Easy,1.4313521714101425, https://leetcode.com/problems/merge-sorted-array,Not Done
896,Monotonic Array,57.9%,Easy,1.425300111606301, https://leetcode.com/problems/monotonic-array,Not Done
785,Is Graph Bipartite?,47.5%,Medium,1.4051826456400964, https://leetcode.com/problems/is-graph-bipartite,Not Done
721,Accounts Merge,48.8%,Medium,1.3810374792408489, https://leetcode.com/problems/accounts-merge,Not Done
349,Intersection of Two Arrays,62.5%,Easy,1.3262693184793644, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
29,Divide Two Integers,16.4%,Medium,1.3132705131849702, https://leetcode.com/problems/divide-two-integers,Not Done
249,Group Shifted Strings,55.1%,Medium,1.2602327507507307, https://leetcode.com/problems/group-shifted-strings,Not Done
339,Nested List Weight Sum,74.0%,Easy,1.2338014599366327, https://leetcode.com/problems/nested-list-weight-sum,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,1.2247904974214212, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
1060,Missing Element in Sorted Array,54.5%,Medium,1.2015522948374056, https://leetcode.com/problems/missing-element-in-sorted-array,Not Done
42,Trapping Rain Water,48.9%,Hard,1.195895799454225, https://leetcode.com/problems/trapping-rain-water,Not Done
767,Reorganize String,48.7%,Medium,1.182457868492389, https://leetcode.com/problems/reorganize-string,Not Done
708,Insert into a Sorted Circular Linked List,31.6%,Medium,1.172343257989845, https://leetcode.com/problems/insert-into-a-sorted-circular-linked-list,Not Done
958,Check Completeness of a Binary Tree,52.1%,Medium,1.1632195643177228, https://leetcode.com/problems/check-completeness-of-a-binary-tree,Not Done
1197,Minimum Knight Moves,36.1%,Medium,1.1562032194143523, https://leetcode.com/problems/minimum-knight-moves,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,1.0938757493214366, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
528,Random Pick with Weight,43.9%,Medium,1.0906112458600137, https://leetcode.com/problems/random-pick-with-weight,Not Done
253,Meeting Rooms II,45.7%,Medium,1.0814304382893596, https://leetcode.com/problems/meeting-rooms-ii,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,1.0764926440989369, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
670,Maximum Swap,43.6%,Medium,1.0650556866604306, https://leetcode.com/problems/maximum-swap,Not Done
