ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
953,Verifying an Alien Dictionary,54.1%,Easy,2.989885912665777, https://leetcode.com/problems/verifying-an-alien-dictionary,Not Done
1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,2.789692716779026, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Not Done
560,Subarray Sum Equals K,43.9%,Medium,2.589499520892275, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
680,Valid Palindrome II,36.6%,Easy,2.4309487236103293, https://leetcode.com/problems/valid-palindrome-ii,Not Done
973,K Closest Points to Origin,63.8%,Medium,2.4168563957837117, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
238,Product of Array Except Self,60.1%,Medium,2.3907554290635766, https://leetcode.com/problems/product-of-array-except-self,Not Done
273,Integer to English Words,27.1%,Hard,2.1905622331768257, https://leetcode.com/problems/integer-to-english-words,Not Done
269,Alien Dictionary,33.3%,Hard,1.9903690372900749, https://leetcode.com/problems/alien-dictionary,Not Done
415,Add Strings,47.5%,Easy,1.9412871417683928, https://leetcode.com/problems/add-strings,Not Done
1428,Leftmost Column with at Least a One,46.8%,Medium,1.7410939458816417, https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Not Done
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,1.70215076662618, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Not Done
301,Remove Invalid Parentheses,43.3%,Hard,1.6508280515405795, https://leetcode.com/problems/remove-invalid-parentheses,Not Done
199,Binary Tree Right Side View,54.1%,Medium,1.639858082257006, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
211,Add and Search Word - Data structure design,38.1%,Medium,1.5661206772732004, https://leetcode.com/problems/add-and-search-word-data-structure-design,Not Done
438,Find All Anagrams in a String,43.3%,Medium,1.525736950713966, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,1.45465966830531, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
278,First Bad Version,35.7%,Easy,1.414379824999279, https://leetcode.com/problems/first-bad-version,Not Done
