ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
301,Remove Invalid Parentheses,43.3%,Hard,5.575610066775206, https://leetcode.com/problems/remove-invalid-parentheses,Not Done
273,Integer to English Words,27.1%,Hard,5.444753025333917, https://leetcode.com/problems/integer-to-english-words,Not Done
953,Verifying an Alien Dictionary,54.1%,Easy,5.313895983892627, https://leetcode.com/problems/verifying-an-alien-dictionary,Not Done
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,5.183038942451338, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,5.090902981800583, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
10,Regular Expression Matching,26.8%,Hard,4.960045940359294, https://leetcode.com/problems/regular-expression-matching,Not Done
91,Decode Ways,24.7%,Medium,4.926071339059624, https://leetcode.com/problems/decode-ways,Not Done
253,Meeting Rooms II,45.7%,Medium,4.890863444823654, https://leetcode.com/problems/meeting-rooms-ii,Not Done
238,Product of Array Except Self,60.1%,Medium,4.787304832474671, https://leetcode.com/problems/product-of-array-except-self,Not Done
680,Valid Palindrome II,36.6%,Easy,4.727432294246022, https://leetcode.com/problems/valid-palindrome-ii,Not Done
15,3Sum,26.8%,Medium,4.716880252749641, https://leetcode.com/problems/3sum,Not Done
560,Subarray Sum Equals K,43.9%,Medium,4.681694359055468, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
278,First Bad Version,35.7%,Easy,4.667124795676079, https://leetcode.com/problems/first-bad-version,Not Done
76,Minimum Window Substring,34.6%,Hard,4.624844309488783, https://leetcode.com/problems/minimum-window-substring,Not Done
973,K Closest Points to Origin,63.8%,Medium,4.622683742306236, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
67,Add Binary,45.2%,Easy,4.59057803547337, https://leetcode.com/problems/add-binary,Not Done
23,Merge k Sorted Lists,40.2%,Hard,4.540902119231776, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
283,Move Zeroes,57.8%,Easy,4.539910062491303, https://leetcode.com/problems/move-zeroes,Not Done
1249,Minimum Remove to Make Valid Parentheses,62.5%,Medium,4.510651510608414, https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Not Done
125,Valid Palindrome,36.7%,Easy,4.472291401117124, https://leetcode.com/problems/valid-palindrome,Not Done
29,Divide Two Integers,16.4%,Medium,4.451722795491452, https://leetcode.com/problems/divide-two-integers,Not Done
31,Next Permutation,32.6%,Medium,4.413309355076113, https://leetcode.com/problems/next-permutation,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,4.402058148743651, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
282,Expression Add Operators,35.5%,Hard,4.392818642206004, https://leetcode.com/problems/expression-add-operators,Not Done
211,Add and Search Word - Data structure design,38.1%,Medium,4.32373689930886, https://leetcode.com/problems/add-and-search-word-data-structure-design,Not Done
65,Valid Number,15.3%,Hard,4.274687734189391, https://leetcode.com/problems/valid-number,Not Done
157,Read N Characters Given Read4,34.2%,Easy,4.211806122562663, https://leetcode.com/problems/read-n-characters-given-read4,Not Done
124,Binary Tree Maximum Path Sum,34.3%,Hard,4.173080791636589, https://leetcode.com/problems/binary-tree-maximum-path-sum,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,4.169848738461142, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,4.164730824697368, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
56,Merge Intervals,39.3%,Medium,4.104801117510305, https://leetcode.com/problems/merge-intervals,Not Done
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,4.095652308198605, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,Not Done
269,Alien Dictionary,33.3%,Hard,4.0805624877290665, https://leetcode.com/problems/alien-dictionary,Not Done
1,Two Sum,45.6%,Easy,4.011510827995362, https://leetcode.com/problems/two-sum,Not Done
