ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
441,Arranging Coins,41.9%,Easy,0.0897385172600569, https://leetcode.com/problems/arranging-coins,Not Done
146,LRU Cache,33.2%,Medium,0.0711806782206288, https://leetcode.com/problems/lru-cache,Not Done
20,Valid Parentheses,39.0%,Easy,0.0559837223814206, https://leetcode.com/problems/valid-parentheses,Not Done
1,Two Sum,45.6%,Easy,0.0512070908527417, https://leetcode.com/problems/two-sum,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0494562805906621, https://leetcode.com/problems/meeting-rooms-ii,Not Done
724,Find Pivot Index,44.0%,Easy,0.0308984415512341, https://leetcode.com/problems/find-pivot-index,Not Done
63,Unique Paths II,34.6%,Medium,0.0194980180409965, https://leetcode.com/problems/unique-paths-ii,Not Done
139,Word Break,40.1%,Medium,0.0154876776913513, https://leetcode.com/problems/word-break,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0141613332940249, https://leetcode.com/problems/longest-palindromic-substring,Not Done
56,Merge Intervals,39.3%,Medium,0.0138195324222588, https://leetcode.com/problems/merge-intervals,Not Done
344,Reverse String,68.5%,Easy,0.013014662307854, https://leetcode.com/problems/reverse-string,Not Done
200,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands,Not Done
279,Perfect Squares,47.4%,Medium,0.009216655104924, https://leetcode.com/problems/perfect-squares,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring,Not Done
46,Permutations,63.5%,Medium,0.0042163022301392, https://leetcode.com/problems/permutations,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
443,String Compression,41.3%,Easy,0.0, https://leetcode.com/problems/string-compression,Not Done
