ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1086,High Five,79.7%,Easy,1.3586699801761457, https://leetcode.com/problems/high-five,Not Done
780,Reaching Points,29.4%,Hard,1.054860335368066, https://leetcode.com/problems/reaching-points,Not Done
42,Trapping Rain Water,48.9%,Hard,0.9988138361152376, https://leetcode.com/problems/trapping-rain-water,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,0.695004191307158, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
209,Minimum Size Subarray Sum,38.2%,Medium,0.612452943971577, https://leetcode.com/problems/minimum-size-subarray-sum,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.6115111972698513, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
387,First Unique Character in a String,53.4%,Easy,0.3210146251176918, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.2486840777539886, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
524,Longest Word in Dictionary through Deleting,48.4%,Medium,0.2456065085773121, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,Not Done
166,Fraction to Recurring Decimal,21.6%,Medium,0.2226345159252593, https://leetcode.com/problems/fraction-to-recurring-decimal,Not Done
443,String Compression,41.3%,Easy,0.1583435580872942, https://leetcode.com/problems/string-compression,Not Done
592,Fraction Addition and Subtraction,49.0%,Medium,0.1571855835224123, https://leetcode.com/problems/fraction-addition-and-subtraction,Not Done
532,K-diff Pairs in an Array,31.6%,Easy,0.1571855835224123, https://leetcode.com/problems/k-diff-pairs-in-an-array,Not Done
862,Shortest Subarray with Sum at Least K,24.6%,Hard,0.0979375349867057, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Not Done
64,Minimum Path Sum,54.5%,Medium,0.0938004079403902, https://leetcode.com/problems/minimum-path-sum,Not Done
49,Group Anagrams,56.9%,Medium,0.0910132049425485, https://leetcode.com/problems/group-anagrams,Not Done
688,Knight Probability in Chessboard,48.9%,Medium,0.083926207699934, https://leetcode.com/problems/knight-probability-in-chessboard,Not Done
939,Minimum Area Rectangle,51.8%,Medium,0.0836141400411335, https://leetcode.com/problems/minimum-area-rectangle,Not Done
547,Friend Circles,58.6%,Medium,0.0740860006507603, https://leetcode.com/problems/friend-circles,Not Done
1051,Height Checker,71.1%,Easy,0.0696078303809568, https://leetcode.com/problems/height-checker,Not Done
289,Game of Life,54.5%,Medium,0.067564736999601, https://leetcode.com/problems/game-of-life,Not Done
1395,Count Number of Teams,82.0%,Medium,0.056405927913552, https://leetcode.com/problems/count-number-of-teams,Not Done
647,Palindromic Substrings,60.6%,Medium,0.0409683507725418, https://leetcode.com/problems/palindromic-substrings,Not Done
706,Design HashMap,61.3%,Easy,0.0390166523424517, https://leetcode.com/problems/design-hashmap,Not Done
657,Robot Return to Origin,73.5%,Easy,0.0389659685333837, https://leetcode.com/problems/robot-return-to-origin,Not Done
993,Cousins in Binary Tree,52.0%,Easy,0.0387645434502443, https://leetcode.com/problems/cousins-in-binary-tree,Not Done
942,DI String Match,72.6%,Easy,0.0386521544342791, https://leetcode.com/problems/di-string-match,Not Done
322,Coin Change,35.5%,Medium,0.024924029676386, https://leetcode.com/problems/coin-change,Not Done
8,String to Integer (atoi),15.4%,Medium,0.0234708483455069, https://leetcode.com/problems/string-to-integer-atoi,Not Done
326,Power of Three,42.1%,Easy,0.0233413086327962, https://leetcode.com/problems/power-of-three,Not Done
1209,Remove All Adjacent Duplicates in String II,56.9%,Medium,0.0232433473723272, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Not Done
