ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
42,Trapping Rain Water,48.9%,Hard,3.4017115728252114, https://leetcode.com/problems/trapping-rain-water,Not Done
1086,High Five,79.7%,Easy,3.081613006775713, https://leetcode.com/problems/high-five,Not Done
209,Minimum Size Subarray Sum,38.2%,Medium,2.761514440726214, https://leetcode.com/problems/minimum-size-subarray-sum,Not Done
289,Game of Life,54.5%,Medium,2.441415874676716, https://leetcode.com/problems/game-of-life,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,2.2841074960153698, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
688,Knight Probability in Chessboard,48.9%,Medium,2.217128926271222, https://leetcode.com/problems/knight-probability-in-chessboard,Not Done
387,First Unique Character in a String,53.4%,Easy,2.12805942959263, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
592,Fraction Addition and Subtraction,49.0%,Medium,1.8162790864023732, https://leetcode.com/problems/fraction-addition-and-subtraction,Not Done
443,String Compression,41.3%,Easy,1.7567223362906532, https://leetcode.com/problems/string-compression,Not Done
862,Shortest Subarray with Sum at Least K,24.6%,Hard,1.7383767819805511, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k,Not Done
166,Fraction to Recurring Decimal,21.6%,Medium,1.719216136548627, https://leetcode.com/problems/fraction-to-recurring-decimal,Not Done
722,Remove Comments,34.6%,Medium,1.6355405363367377, https://leetcode.com/problems/remove-comments,Not Done
238,Product of Array Except Self,60.1%,Medium,1.5653986776487463, https://leetcode.com/problems/product-of-array-except-self,Not Done
70,Climbing Stairs,47.8%,Easy,1.515339965084781, https://leetcode.com/problems/climbing-stairs,Not Done
49,Group Anagrams,56.9%,Medium,1.514137260931213, https://leetcode.com/problems/group-anagrams,Not Done
780,Reaching Points,29.4%,Hard,1.4774527855096036, https://leetcode.com/problems/reaching-points,Not Done
706,Design HashMap,61.3%,Easy,1.4405011789563176, https://leetcode.com/problems/design-hashmap,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,1.343547532072845, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,1.3318656536208855, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
1,Two Sum,45.6%,Easy,1.0889331084185998, https://leetcode.com/problems/two-sum,Not Done
11,Container With Most Water,50.8%,Medium,0.8565164282104613, https://leetcode.com/problems/container-with-most-water,Not Done
8,String to Integer (atoi),15.4%,Medium,0.8331114806091768, https://leetcode.com/problems/string-to-integer-atoi,Not Done
657,Robot Return to Origin,73.5%,Easy,0.7562359758559519, https://leetcode.com/problems/robot-return-to-origin,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.7261919753374027, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
64,Minimum Path Sum,54.5%,Medium,0.6731263364629722, https://leetcode.com/problems/minimum-path-sum,Not Done
146,LRU Cache,33.2%,Medium,0.6099535003338225, https://leetcode.com/problems/lru-cache,Not Done
153,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.552467601857292, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Not Done
524,Longest Word in Dictionary through Deleting,48.4%,Medium,0.5380680817633897, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting,Not Done
91,Decode Ways,24.7%,Medium,0.5068067838189668, https://leetcode.com/problems/decode-ways,Not Done
532,K-diff Pairs in an Array,31.6%,Easy,0.4524148616095762, https://leetcode.com/problems/k-diff-pairs-in-an-array,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.436155066493987, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
322,Coin Change,35.5%,Medium,0.4278916011593331, https://leetcode.com/problems/coin-change,Not Done
887,Super Egg Drop,27.1%,Hard,0.3761485877907781, https://leetcode.com/problems/super-egg-drop,Not Done
53,Maximum Subarray,46.5%,Easy,0.3543183348432278, https://leetcode.com/problems/maximum-subarray,Not Done
54,Spiral Matrix,34.1%,Medium,0.3530627380591415, https://leetcode.com/problems/spiral-matrix,Not Done
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.3251259020780217, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Not Done
942,DI String Match,72.6%,Easy,0.3035651186247839, https://leetcode.com/problems/di-string-match,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.3022383702259884, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
200,Number of Islands,46.8%,Medium,0.2769167662741805, https://leetcode.com/problems/number-of-islands,Not Done
218,The Skyline Problem,34.6%,Hard,0.2746948769249697, https://leetcode.com/problems/the-skyline-problem,Not Done
141,Linked List Cycle,41.1%,Easy,0.2744928420340151, https://leetcode.com/problems/linked-list-cycle,Not Done
122,Best Time to Buy and Sell Stock II,57.0%,Easy,0.2648683639779438, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Not Done
119,Pascal's Triangle II,49.0%,Easy,0.2616967461147232, https://leetcode.com/problems/pascals-triangle-ii,Not Done
44,Wildcard Matching,24.7%,Hard,0.2463964485679353, https://leetcode.com/problems/wildcard-matching,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.2421809748142213, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
326,Power of Three,42.1%,Easy,0.2330133408255935, https://leetcode.com/problems/power-of-three,Not Done
992,Subarrays with K Different Integers,48.6%,Hard,0.2115783451497167, https://leetcode.com/problems/subarrays-with-k-different-integers,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.1907382012287628, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
206,Reverse Linked List,62.5%,Easy,0.1737441239828363, https://leetcode.com/problems/reverse-linked-list,Not Done
344,Reverse String,68.5%,Easy,0.1690799688488776, https://leetcode.com/problems/reverse-string,Not Done
