ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1007,Minimum Domino Rotations For Equal Row,50.0%,Medium,2.170163308534744, https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,Not Done
843,Guess the Word,46.1%,Hard,2.087209390653749, https://leetcode.com/problems/guess-the-word,Not Done
1153,String Transforms Into Another String,35.8%,Hard,2.004255472772754, https://leetcode.com/problems/string-transforms-into-another-string,Not Done
1088,Confusing Number II,44.0%,Hard,1.921301554891759, https://leetcode.com/problems/confusing-number-ii,Not Done
809,Expressive Words,47.0%,Medium,1.8887891194583848, https://leetcode.com/problems/expressive-words,Not Done
1110,Delete Nodes And Return Forest,67.0%,Medium,1.8058352015773893, https://leetcode.com/problems/delete-nodes-and-return-forest,Not Done
1,Two Sum,45.6%,Easy,1.7788944716412072, https://leetcode.com/problems/two-sum,Not Done
659,Split Array into Consecutive Subsequences,43.7%,Medium,1.711144891213337, https://leetcode.com/problems/split-array-into-consecutive-subsequences,Not Done
727,Minimum Window Subsequence,41.8%,Hard,1.6988043776900663, https://leetcode.com/problems/minimum-window-subsequence,Not Done
1170,Compare Strings by Frequency of the Smallest Character,58.7%,Easy,1.6570930192536797, https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,Not Done
1055,Shortest Way to Form String,56.9%,Medium,1.6487734044295008, https://leetcode.com/problems/shortest-way-to-form-string,Not Done
359,Logger Rate Limiter,70.8%,Easy,1.588573586220281, https://leetcode.com/problems/logger-rate-limiter,Not Done
642,Design Search Autocomplete System,44.7%,Hard,1.554654590999807, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
946,Validate Stack Sequences,61.9%,Medium,1.4991260114276068, https://leetcode.com/problems/validate-stack-sequences,Not Done
552,Student Attendance Record II,36.7%,Hard,1.4313647525612732, https://leetcode.com/problems/student-attendance-record-ii,Not Done
846,Hand of Straights,54.2%,Medium,1.3987653023923765, https://leetcode.com/problems/hand-of-straights,Not Done
465,Optimal Account Balancing,46.9%,Hard,1.392711503201808, https://leetcode.com/problems/optimal-account-balancing,Not Done
1231,Divide Chocolate,52.4%,Hard,1.355484603119876, https://leetcode.com/problems/divide-chocolate,Not Done
363,Max Sum of Rectangle No Larger Than K,37.3%,Hard,1.2725306852388811, https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,Not Done
1438,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,42.1%,Medium,1.1895767673578863, https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Not Done
410,Split Array Largest Sum,44.5%,Hard,1.1834612534147486, https://leetcode.com/problems/split-array-largest-sum,Not Done
752,Open the Lock,51.8%,Medium,1.149229346636899, https://leetcode.com/problems/open-the-lock,Not Done
1057,Campus Bikes,57.7%,Medium,1.143650474339318, https://leetcode.com/problems/campus-bikes,Not Done
222,Count Complete Tree Nodes,46.8%,Medium,1.136501392326842, https://leetcode.com/problems/count-complete-tree-nodes,Not Done
951,Flip Equivalent Binary Trees,65.8%,Medium,1.0943095805953664, https://leetcode.com/problems/flip-equivalent-binary-trees,Not Done
299,Bulls and Cows,42.4%,Easy,1.0634482260723517, https://leetcode.com/problems/bulls-and-cows,Not Done
315,Count of Smaller Numbers After Self,41.5%,Hard,0.982981084562394, https://leetcode.com/problems/count-of-smaller-numbers-after-self,Not Done
679,24 Game,46.4%,Hard,0.9499298325860126, https://leetcode.com/problems/24-game,Not Done
489,Robot Room Cleaner,69.7%,Hard,0.8669759147050178, https://leetcode.com/problems/robot-room-cleaner,Not Done
1146,Snapshot Array,37.0%,Medium,0.8608224218366608, https://leetcode.com/problems/snapshot-array,Not Done
801,Minimum Swaps To Make Sequences Increasing,38.9%,Medium,0.8257867334583089, https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing,Not Done
835,Image Overlap,58.5%,Medium,0.8222042927895468, https://leetcode.com/problems/image-overlap,Not Done
833,Find And Replace in String,50.4%,Medium,0.8018557437829221, https://leetcode.com/problems/find-and-replace-in-string,Not Done
562,Longest Line of Consecutive One in Matrix,45.9%,Medium,0.7929366511683162, https://leetcode.com/problems/longest-line-of-consecutive-one-in-matrix,Not Done
271,Encode and Decode Strings,31.5%,Medium,0.7857399673877702, https://leetcode.com/problems/encode-and-decode-strings,Not Done
1074,Number of Submatrices That Sum to Target,60.4%,Hard,0.7796971965263972, https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,Not Done
939,Minimum Area Rectangle,51.8%,Medium,0.7758696575905972, https://leetcode.com/problems/minimum-area-rectangle,Not Done
1423,Maximum Points You Can Obtain from Cards,42.6%,Medium,0.7734023603473162, https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Not Done
1240,Tiling a Rectangle with the Fewest Squares,50.1%,Hard,0.7707054149058199, https://leetcode.com/problems/tiling-a-rectangle-with-the-fewest-squares,Not Done
1048,Longest String Chain,54.7%,Medium,0.7417976896771288, https://leetcode.com/problems/longest-string-chain,Not Done
1032,Stream of Characters,48.3%,Hard,0.7417736920001029, https://leetcode.com/problems/stream-of-characters,Not Done
1293,Shortest Path in a Grid with Obstacles Elimination,42.8%,Hard,0.7389567165912395, https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Not Done
1320,Minimum Distance to Type a Word Using Two Fingers,62.3%,Hard,0.7328875092094594, https://leetcode.com/problems/minimum-distance-to-type-a-word-using-two-fingers,Not Done
753,Cracking the Safe,50.5%,Hard,0.705886206337375, https://leetcode.com/problems/cracking-the-safe,Not Done
444,Sequence Reconstruction,22.2%,Medium,0.7030133634809992, https://leetcode.com/problems/sequence-reconstruction,Not Done
221,Maximal Square,37.7%,Medium,0.6899129446271253, https://leetcode.com/problems/maximal-square,Not Done
85,Maximal Rectangle,37.7%,Hard,0.677931333322692, https://leetcode.com/problems/maximal-rectangle,Not Done
