ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
388,Longest Absolute File Path,41.8%,Medium,5.913085890375435, https://leetcode.com/problems/longest-absolute-file-path,Not Done
683,K Empty Slots,35.6%,Hard,5.780765145104477, https://leetcode.com/problems/k-empty-slots,Not Done
681,Next Closest Time,45.0%,Medium,5.648444399833518, https://leetcode.com/problems/next-closest-time,Not Done
1,Two Sum,45.6%,Easy,5.644982903520936, https://leetcode.com/problems/two-sum,Not Done
929,Unique Email Addresses,67.4%,Easy,5.641251480795916, https://leetcode.com/problems/unique-email-addresses,Not Done
904,Fruit Into Baskets,42.5%,Medium,5.622005350773675, https://leetcode.com/problems/fruit-into-baskets,Not Done
482,License Key Formatting,43.1%,Easy,5.489684605502716, https://leetcode.com/problems/license-key-formatting,Not Done
308,Range Sum Query 2D - Mutable,35.6%,Hard,5.479895265007681, https://leetcode.com/problems/range-sum-query-2d-mutable,Not Done
1007,Minimum Domino Rotations For Equal Row,50.0%,Medium,5.347574519736722, https://leetcode.com/problems/minimum-domino-rotations-for-equal-row,Not Done
843,Guess the Word,46.1%,Hard,5.215253774465763, https://leetcode.com/problems/guess-the-word,Not Done
288,Unique Word Abbreviation,21.9%,Medium,5.0829330291948045, https://leetcode.com/problems/unique-word-abbreviation,Not Done
489,Robot Room Cleaner,69.7%,Hard,4.950612283923846, https://leetcode.com/problems/robot-room-cleaner,Not Done
399,Evaluate Division,51.6%,Medium,4.93312794968876, https://leetcode.com/problems/evaluate-division,Not Done
975,Odd Even Jump,42.2%,Hard,4.89330238409204, https://leetcode.com/problems/odd-even-jump,Not Done
686,Repeated String Match,32.3%,Easy,4.836325284003677, https://leetcode.com/problems/repeated-string-match,Not Done
418,Sentence Screen Fitting,32.6%,Medium,4.781933322576393, https://leetcode.com/problems/sentence-screen-fitting,Not Done
753,Cracking the Safe,50.5%,Hard,4.6997868127589575, https://leetcode.com/problems/cracking-the-safe,Not Done
271,Encode and Decode Strings,31.5%,Medium,4.677975295068608, https://leetcode.com/problems/encode-and-decode-strings,Not Done
361,Bomb Enemy,46.0%,Medium,4.673664844440462, https://leetcode.com/problems/bomb-enemy,Not Done
298,Binary Tree Longest Consecutive Sequence,47.1%,Medium,4.6017532155227885, https://leetcode.com/problems/binary-tree-longest-consecutive-sequence,Not Done
281,Zigzag Iterator,58.4%,Medium,4.497936294818977, https://leetcode.com/problems/zigzag-iterator,Not Done
1057,Campus Bikes,57.7%,Medium,4.447943228729954, https://leetcode.com/problems/campus-bikes,Not Done
393,UTF-8 Validation,37.5%,Medium,4.444092227821192, https://leetcode.com/problems/utf-8-validation,Not Done
163,Missing Ranges,24.3%,Medium,4.311771482550233, https://leetcode.com/problems/missing-ranges,Not Done
159,Longest Substring with At Most Two Distinct Characters,49.4%,Medium,4.262457725720521, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,Not Done
844,Backspace String Compare,46.4%,Easy,4.130136980449563, https://leetcode.com/problems/backspace-string-compare,Not Done
642,Design Search Autocomplete System,44.7%,Hard,4.121348378880914, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,4.118703458748877, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Not Done
222,Count Complete Tree Nodes,46.8%,Medium,4.1048397532413095, https://leetcode.com/problems/count-complete-tree-nodes,Not Done
568,Maximum Vacation Days,40.8%,Hard,4.053081248726602, https://leetcode.com/problems/maximum-vacation-days,Not Done
947,Most Stones Removed with Same Row or Column,55.2%,Medium,4.02302290047393, https://leetcode.com/problems/most-stones-removed-with-same-row-or-column,Not Done
410,Split Array Largest Sum,44.5%,Hard,4.009588512914069, https://leetcode.com/problems/split-array-largest-sum,Not Done
857,Minimum Cost to Hire K Workers,49.6%,Hard,3.9718459789720417, https://leetcode.com/problems/minimum-cost-to-hire-k-workers,Not Done
939,Minimum Area Rectangle,51.8%,Medium,3.936375231108781, https://leetcode.com/problems/minimum-area-rectangle,Not Done
42,Trapping Rain Water,48.9%,Hard,3.921059878261158, https://leetcode.com/problems/trapping-rain-water,Not Done
218,The Skyline Problem,34.6%,Hard,3.886010166884179, https://leetcode.com/problems/the-skyline-problem,Not Done
248,Strobogrammatic Number III,39.6%,Hard,3.863710339178733, https://leetcode.com/problems/strobogrammatic-number-iii,Not Done
56,Merge Intervals,39.3%,Medium,3.8503178295937968, https://leetcode.com/problems/merge-intervals,Not Done
394,Decode String,50.0%,Medium,3.8265446136122376, https://leetcode.com/problems/decode-string,Not Done
200,Number of Islands,46.8%,Medium,3.801814667432651, https://leetcode.com/problems/number-of-islands,Not Done
296,Best Meeting Point,57.5%,Hard,3.780744266551272, https://leetcode.com/problems/best-meeting-point,Not Done
346,Moving Average from Data Stream,70.9%,Easy,3.759561332175152, https://leetcode.com/problems/moving-average-from-data-stream,Not Done
774,Minimize Max Distance to Gas Station,46.9%,Hard,3.708055318619307, https://leetcode.com/problems/minimize-max-distance-to-gas-station,Not Done
351,Android Unlock Patterns,48.4%,Medium,3.70074902966932, https://leetcode.com/problems/android-unlock-patterns,Not Done
66,Plus One,43.0%,Easy,3.693305195801992, https://leetcode.com/problems/plus-one,Not Done
146,LRU Cache,33.2%,Medium,3.689556458324256, https://leetcode.com/problems/lru-cache,Not Done
734,Sentence Similarity,42.1%,Easy,3.677903950062929, https://leetcode.com/problems/sentence-similarity,Not Done
359,Logger Rate Limiter,70.8%,Easy,3.6745485318267694, https://leetcode.com/problems/logger-rate-limiter,Not Done
425,Word Squares,47.7%,Hard,3.649664857149902, https://leetcode.com/problems/word-squares,Not Done
809,Expressive Words,47.0%,Medium,3.640135049976496, https://leetcode.com/problems/expressive-words,Not Done
471,Encode String with Shortest Length,47.1%,Hard,3.626532622296738, https://leetcode.com/problems/encode-string-with-shortest-length,Not Done
679,24 Game,46.4%,Hard,3.5637003073738915, https://leetcode.com/problems/24-game,Not Done
737,Sentence Similarity II,45.8%,Medium,3.5565631284675816, https://leetcode.com/problems/sentence-similarity-ii,Not Done
228,Summary Ranges,39.5%,Medium,3.551951303501267, https://leetcode.com/problems/summary-ranges,Not Done
299,Bulls and Cows,42.4%,Easy,3.55160164254328, https://leetcode.com/problems/bulls-and-cows,Not Done
149,Max Points on a Line,16.9%,Hard,3.541414967185489, https://leetcode.com/problems/max-points-on-a-line,Not Done
