ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
326,Power of Three,42.1%,Easy,0.0579979197908547, https://leetcode.com/problems/power-of-three,Not Done
907,Sum of Subarray Minimums,32.3%,Medium,0.0390293439057352, https://leetcode.com/problems/sum-of-subarray-minimums,Not Done
909,Snakes and Ladders,38.4%,Medium,0.0364007430537905, https://leetcode.com/problems/snakes-and-ladders,Not Done
394,Decode String,50.0%,Medium,0.017432167168671, https://leetcode.com/problems/decode-string,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.0161554402222852, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
54,Spiral Matrix,34.1%,Medium,0.0141001866065371, https://leetcode.com/problems/spiral-matrix,Not Done
200,Number of Islands,46.8%,Medium,0.0110156019215057, https://leetcode.com/problems/number-of-islands,Not Done
49,Group Anagrams,56.9%,Medium,0.0081596100946258, https://leetcode.com/problems/group-anagrams,Not Done
230,Kth Smallest Element in a BST,60.2%,Medium,0.0060855200738027, https://leetcode.com/problems/kth-smallest-element-in-a-bst,Not Done
139,Word Break,40.1%,Medium,0.0037551677623236, https://leetcode.com/problems/word-break,Not Done
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0018681118827202, https://leetcode.com/problems/remove-duplicates-from-sorted-array,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.0014677824446383, https://leetcode.com/problems/top-k-frequent-elements,Not Done
