ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
364,Nested List Weight Sum II,62.8%,Medium,2.1923206790347614, https://leetcode.com/problems/nested-list-weight-sum-ii,Not Done
244,Shortest Word Distance II,52.3%,Medium,1.8985208007953611, https://leetcode.com/problems/shortest-word-distance-ii,Not Done
272,Closest Binary Search Tree Value II,50.5%,Hard,1.6047209225559615, https://leetcode.com/problems/closest-binary-search-tree-value-ii,Not Done
716,Max Stack,42.6%,Easy,1.5967072751794935, https://leetcode.com/problems/max-stack,Not Done
254,Factor Combinations,46.7%,Medium,1.4353364461874931, https://leetcode.com/problems/factor-combinations,Not Done
366,Find Leaves of Binary Tree,70.6%,Medium,1.223942529959876, https://leetcode.com/problems/find-leaves-of-binary-tree,Not Done
605,Can Place Flowers,31.6%,Easy,0.9524451336942912, https://leetcode.com/problems/can-place-flowers,Not Done
339,Nested List Weight Sum,74.0%,Easy,0.8196573629915603, https://leetcode.com/problems/nested-list-weight-sum,Not Done
156,Binary Tree Upside Down,55.0%,Medium,0.8187244879431477, https://leetcode.com/problems/binary-tree-upside-down,Not Done
243,Shortest Word Distance,61.0%,Easy,0.8149687609079993, https://leetcode.com/problems/shortest-word-distance,Not Done
432,All O`one Data Structure,32.4%,Hard,0.7611889165572873, https://leetcode.com/problems/all-oone-data-structure,Not Done
256,Paint House,52.1%,Easy,0.4962622595780941, https://leetcode.com/problems/paint-house,Not Done
150,Evaluate Reverse Polish Notation,36.3%,Medium,0.4708929134306197, https://leetcode.com/problems/evaluate-reverse-polish-notation,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.4415683628848016, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
149,Max Points on a Line,16.9%,Hard,0.4117347211217598, https://leetcode.com/problems/max-points-on-a-line,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.3746934494414107, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
698,Partition to K Equal Sum Subsets,45.0%,Medium,0.3589112475170129, https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Not Done
373,Find K Pairs with Smallest Sums,36.7%,Medium,0.3547436057206025, https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Not Done
671,Second Minimum Node In a Binary Tree,42.7%,Easy,0.3132532267195692, https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,Not Done
68,Text Justification,27.7%,Hard,0.295187125568808, https://leetcode.com/problems/text-justification,Not Done
730,Count Different Palindromic Subsequences,41.8%,Hard,0.2744368457017603, https://leetcode.com/problems/count-different-palindromic-subsequences,Not Done
1117,Building H2O,52.6%,Medium,0.2678623801635787, https://leetcode.com/problems/building-h2o,Not Done
1188,Design Bounded Blocking Queue,70.5%,Medium,0.2330072808365499, https://leetcode.com/problems/design-bounded-blocking-queue,Not Done
265,Paint House II,44.6%,Hard,0.2300164306019718, https://leetcode.com/problems/paint-house-ii,Not Done
261,Graph Valid Tree,42.2%,Medium,0.2106835071594726, https://leetcode.com/problems/graph-valid-tree,Not Done
470,Implement Rand10() Using Rand7(),46.3%,Medium,0.1515498981272009, https://leetcode.com/problems/implement-rand10-using-rand7,Not Done
57,Insert Interval,33.5%,Hard,0.1499443262943478, https://leetcode.com/problems/insert-interval,Not Done
53,Maximum Subarray,46.5%,Easy,0.1456070110599502, https://leetcode.com/problems/maximum-subarray,Not Done
76,Minimum Window Substring,34.6%,Hard,0.1452031277860906, https://leetcode.com/problems/minimum-window-substring,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.1311634897422013, https://leetcode.com/problems/maximum-product-subarray,Not Done
739,Daily Temperatures,63.3%,Medium,0.1164657524322256, https://leetcode.com/problems/daily-temperatures,Not Done
277,Find the Celebrity,41.8%,Medium,0.1138399121279475, https://leetcode.com/problems/find-the-celebrity,Not Done
721,Accounts Merge,48.8%,Medium,0.1125793919917445, https://leetcode.com/problems/accounts-merge,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.1117914059881167, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
611,Valid Triangle Number,48.4%,Medium,0.0933319397922191, https://leetcode.com/problems/valid-triangle-number,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0910638889228737, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
65,Valid Number,15.3%,Hard,0.0884554205618634, https://leetcode.com/problems/valid-number,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.0869640542723505, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
273,Integer to English Words,27.1%,Hard,0.0732177031685638, https://leetcode.com/problems/integer-to-english-words,Not Done
1042,Flower Planting With No Adjacent,48.5%,Easy,0.0724955020381535, https://leetcode.com/problems/flower-planting-with-no-adjacent,Not Done
235,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.0716296561392547, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Not Done
127,Word Ladder,29.6%,Medium,0.0708901210450219, https://leetcode.com/problems/word-ladder,Not Done
170,Two Sum III - Data structure design,33.5%,Easy,0.0688740290125112, https://leetcode.com/problems/two-sum-iii-data-structure-design,Not Done
56,Merge Intervals,39.3%,Medium,0.0680763502586962, https://leetcode.com/problems/merge-intervals,Not Done
72,Edit Distance,44.8%,Hard,0.0610242991193446, https://leetcode.com/problems/edit-distance,Not Done
464,Can I Win,28.8%,Medium,0.0605328492288423, https://leetcode.com/problems/can-i-win,Not Done
61,Rotate List,30.0%,Medium,0.0604779189628012, https://leetcode.com/problems/rotate-list,Not Done
12,Integer to Roman,55.1%,Medium,0.0521712293696912, https://leetcode.com/problems/integer-to-roman,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0508302735140679, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.050467978171789, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
46,Permutations,63.5%,Medium,0.050463754259193, https://leetcode.com/problems/permutations,Not Done
