ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
364,Nested List Weight Sum II,62.8%,Medium,0.3957679254185175, https://leetcode.com/problems/nested-list-weight-sum-ii,Not Done
272,Closest Binary Search Tree Value II,50.5%,Hard,0.3195226783074397, https://leetcode.com/problems/closest-binary-search-tree-value-ii,Not Done
244,Shortest Word Distance II,52.3%,Medium,0.2752286113804943, https://leetcode.com/problems/shortest-word-distance-ii,Not Done
716,Max Stack,42.6%,Easy,0.2410841600300911, https://leetcode.com/problems/max-stack,Not Done
254,Factor Combinations,46.7%,Medium,0.213574100298059, https://leetcode.com/problems/factor-combinations,Not Done
339,Nested List Weight Sum,74.0%,Easy,0.1721270188143603, https://leetcode.com/problems/nested-list-weight-sum,Not Done
149,Max Points on a Line,16.9%,Hard,0.0958817717032825, https://leetcode.com/problems/max-points-on-a-line,Not Done
605,Can Place Flowers,31.6%,Easy,0.094857793458677, https://leetcode.com/problems/can-place-flowers,Not Done
698,Partition to K Equal Sum Subsets,45.0%,Medium,0.0818452481042433, https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Not Done
470,Implement Rand10() Using Rand7(),46.3%,Medium,0.0702042586732485, https://leetcode.com/problems/implement-rand10-using-rand7,Not Done
432,All O`one Data Structure,32.4%,Hard,0.0688740290125112, https://leetcode.com/problems/all-oone-data-structure,Not Done
671,Second Minimum Node In a Binary Tree,42.7%,Easy,0.0653827592628517, https://leetcode.com/problems/second-minimum-node-in-a-binary-tree,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.059855106210291, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
366,Find Leaves of Binary Tree,70.6%,Medium,0.0552626786750494, https://leetcode.com/problems/find-leaves-of-binary-tree,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.043432221276062, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0414997309067527, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
243,Shortest Word Distance,61.0%,Easy,0.040780370344928, https://leetcode.com/problems/shortest-word-distance,Not Done
256,Paint House,52.1%,Easy,0.0393751652348301, https://leetcode.com/problems/paint-house,Not Done
261,Graph Valid Tree,42.2%,Medium,0.0368365773564902, https://leetcode.com/problems/graph-valid-tree,Not Done
1042,Flower Planting With No Adjacent,48.5%,Easy,0.0328706668345147, https://leetcode.com/problems/flower-planting-with-no-adjacent,Not Done
150,Evaluate Reverse Polish Notation,36.3%,Medium,0.0315262536467739, https://leetcode.com/problems/evaluate-reverse-polish-notation,Not Done
373,Find K Pairs with Smallest Sums,36.7%,Medium,0.0262654626101863, https://leetcode.com/problems/find-k-pairs-with-smallest-sums,Not Done
127,Word Ladder,29.6%,Medium,0.0237048136551663, https://leetcode.com/problems/word-ladder,Not Done
721,Accounts Merge,48.8%,Medium,0.018886302628748, https://leetcode.com/problems/accounts-merge,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0168833808831146, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
102,Binary Tree Level Order Traversal,54.6%,Medium,0.0144772705882875, https://leetcode.com/problems/binary-tree-level-order-traversal,Not Done
75,Sort Colors,47.3%,Medium,0.0111983253100295, https://leetcode.com/problems/sort-colors,Not Done
739,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures,Not Done
53,Maximum Subarray,46.5%,Easy,0.0086402956796029, https://leetcode.com/problems/maximum-subarray,Not Done
56,Merge Intervals,39.3%,Medium,0.0077969727060047, https://leetcode.com/problems/merge-intervals,Not Done
349,Intersection of Two Arrays,62.5%,Easy,0.0072503489623068, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.005590510716885, https://leetcode.com/problems/maximum-product-subarray,Not Done
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache,Not Done
46,Permutations,63.5%,Medium,0.0042163022301392, https://leetcode.com/problems/permutations,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.0017084529846397, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
50,Pow(x;n),30.3%,Medium,0.0014016892647828, https://leetcode.com/problems/powx-n,Not Done
