ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
735,Asteroid Collision,41.0%,Medium,0.4807449678769452, https://leetcode.com/problems/asteroid-collision,Not Done
365,Water and Jug Problem,30.6%,Medium,0.3615411335899052, https://leetcode.com/problems/water-and-jug-problem,Not Done
981,Time Based Key-Value Store,53.1%,Medium,0.2435308223528776, https://leetcode.com/problems/time-based-key-value-store,Not Done
238,Product of Array Except Self,60.1%,Medium,0.2247765580812456, https://leetcode.com/problems/product-of-array-except-self,Not Done
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,0.2142119449152271, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Not Done
642,Design Search Autocomplete System,44.7%,Hard,0.0950081106281871, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
716,Max Stack,42.6%,Easy,0.0936234204620974, https://leetcode.com/problems/max-stack,Not Done
304,Range Sum Query 2D - Immutable,38.6%,Medium,0.0545279870711752, https://leetcode.com/problems/range-sum-query-2d-immutable,Not Done
127,Word Ladder,29.6%,Medium,0.0367959097020458, https://leetcode.com/problems/word-ladder,Not Done
91,Decode Ways,24.7%,Medium,0.0236627426208481, https://leetcode.com/problems/decode-ways,Not Done
567,Permutation in String,44.4%,Medium,0.0149479614358731, https://leetcode.com/problems/permutation-in-string,Not Done
109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.0144406841547943, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Not Done
88,Merge Sorted Array,39.4%,Easy,0.0067603352186382, https://leetcode.com/problems/merge-sorted-array,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
