ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
735,Asteroid Collision,41.0%,Medium,3.4954470610602737, https://leetcode.com/problems/asteroid-collision,Not Done
238,Product of Array Except Self,60.1%,Medium,2.884562524157785, https://leetcode.com/problems/product-of-array-except-self,Not Done
716,Max Stack,42.6%,Easy,2.664361506099879, https://leetcode.com/problems/max-stack,Not Done
158,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,2.05347696919739, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Not Done
642,Design Search Autocomplete System,44.7%,Hard,1.7721893730339575, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
981,Time Based Key-Value Store,53.1%,Medium,1.4448976756888186, https://leetcode.com/problems/time-based-key-value-store,Not Done
365,Water and Jug Problem,30.6%,Medium,1.372259043003507, https://leetcode.com/problems/water-and-jug-problem,Not Done
200,Number of Islands,46.8%,Medium,1.3061913612704517, https://leetcode.com/problems/number-of-islands,Not Done
42,Trapping Rain Water,48.9%,Hard,1.1347229625176425, https://leetcode.com/problems/trapping-rain-water,Not Done
127,Word Ladder,29.6%,Medium,0.5839478885949534, https://leetcode.com/problems/word-ladder,Not Done
349,Intersection of Two Arrays,62.5%,Easy,0.5467734703822922, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
68,Text Justification,27.7%,Hard,0.4495613440132932, https://leetcode.com/problems/text-justification,Not Done
126,Word Ladder II,22.1%,Hard,0.374267802806815, https://leetcode.com/problems/word-ladder-ii,Not Done
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.3308542443169896, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,Not Done
91,Decode Ways,24.7%,Medium,0.3243409685135098, https://leetcode.com/problems/decode-ways,Not Done
146,LRU Cache,33.2%,Medium,0.2585885798043696, https://leetcode.com/problems/lru-cache,Not Done
279,Perfect Squares,47.4%,Medium,0.2469324132782245, https://leetcode.com/problems/perfect-squares,Not Done
251,Flatten 2D Vector,45.7%,Medium,0.2425088583672668, https://leetcode.com/problems/flatten-2d-vector,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.2216645713198854, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
304,Range Sum Query 2D - Immutable,38.6%,Medium,0.2022615325778, https://leetcode.com/problems/range-sum-query-2d-immutable,Not Done
155,Min Stack,44.5%,Easy,0.1581717577009931, https://leetcode.com/problems/min-stack,Not Done
652,Find Duplicate Subtrees,50.2%,Medium,0.1532629744871177, https://leetcode.com/problems/find-duplicate-subtrees,Not Done
76,Minimum Window Substring,34.6%,Hard,0.1452031277860906, https://leetcode.com/problems/minimum-window-substring,Not Done
333,Largest BST Subtree,35.8%,Medium,0.1313840028291084, https://leetcode.com/problems/largest-bst-subtree,Not Done
109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.1230218145126628, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.1187916086112682, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
10,Regular Expression Matching,26.8%,Hard,0.1092117270692915, https://leetcode.com/problems/regular-expression-matching,Not Done
11,Container With Most Water,50.8%,Medium,0.0740037234711387, https://leetcode.com/problems/container-with-most-water,Not Done
632,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.0708260525686124, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0629323908354364, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
22,Generate Parentheses,62.7%,Medium,0.0521561213459884, https://leetcode.com/problems/generate-parentheses,Not Done
78,Subsets,62.0%,Medium,0.0442630056550433, https://leetcode.com/problems/subsets,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0421542274181919, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
1094,Car Pooling,56.7%,Medium,0.0401660417253347, https://leetcode.com/problems/car-pooling,Not Done
20,Valid Parentheses,39.0%,Easy,0.0361887174223911, https://leetcode.com/problems/valid-parentheses,Not Done
79,Word Search,35.6%,Medium,0.0331820882143618, https://leetcode.com/problems/word-search,Not Done
694,Number of Distinct Islands,56.0%,Medium,0.0327898228229908, https://leetcode.com/problems/number-of-distinct-islands,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0319324676782098, https://leetcode.com/problems/meeting-rooms-ii,Not Done
69,Sqrt(x),33.9%,Easy,0.0314689277246377, https://leetcode.com/problems/sqrtx,Not Done
48,Rotate Image,56.7%,Medium,0.0314293625302922, https://leetcode.com/problems/rotate-image,Not Done
7,Reverse Integer,25.8%,Easy,0.0293720348254487, https://leetcode.com/problems/reverse-integer,Not Done
88,Merge Sorted Array,39.4%,Easy,0.0267713787139141, https://leetcode.com/problems/merge-sorted-array,Not Done
442,Find All Duplicates in an Array,67.8%,Medium,0.0260808755527924, https://leetcode.com/problems/find-all-duplicates-in-an-array,Not Done
162,Find Peak Element,43.3%,Medium,0.025162516424074, https://leetcode.com/problems/find-peak-element,Not Done
1,Two Sum,45.6%,Easy,0.0245304116230177, https://leetcode.com/problems/two-sum,Not Done
283,Move Zeroes,57.8%,Easy,0.017898530503776, https://leetcode.com/problems/move-zeroes,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0176856643462755, https://leetcode.com/problems/sliding-window-maximum,Not Done
1060,Missing Element in Sorted Array,54.5%,Medium,0.0174296351352836, https://leetcode.com/problems/missing-element-in-sorted-array,Not Done
567,Permutation in String,44.4%,Medium,0.0149479614358731, https://leetcode.com/problems/permutation-in-string,Not Done
24,Swap Nodes in Pairs,50.4%,Medium,0.013945066390122, https://leetcode.com/problems/swap-nodes-in-pairs,Not Done
2,Add Two Numbers,33.9%,Medium,0.010507388732168, https://leetcode.com/problems/add-two-numbers,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
443,String Compression,41.3%,Easy,0.0, https://leetcode.com/problems/string-compression,Not Done
