ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1130,Minimum Cost Tree From Leaf Values,66.1%,Medium,2.445077590079096, https://leetcode.com/problems/minimum-cost-tree-from-leaf-values,Not Done
255,Verify Preorder Sequence in Binary Search Tree,45.7%,Medium,1.9602473122017203, https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,1.475417034324345, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,1.2885884475283234, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
526,Beautiful Arrangement,57.8%,Medium,0.995199193294679, https://leetcode.com/problems/beautiful-arrangement,Not Done
500,Keyboard Row,64.7%,Easy,0.9589833161754686, https://leetcode.com/problems/keyboard-row,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.7748252115742125, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
206,Reverse Linked List,62.5%,Easy,0.6128482175082197, https://leetcode.com/problems/reverse-linked-list,Not Done
697,Degree of an Array,53.8%,Easy,0.5986563371390229, https://leetcode.com/problems/degree-of-an-array,Not Done
319,Bulb Switcher,45.4%,Medium,0.3156951086794549, https://leetcode.com/problems/bulb-switcher,Not Done
741,Cherry Pickup,33.9%,Hard,0.309961111072881, https://leetcode.com/problems/cherry-pickup,Not Done
63,Unique Paths II,34.6%,Medium,0.2738591247074177, https://leetcode.com/problems/unique-paths-ii,Not Done
20,Valid Parentheses,39.0%,Easy,0.226282513205836, https://leetcode.com/problems/valid-parentheses,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.186610205573593, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
259,3Sum Smaller,47.6%,Medium,0.1848564123971426, https://leetcode.com/problems/3sum-smaller,Not Done
232,Implement Queue using Stacks,49.6%,Easy,0.1297083791187223, https://leetcode.com/problems/implement-queue-using-stacks,Not Done
338,Counting Bits,69.5%,Medium,0.1258066953855164, https://leetcode.com/problems/counting-bits,Not Done
200,Number of Islands,46.8%,Medium,0.0698510378599645, https://leetcode.com/problems/number-of-islands,Not Done
225,Implement Stack using Queues,45.1%,Easy,0.0642017466567124, https://leetcode.com/problems/implement-stack-using-queues,Not Done
115,Distinct Subsequences,38.3%,Hard,0.0614947816078062, https://leetcode.com/problems/distinct-subsequences,Not Done
62,Unique Paths,54.1%,Medium,0.0551879698526498, https://leetcode.com/problems/unique-paths,Not Done
133,Clone Graph,34.8%,Medium,0.0498011686495274, https://leetcode.com/problems/clone-graph,Not Done
1319,Number of Operations to Make Network Connected,53.1%,Medium,0.0458796057506936, https://leetcode.com/problems/number-of-operations-to-make-network-connected,Not Done
49,Group Anagrams,56.9%,Medium,0.0456317525639772, https://leetcode.com/problems/group-anagrams,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0400766009270338, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
1,Two Sum,45.6%,Easy,0.0245304116230177, https://leetcode.com/problems/two-sum,Not Done
836,Rectangle Overlap,48.6%,Easy,0.0242289259743798, https://leetcode.com/problems/rectangle-overlap,Not Done
647,Palindromic Substrings,60.6%,Medium,0.0232508536502028, https://leetcode.com/problems/palindromic-substrings,Not Done
2,Add Two Numbers,33.9%,Medium,0.020491663368639, https://leetcode.com/problems/add-two-numbers,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.0182580110170558, https://leetcode.com/problems/validate-binary-search-tree,Not Done
509,Fibonacci Number,67.2%,Easy,0.0159351813857973, https://leetcode.com/problems/fibonacci-number,Not Done
404,Sum of Left Leaves,50.9%,Easy,0.0139813532303405, https://leetcode.com/problems/sum-of-left-leaves,Not Done
15,3Sum,26.8%,Medium,0.0136651484190809, https://leetcode.com/problems/3sum,Not Done
695,Max Area of Island,62.7%,Medium,0.0126865006310038, https://leetcode.com/problems/max-area-of-island,Not Done
43,Multiply Strings,33.9%,Medium,0.0091450111500627, https://leetcode.com/problems/multiply-strings,Not Done
106,Construct Binary Tree from Inorder and Postorder Traversal,47.2%,Medium,0.0052582500215502, https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0051212129680824, https://leetcode.com/problems/longest-palindromic-substring,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
102,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal,Not Done
566,Reshape the Matrix,60.5%,Easy,0.0, https://leetcode.com/problems/reshape-the-matrix,Not Done
