ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1239,Maximum Length of a Concatenated String with Unique Characters,47.8%,Medium,1.08746055306763, https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters,Not Done
273,Integer to English Words,27.1%,Hard,1.0184313643647775, https://leetcode.com/problems/integer-to-english-words,Not Done
146,LRU Cache,33.2%,Medium,0.9494021756619252, https://leetcode.com/problems/lru-cache,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,0.8803729869590728, https://leetcode.com/problems/design-tic-tac-toe,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.8113437982562205, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
54,Spiral Matrix,34.1%,Medium,0.7684855384560624, https://leetcode.com/problems/spiral-matrix,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.69945634975321, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
1246,Palindrome Removal,46.0%,Hard,0.6794349186959634, https://leetcode.com/problems/palindrome-removal,Not Done
200,Number of Islands,46.8%,Medium,0.6346004158660578, https://leetcode.com/problems/number-of-islands,Not Done
794,Valid Tic-Tac-Toe State,32.6%,Medium,0.6257058997644127, https://leetcode.com/problems/valid-tic-tac-toe-state,Not Done
42,Trapping Rain Water,48.9%,Hard,0.6176631383787123, https://leetcode.com/problems/trapping-rain-water,Not Done
1,Two Sum,45.6%,Easy,0.5816196797969626, https://leetcode.com/problems/two-sum,Not Done
218,The Skyline Problem,34.6%,Hard,0.5769757487979034, https://leetcode.com/problems/the-skyline-problem,Not Done
134,Gas Station,38.5%,Medium,0.5687668431527801, https://leetcode.com/problems/gas-station,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.5548019913650492, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.5535093105833294, https://leetcode.com/problems/longest-palindromic-substring,Not Done
212,Word Search II,34.9%,Hard,0.5393056293017195, https://leetcode.com/problems/word-search-ii,Not Done
