ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
991,Broken Calculator,45.6%,Medium,0.8343103907872829, https://leetcode.com/problems/broken-calculator,Not Done
1052,Grumpy Bookstore Owner,55.4%,Medium,0.6329062363392213, https://leetcode.com/problems/grumpy-bookstore-owner,Not Done
45,Jump Game II,30.6%,Hard,0.4315020818911597, https://leetcode.com/problems/jump-game-ii,Not Done
457,Circular Array Loop,29.4%,Medium,0.3179092170838447, https://leetcode.com/problems/circular-array-loop,Not Done
403,Frog Jump,39.7%,Hard,0.1519909531790461, https://leetcode.com/problems/frog-jump,Not Done
402,Remove K Digits,28.4%,Medium,0.1424203400417686, https://leetcode.com/problems/remove-k-digits,Not Done
826,Most Profit Assigning Work,38.5%,Medium,0.0928741250064437, https://leetcode.com/problems/most-profit-assigning-work,Not Done
564,Find the Closest Palindrome,19.7%,Hard,0.0840831172105414, https://leetcode.com/problems/find-the-closest-palindrome,Not Done
273,Integer to English Words,27.1%,Hard,0.0474725741546634, https://leetcode.com/problems/integer-to-english-words,Not Done
703,Kth Largest Element in a Stream,49.7%,Easy,0.0310048948194145, https://leetcode.com/problems/kth-largest-element-in-a-stream,Not Done
316,Remove Duplicate Letters,35.8%,Hard,0.0304437514147231, https://leetcode.com/problems/remove-duplicate-letters,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
202,Happy Number,50.4%,Easy,0.0248344285633038, https://leetcode.com/problems/happy-number,Not Done
55,Jump Game,34.6%,Medium,0.0199408402035107, https://leetcode.com/problems/jump-game,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0174925199324997, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0156298971608747, https://leetcode.com/problems/product-of-array-except-self,Not Done
210,Course Schedule II,40.7%,Medium,0.0118698573390292, https://leetcode.com/problems/course-schedule-ii,Not Done
207,Course Schedule,43.1%,Medium,0.0111345948091167, https://leetcode.com/problems/course-schedule,Not Done
22,Generate Parentheses,62.7%,Medium,0.0097858778106325, https://leetcode.com/problems/generate-parentheses,Not Done
40,Combination Sum II,48.2%,Medium,0.0095786172970697, https://leetcode.com/problems/combination-sum-ii,Not Done
208,Implement Trie (Prefix Tree),49.4%,Medium,0.0091054578566266, https://leetcode.com/problems/implement-trie-prefix-tree,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.0090518834853154, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
977,Squares of a Sorted Array,72.1%,Easy,0.0087336799687546, https://leetcode.com/problems/squares-of-a-sorted-array,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0078989352245344, https://leetcode.com/problems/sliding-window-maximum,Not Done
116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.0073367900638543, https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Not Done
200,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0061910118808252, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
621,Task Scheduler,50.1%,Medium,0.0052613239571716, https://leetcode.com/problems/task-scheduler,Not Done
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache,Not Done
234,Palindrome Linked List,39.3%,Easy,0.0045336131148289, https://leetcode.com/problems/palindrome-linked-list,Not Done
49,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams,Not Done
283,Move Zeroes,57.8%,Easy,0.0028853803470673, https://leetcode.com/problems/move-zeroes,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring,Not Done
