ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
206,Reverse Linked List,62.5%,Easy,0.1387359136895362, https://leetcode.com/problems/reverse-linked-list,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.1101693809658871, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
223,Rectangle Area,37.8%,Medium,0.1006435257796874, https://leetcode.com/problems/rectangle-area,Not Done
146,LRU Cache,33.2%,Medium,0.0892662775540546, https://leetcode.com/problems/lru-cache,Not Done
48,Rotate Image,56.7%,Medium,0.0606997448304054, https://leetcode.com/problems/rotate-image,Not Done
231,Power of Two,43.7%,Easy,0.0593575595032793, https://leetcode.com/problems/power-of-two,Not Done
200,Number of Islands,46.8%,Medium,0.0569493854193619, https://leetcode.com/problems/number-of-islands,Not Done
706,Design HashMap,61.3%,Easy,0.0390166523424517, https://leetcode.com/problems/design-hashmap,Not Done
939,Minimum Area Rectangle,51.8%,Medium,0.0380273955892392, https://leetcode.com/problems/minimum-area-rectangle,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0349979727542139, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
1,Two Sum,45.6%,Easy,0.0340971924442843, https://leetcode.com/problems/two-sum,Not Done
70,Climbing Stairs,47.8%,Easy,0.030111560543284, https://leetcode.com/problems/climbing-stairs,Not Done
64,Minimum Path Sum,54.5%,Medium,0.0242877755317562, https://leetcode.com/problems/minimum-path-sum,Not Done
2,Add Two Numbers,33.9%,Medium,0.020491663368639, https://leetcode.com/problems/add-two-numbers,Not Done
97,Interleaving String,31.5%,Hard,0.0204715439801872, https://leetcode.com/problems/interleaving-string,Not Done
53,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray,Not Done
22,Generate Parentheses,62.7%,Medium,0.0173314563516399, https://leetcode.com/problems/generate-parentheses,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
114,Flatten Binary Tree to Linked List,49.3%,Medium,0.0154509511557189, https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Not Done
8,String to Integer (atoi),15.4%,Medium,0.0150846642735719, https://leetcode.com/problems/string-to-integer-atoi,Not Done
151,Reverse Words in a String,21.9%,Medium,0.013753273019471, https://leetcode.com/problems/reverse-words-in-a-string,Not Done
739,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures,Not Done
415,Add Strings,47.5%,Easy,0.0075872898121594, https://leetcode.com/problems/add-strings,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
