ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
352,Data Stream as Disjoint Intervals,47.3%,Hard,0.2667107736139741, https://leetcode.com/problems/data-stream-as-disjoint-intervals,Not Done
362,Design Hit Counter,63.7%,Medium,0.2081212537924689, https://leetcode.com/problems/design-hit-counter,Not Done
1242,Web Crawler Multithreaded,45.9%,Medium,0.1495317339709637, https://leetcode.com/problems/web-crawler-multithreaded,Not Done
636,Exclusive Time of Functions,51.9%,Medium,0.1246631898141981, https://leetcode.com/problems/exclusive-time-of-functions,Not Done
1236,Web Crawler,64.3%,Medium,0.0953101798043248, https://leetcode.com/problems/web-crawler,Not Done
227,Basic Calculator II,36.9%,Medium,0.0750877967544479, https://leetcode.com/problems/basic-calculator-ii,Not Done
706,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap,Not Done
56,Merge Intervals,39.3%,Medium,0.0680763502586962, https://leetcode.com/problems/merge-intervals,Not Done
1044,Longest Duplicate Substring,31.9%,Hard,0.0623254631978287, https://leetcode.com/problems/longest-duplicate-substring,Not Done
1190,Reverse Substrings Between Each Pair of Parentheses,61.5%,Medium,0.0600781239432833, https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Not Done
355,Design Twitter,30.3%,Medium,0.058240619980949, https://leetcode.com/problems/design-twitter,Not Done
146,LRU Cache,33.2%,Medium,0.0549465554587454, https://leetcode.com/problems/lru-cache,Not Done
545,Boundary of Binary Tree,38.9%,Medium,0.0415860337781028, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
75,Sort Colors,47.3%,Medium,0.0308019915703732, https://leetcode.com/problems/sort-colors,Not Done
692,Top K Frequent Words,51.8%,Medium,0.0297309151846794, https://leetcode.com/problems/top-k-frequent-words,Not Done
456,132 Pattern,28.9%,Medium,0.0293061265854993, https://leetcode.com/problems/132-pattern,Not Done
1305,All Elements in Two Binary Search Trees,76.1%,Medium,0.0262827217991947, https://leetcode.com/problems/all-elements-in-two-binary-search-trees,Not Done
981,Time Based Key-Value Store,53.1%,Medium,0.0222602402415198, https://leetcode.com/problems/time-based-key-value-store,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0219628154490932, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
155,Min Stack,44.5%,Easy,0.0188618110979738, https://leetcode.com/problems/min-stack,Not Done
209,Minimum Size Subarray Sum,38.2%,Medium,0.0188329483330921, https://leetcode.com/problems/minimum-size-subarray-sum,Not Done
450,Delete Node in a BST,43.1%,Medium,0.0185362119079152, https://leetcode.com/problems/delete-node-in-a-bst,Not Done
37,Sudoku Solver,43.6%,Hard,0.0182154398913411, https://leetcode.com/problems/sudoku-solver,Not Done
200,Number of Islands,46.8%,Medium,0.0179254817660544, https://leetcode.com/problems/number-of-islands,Not Done
402,Remove K Digits,28.4%,Medium,0.0168638060520048, https://leetcode.com/problems/remove-k-digits,Not Done
71,Simplify Path,32.6%,Medium,0.0162605208717803, https://leetcode.com/problems/simplify-path,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
54,Spiral Matrix,34.1%,Medium,0.0147761677076887, https://leetcode.com/problems/spiral-matrix,Not Done
20,Valid Parentheses,39.0%,Easy,0.0142924911800259, https://leetcode.com/problems/valid-parentheses,Not Done
179,Largest Number,28.8%,Medium,0.0138650401371716, https://leetcode.com/problems/largest-number,Not Done
94,Binary Tree Inorder Traversal,63.3%,Medium,0.0133535618061347, https://leetcode.com/problems/binary-tree-inorder-traversal,Not Done
767,Reorganize String,48.7%,Medium,0.0132980683046314, https://leetcode.com/problems/reorganize-string,Not Done
112,Path Sum,41.2%,Easy,0.0122650760749325, https://leetcode.com/problems/path-sum,Not Done
437,Path Sum III,47.2%,Medium,0.0121287114466148, https://leetcode.com/problems/path-sum-iii,Not Done
88,Merge Sorted Array,39.4%,Easy,0.0119869580329825, https://leetcode.com/problems/merge-sorted-array,Not Done
986,Interval List Intersections,67.3%,Medium,0.0119690237953207, https://leetcode.com/problems/interval-list-intersections,Not Done
205,Isomorphic Strings,39.8%,Easy,0.0115441397468653, https://leetcode.com/problems/isomorphic-strings,Not Done
207,Course Schedule,43.1%,Medium,0.0111345948091167, https://leetcode.com/problems/course-schedule,Not Done
92,Reverse Linked List II,38.8%,Medium,0.010427623162259, https://leetcode.com/problems/reverse-linked-list-ii,Not Done
113,Path Sum II,46.7%,Medium,0.0097848138799982, https://leetcode.com/problems/path-sum-ii,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0095319510098118, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
206,Reverse Linked List,62.5%,Easy,0.0093267945119749, https://leetcode.com/problems/reverse-linked-list,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.009249390740121, https://leetcode.com/problems/top-k-frequent-elements,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0090863252209608, https://leetcode.com/problems/longest-palindromic-substring,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0089903398146512, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
125,Valid Palindrome,36.7%,Easy,0.0089339486415516, https://leetcode.com/problems/valid-palindrome,Not Done
15,3Sum,26.8%,Medium,0.0087671794435338, https://leetcode.com/problems/3sum,Not Done
139,Word Break,40.1%,Medium,0.0087413144015735, https://leetcode.com/problems/word-break,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.0084890153249113, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
394,Decode String,50.0%,Medium,0.0081666440002722, https://leetcode.com/problems/decode-string,Not Done
438,Find All Anagrams in a String,43.3%,Medium,0.0081268224604974, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0080792198705464, https://leetcode.com/problems/meeting-rooms-ii,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0078989352245344, https://leetcode.com/problems/sliding-window-maximum,Not Done
38,Count and Say,44.6%,Easy,0.0078293608004357, https://leetcode.com/problems/count-and-say,Not Done
101,Symmetric Tree,46.8%,Easy,0.007646596306528, https://leetcode.com/problems/symmetric-tree,Not Done
876,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list,Not Done
415,Add Strings,47.5%,Easy,0.0075872898121594, https://leetcode.com/problems/add-strings,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
10,Regular Expression Matching,26.8%,Hard,0.0071865203293987, https://leetcode.com/problems/regular-expression-matching,Not Done
204,Count Primes,31.5%,Easy,0.0070721652613624, https://leetcode.com/problems/count-primes,Not Done
938,Range Sum of BST,81.3%,Easy,0.0070114222378039, https://leetcode.com/problems/range-sum-of-bst,Not Done
114,Flatten Binary Tree to Linked List,49.3%,Medium,0.0068965790590603, https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Not Done
230,Kth Smallest Element in a BST,60.2%,Medium,0.0063361529894967, https://leetcode.com/problems/kth-smallest-element-in-a-bst,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0061910118808252, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0056826406650506, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
543,Diameter of Binary Tree,48.4%,Easy,0.0053057559141498, https://leetcode.com/problems/diameter-of-binary-tree,Not Done
1,Two Sum,45.6%,Easy,0.0051178232035212, https://leetcode.com/problems/two-sum,Not Done
53,Maximum Subarray,46.5%,Easy,0.0048693490141821, https://leetcode.com/problems/maximum-subarray,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0047725193990346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
62,Unique Paths,54.1%,Medium,0.004621080312067, https://leetcode.com/problems/unique-paths,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
242,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram,Not Done
28,Implement strStr(),34.5%,Easy,0.00394322277504, https://leetcode.com/problems/implement-strstr,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
49,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams,Not Done
8,String to Integer (atoi),15.4%,Medium,0.0037925521897059, https://leetcode.com/problems/string-to-integer-atoi,Not Done
14,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
283,Move Zeroes,57.8%,Easy,0.0028853803470673, https://leetcode.com/problems/move-zeroes,Not Done
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0019513153174351, https://leetcode.com/problems/remove-duplicates-from-sorted-array,Not Done
210,Course Schedule II,40.7%,Medium,0.0019086707135282, https://leetcode.com/problems/course-schedule-ii,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0015556336509412, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
151,Reverse Words in a String,21.9%,Medium,0.0015375156780384, https://leetcode.com/problems/reverse-words-in-a-string,Not Done
50,Pow(x;n),30.3%,Medium,0.0014016892647828, https://leetcode.com/problems/powx-n,Not Done
