ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
425,Word Squares,47.7%,Hard,1.3737846439355526, https://leetcode.com/problems/word-squares,Not Done
146,LRU Cache,33.2%,Medium,1.2233383443716417, https://leetcode.com/problems/lru-cache,Not Done
352,Data Stream as Disjoint Intervals,47.3%,Hard,1.0728920448077304, https://leetcode.com/problems/data-stream-as-disjoint-intervals,Not Done
450,Delete Node in a BST,43.1%,Medium,0.9224457452438196, https://leetcode.com/problems/delete-node-in-a-bst,Not Done
362,Design Hit Counter,63.7%,Medium,0.8944603431177579, https://leetcode.com/problems/design-hit-counter,Not Done
1,Two Sum,45.6%,Easy,0.8671080762741441, https://leetcode.com/problems/two-sum,Not Done
554,Brick Wall,50.0%,Medium,0.8487112881843506, https://leetcode.com/problems/brick-wall,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.744432863023671, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
253,Meeting Rooms II,45.7%,Medium,0.59398656345976, https://leetcode.com/problems/meeting-rooms-ii,Not Done
403,Frog Jump,39.7%,Hard,0.5847178330329063, https://leetcode.com/problems/frog-jump,Not Done
200,Number of Islands,46.8%,Medium,0.4492980477443428, https://leetcode.com/problems/number-of-islands,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.414186436221979, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
56,Merge Intervals,39.3%,Medium,0.4061026968850166, https://leetcode.com/problems/merge-intervals,Not Done
394,Decode String,50.0%,Medium,0.3792953903747796, https://leetcode.com/problems/decode-string,Not Done
227,Basic Calculator II,36.9%,Medium,0.3709825801608562, https://leetcode.com/problems/basic-calculator-ii,Not Done
415,Add Strings,47.5%,Easy,0.3565606952191458, https://leetcode.com/problems/add-strings,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.3351478792926705, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.3336019272255533, https://leetcode.com/problems/set-matrix-zeroes,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.33035289065162, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
54,Spiral Matrix,34.1%,Medium,0.3163765745699599, https://leetcode.com/problems/spiral-matrix,Not Done
53,Maximum Subarray,46.5%,Easy,0.3123508739120354, https://leetcode.com/problems/maximum-subarray,Not Done
1242,Web Crawler Multithreaded,45.9%,Medium,0.3096171493180366, https://leetcode.com/problems/web-crawler-multithreaded,Not Done
706,Design HashMap,61.3%,Easy,0.306079437591497, https://leetcode.com/problems/design-hashmap,Not Done
636,Exclusive Time of Functions,51.9%,Medium,0.2925824199839053, https://leetcode.com/problems/exclusive-time-of-functions,Not Done
692,Top K Frequent Words,51.8%,Medium,0.2766825304864005, https://leetcode.com/problems/top-k-frequent-words,Not Done
599,Minimum Index Sum of Two Lists,50.7%,Easy,0.2723477084516743, https://leetcode.com/problems/minimum-index-sum-of-two-lists,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.2676620302183387, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
20,Valid Parentheses,39.0%,Easy,0.2658970011903397, https://leetcode.com/problems/valid-parentheses,Not Done
127,Word Ladder,29.6%,Medium,0.2576246451678042, https://leetcode.com/problems/word-ladder,Not Done
126,Word Ladder II,22.1%,Hard,0.2550397648486566, https://leetcode.com/problems/word-ladder-ii,Not Done
75,Sort Colors,47.3%,Medium,0.2480558716941061, https://leetcode.com/problems/sort-colors,Not Done
535,Encode and Decode TinyURL,79.9%,Medium,0.2374036631310429, https://leetcode.com/problems/encode-and-decode-tinyurl,Not Done
545,Boundary of Binary Tree,38.9%,Medium,0.235382573048932, https://leetcode.com/problems/boundary-of-binary-tree,Not Done
1188,Design Bounded Blocking Queue,70.5%,Medium,0.2330072808365499, https://leetcode.com/problems/design-bounded-blocking-queue,Not Done
722,Remove Comments,34.6%,Medium,0.2297333609932653, https://leetcode.com/problems/remove-comments,Not Done
1190,Reverse Substrings Between Each Pair of Parentheses,61.5%,Medium,0.2212842387240264, https://leetcode.com/problems/reverse-substrings-between-each-pair-of-parentheses,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.2082667520997665, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
232,Implement Queue using Stacks,49.6%,Easy,0.2061543735213694, https://leetcode.com/problems/implement-queue-using-stacks,Not Done
37,Sudoku Solver,43.6%,Hard,0.2030908927628207, https://leetcode.com/problems/sudoku-solver,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.2017709918067588, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.1993329026204912, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,Not Done
42,Trapping Rain Water,48.9%,Hard,0.1936300935863357, https://leetcode.com/problems/trapping-rain-water,Not Done
206,Reverse Linked List,62.5%,Easy,0.191793394456521, https://leetcode.com/problems/reverse-linked-list,Not Done
46,Permutations,63.5%,Medium,0.1881669090178225, https://leetcode.com/problems/permutations,Not Done
438,Find All Anagrams in a String,43.3%,Medium,0.1856479914148268, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.1821981837754772, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
1212,Team Scores in Football Tournament,55.8%,Medium,0.1772801345210285, https://leetcode.com/problems/team-scores-in-football-tournament,Not Done
238,Product of Array Except Self,60.1%,Medium,0.1764463022920214, https://leetcode.com/problems/product-of-array-except-self,Not Done
230,Kth Smallest Element in a BST,60.2%,Medium,0.1758650360187951, https://leetcode.com/problems/kth-smallest-element-in-a-bst,Not Done
2,Add Two Numbers,33.9%,Medium,0.1708624267353118, https://leetcode.com/problems/add-two-numbers,Not Done
43,Multiply Strings,33.9%,Medium,0.1706165101720403, https://leetcode.com/problems/multiply-strings,Not Done
609,Find Duplicate File in System,59.5%,Medium,0.1697183846406292, https://leetcode.com/problems/find-duplicate-file-in-system,Not Done
349,Intersection of Two Arrays,62.5%,Easy,0.1671380430198706, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
715,Range Module,38.5%,Hard,0.1636294237818021, https://leetcode.com/problems/range-module,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.1589005268310668, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
141,Linked List Cycle,41.1%,Easy,0.1582794893997816, https://leetcode.com/problems/linked-list-cycle,Not Done
139,Word Break,40.1%,Medium,0.1526025947499831, https://leetcode.com/problems/word-break,Not Done
314,Binary Tree Vertical Order Traversal,45.3%,Medium,0.1514860046730635, https://leetcode.com/problems/binary-tree-vertical-order-traversal,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.1511061932815539, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.1431578464338256, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.1425757155399302, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
208,Implement Trie (Prefix Tree),49.4%,Medium,0.1365852658505827, https://leetcode.com/problems/implement-trie-prefix-tree,Not Done
10,Regular Expression Matching,26.8%,Hard,0.1363223014808832, https://leetcode.com/problems/regular-expression-matching,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.1363157493396026, https://leetcode.com/problems/longest-palindromic-substring,Not Done
1044,Longest Duplicate Substring,31.9%,Hard,0.1351378186727963, https://leetcode.com/problems/longest-duplicate-substring,Not Done
195,Tenth Line,33.0%,Easy,0.1329388000145885, https://leetcode.com/problems/tenth-line,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.1316245346943259, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.1314713186002077, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
214,Shortest Palindrome,29.8%,Hard,0.1302651948379014, https://leetcode.com/problems/shortest-palindrome,Not Done
958,Check Completeness of a Binary Tree,52.1%,Medium,0.1288449608908956, https://leetcode.com/problems/check-completeness-of-a-binary-tree,Not Done
694,Number of Distinct Islands,56.0%,Medium,0.125163142954006, https://leetcode.com/problems/number-of-distinct-islands,Not Done
163,Missing Ranges,24.3%,Medium,0.1182186706011949, https://leetcode.com/problems/missing-ranges,Not Done
207,Course Schedule,43.1%,Medium,0.1172576149620785, https://leetcode.com/problems/course-schedule,Not Done
160,Intersection of Two Linked Lists,40.6%,Easy,0.115856766079841, https://leetcode.com/problems/intersection-of-two-linked-lists,Not Done
101,Symmetric Tree,46.8%,Easy,0.1158384786159296, https://leetcode.com/problems/symmetric-tree,Not Done
503,Next Greater Element II,56.5%,Medium,0.112427347695069, https://leetcode.com/problems/next-greater-element-ii,Not Done
344,Reverse String,68.5%,Easy,0.1114496841951455, https://leetcode.com/problems/reverse-string,Not Done
965,Univalued Binary Tree,67.7%,Easy,0.1113247947325074, https://leetcode.com/problems/univalued-binary-tree,Not Done
412,Fizz Buzz,62.3%,Easy,0.1089140648664841, https://leetcode.com/problems/fizz-buzz,Not Done
204,Count Primes,31.5%,Easy,0.1075582408343523, https://leetcode.com/problems/count-primes,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.105021475139237, https://leetcode.com/problems/find-median-from-data-stream,Not Done
273,Integer to English Words,27.1%,Hard,0.1038096327122969, https://leetcode.com/problems/integer-to-english-words,Not Done
417,Pacific Atlantic Water Flow,41.1%,Medium,0.1000834585569825, https://leetcode.com/problems/pacific-atlantic-water-flow,Not Done
12,Integer to Roman,55.1%,Medium,0.0998181930348434, https://leetcode.com/problems/integer-to-roman,Not Done
13,Roman to Integer,55.7%,Easy,0.0988478550202832, https://leetcode.com/problems/roman-to-integer,Not Done
71,Simplify Path,32.6%,Medium,0.0975431543086372, https://leetcode.com/problems/simplify-path,Not Done
1236,Web Crawler,64.3%,Medium,0.0953101798043248, https://leetcode.com/problems/web-crawler,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.0932641887868166, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
794,Valid Tic-Tac-Toe State,32.6%,Medium,0.0922312242160336, https://leetcode.com/problems/valid-tic-tac-toe-state,Not Done
243,Shortest Word Distance,61.0%,Easy,0.0895229619066586, https://leetcode.com/problems/shortest-word-distance,Not Done
652,Find Duplicate Subtrees,50.2%,Medium,0.0890796300536887, https://leetcode.com/problems/find-duplicate-subtrees,Not Done
109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.0870113769896297, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.0869640542723505, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
116,Populating Next Right Pointers in Each Node,45.2%,Medium,0.0863668394230045, https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Not Done
114,Flatten Binary Tree to Linked List,49.3%,Medium,0.0813726719605432, https://leetcode.com/problems/flatten-binary-tree-to-linked-list,Not Done
242,Valid Anagram,56.9%,Easy,0.0809309031349158, https://leetcode.com/problems/valid-anagram,Not Done
29,Divide Two Integers,16.4%,Medium,0.0799642916766328, https://leetcode.com/problems/divide-two-integers,Not Done
57,Insert Interval,33.5%,Hard,0.0793059658174109, https://leetcode.com/problems/insert-interval,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0776335361177607, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
49,Group Anagrams,56.9%,Medium,0.0743461524573368, https://leetcode.com/problems/group-anagrams,Not Done
721,Accounts Merge,48.8%,Medium,0.0734949557533648, https://leetcode.com/problems/accounts-merge,Not Done
155,Min Stack,44.5%,Easy,0.0734021928122619, https://leetcode.com/problems/min-stack,Not Done
505,The Maze II,47.7%,Medium,0.0713314780054297, https://leetcode.com/problems/the-maze-ii,Not Done
205,Isomorphic Strings,39.8%,Easy,0.0700566499345432, https://leetcode.com/problems/isomorphic-strings,Not Done
136,Single Number,65.5%,Easy,0.0693807551554477, https://leetcode.com/problems/single-number,Not Done
284,Peeking Iterator,45.7%,Medium,0.0686768657962193, https://leetcode.com/problems/peeking-iterator,Not Done
289,Game of Life,54.5%,Medium,0.067564736999601, https://leetcode.com/problems/game-of-life,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0674815433694624, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.0663662162405927, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
1197,Minimum Knight Moves,36.1%,Medium,0.0656212053584729, https://leetcode.com/problems/minimum-knight-moves,Not Done
15,3Sum,26.8%,Medium,0.0644697240545403, https://leetcode.com/problems/3sum,Not Done
51,N-Queens,46.6%,Hard,0.064021858764931, https://leetcode.com/problems/n-queens,Not Done
1170,Compare Strings by Frequency of the Smallest Character,58.7%,Easy,0.0609016173401116, https://leetcode.com/problems/compare-strings-by-frequency-of-the-smallest-character,Not Done
305,Number of Islands II,40.1%,Hard,0.0600781239432833, https://leetcode.com/problems/number-of-islands-ii,Not Done
