ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1473,Paint House III,48.1%,Hard,0.3658010975821623, https://leetcode.com/problems/paint-house-iii,Not Done
1497,Check If Array Pairs Are Divisible by k,41.1%,Medium,0.2357666456855048, https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,0.1057321937888473, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
1297,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.0777089843273162, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,Not Done
56,Merge Intervals,39.3%,Medium,0.0417330422533176, https://leetcode.com/problems/merge-intervals,Not Done
324,Wiggle Sort II,29.9%,Medium,0.0289875368732522, https://leetcode.com/problems/wiggle-sort-ii,Not Done
68,Text Justification,27.7%,Hard,0.0276451606661453, https://leetcode.com/problems/text-justification,Not Done
12,Integer to Roman,55.1%,Medium,0.0190966974564563, https://leetcode.com/problems/integer-to-roman,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.0157153574796282, https://leetcode.com/problems/set-matrix-zeroes,Not Done
977,Squares of a Sorted Array,72.1%,Easy,0.0154741965825973, https://leetcode.com/problems/squares-of-a-sorted-array,Not Done
227,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii,Not Done
20,Valid Parentheses,39.0%,Easy,0.0091706953260616, https://leetcode.com/problems/valid-parentheses,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.0090518834853154, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
876,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list,Not Done
53,Maximum Subarray,46.5%,Easy,0.0048693490141821, https://leetcode.com/problems/maximum-subarray,Not Done
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache,Not Done
1,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum,Not Done
2,Add Two Numbers,33.9%,Medium,0.001688619111144, https://leetcode.com/problems/add-two-numbers,Not Done
