ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
6,ZigZag Conversion,36.3%,Medium,0.8494120771045042, https://leetcode.com/problems/zigzag-conversion,Not Done
1473,Paint House III,48.1%,Hard,0.6775218626568644, https://leetcode.com/problems/paint-house-iii,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,0.583924058361535, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
243,Shortest Word Distance,61.0%,Easy,0.4120338439138953, https://leetcode.com/problems/shortest-word-distance,Not Done
1,Two Sum,45.6%,Easy,0.3475579001540161, https://leetcode.com/problems/two-sum,Not Done
1497,Check If Array Pairs Are Divisible by k,41.1%,Medium,0.3088739506443188, https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Not Done
1297,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.2800774730665616, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,Not Done
273,Integer to English Words,27.1%,Hard,0.2653283360481847, https://leetcode.com/problems/integer-to-english-words,Not Done
146,LRU Cache,33.2%,Medium,0.2585885798043696, https://leetcode.com/problems/lru-cache,Not Done
54,Spiral Matrix,34.1%,Medium,0.1824318164555691, https://leetcode.com/problems/spiral-matrix,Not Done
56,Merge Intervals,39.3%,Medium,0.1371342180083854, https://leetcode.com/problems/merge-intervals,Not Done
224,Basic Calculator,36.8%,Hard,0.1243527448795445, https://leetcode.com/problems/basic-calculator,Not Done
242,Valid Anagram,56.9%,Easy,0.1186036884103055, https://leetcode.com/problems/valid-anagram,Not Done
20,Valid Parentheses,39.0%,Easy,0.1069312282383534, https://leetcode.com/problems/valid-parentheses,Not Done
68,Text Justification,27.7%,Hard,0.1062711030495726, https://leetcode.com/problems/text-justification,Not Done
977,Squares of a Sorted Array,72.1%,Easy,0.075985906977922, https://leetcode.com/problems/squares-of-a-sorted-array,Not Done
532,K-diff Pairs in an Array,31.6%,Easy,0.0729252399046724, https://leetcode.com/problems/k-diff-pairs-in-an-array,Not Done
283,Move Zeroes,57.8%,Easy,0.0697486839370299, https://leetcode.com/problems/move-zeroes,Not Done
206,Reverse Linked List,62.5%,Easy,0.0684656461444907, https://leetcode.com/problems/reverse-linked-list,Not Done
199,Binary Tree Right Side View,54.1%,Medium,0.0674815433694624, https://leetcode.com/problems/binary-tree-right-side-view,Not Done
53,Maximum Subarray,46.5%,Easy,0.0635617995883293, https://leetcode.com/problems/maximum-subarray,Not Done
25,Reverse Nodes in k-Group,42.1%,Hard,0.062178154907672, https://leetcode.com/problems/reverse-nodes-in-k-group,Not Done
416,Partition Equal Subset Sum,43.7%,Medium,0.0530910231968294, https://leetcode.com/problems/partition-equal-subset-sum,Not Done
12,Integer to Roman,55.1%,Medium,0.0521712293696912, https://leetcode.com/problems/integer-to-roman,Not Done
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.0509015727660369, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Not Done
2,Add Two Numbers,33.9%,Medium,0.0498599539733252, https://leetcode.com/problems/add-two-numbers,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.0464767658457288, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0416485872342618, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
46,Permutations,63.5%,Medium,0.0373216322335356, https://leetcode.com/problems/permutations,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.0357260588647216, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0348298725805272, https://leetcode.com/problems/product-of-array-except-self,Not Done
75,Sort Colors,47.3%,Medium,0.0308019915703732, https://leetcode.com/problems/sort-colors,Not Done
134,Gas Station,38.5%,Medium,0.0301833778230985, https://leetcode.com/problems/gas-station,Not Done
344,Reverse String,68.5%,Easy,0.0290483551599263, https://leetcode.com/problems/reverse-string,Not Done
324,Wiggle Sort II,29.9%,Medium,0.0289875368732522, https://leetcode.com/problems/wiggle-sort-ii,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.027769920533553, https://leetcode.com/problems/set-matrix-zeroes,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0275701045042675, https://leetcode.com/problems/longest-palindromic-substring,Not Done
735,Asteroid Collision,41.0%,Medium,0.0247231380867947, https://leetcode.com/problems/asteroid-collision,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0246043242310393, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
28,Implement strStr(),34.5%,Easy,0.0243938332463308, https://leetcode.com/problems/implement-strstr,Not Done
72,Edit Distance,44.8%,Hard,0.0224001401731278, https://leetcode.com/problems/edit-distance,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.020115781374417, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
15,3Sum,26.8%,Medium,0.0196191578891885, https://leetcode.com/problems/3sum,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0189549191072609, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii,Not Done
322,Coin Change,35.5%,Medium,0.0160227741881222, https://leetcode.com/problems/coin-change,Not Done
189,Rotate Array,34.7%,Easy,0.0160227741881222, https://leetcode.com/problems/rotate-array,Not Done
557,Reverse Words in a String III,69.8%,Easy,0.0137317640013159, https://leetcode.com/problems/reverse-words-in-a-string-iii,Not Done
1047,Remove All Adjacent Duplicates In String,68.6%,Easy,0.0130592779891792, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string,Not Done
227,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii,Not Done
876,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list,Not Done
