ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
740,Delete and Earn,48.6%,Medium,2.046933796526049, https://leetcode.com/problems/delete-and-earn,Not Done
366,Find Leaves of Binary Tree,70.6%,Medium,1.492934381312693, https://leetcode.com/problems/find-leaves-of-binary-tree,Not Done
547,Friend Circles,58.6%,Medium,0.9389349660993366, https://leetcode.com/problems/friend-circles,Not Done
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.8080712743639388, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Not Done
41,First Missing Positive,32.0%,Hard,0.5197501329149874, https://leetcode.com/problems/first-missing-positive,Not Done
28,Implement strStr(),34.5%,Easy,0.4943086172087838, https://leetcode.com/problems/implement-strstr,Not Done
133,Clone Graph,34.8%,Medium,0.4466221331933528, https://leetcode.com/problems/clone-graph,Not Done
75,Sort Colors,47.3%,Medium,0.4245095320511369, https://leetcode.com/problems/sort-colors,Not Done
285,Inorder Successor in BST,40.4%,Medium,0.3613389564677101, https://leetcode.com/problems/inorder-successor-in-bst,Not Done
10,Regular Expression Matching,26.8%,Hard,0.1593440902226424, https://leetcode.com/problems/regular-expression-matching,Not Done
214,Shortest Palindrome,29.8%,Hard,0.0722045692473942, https://leetcode.com/problems/shortest-palindrome,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.0515282844015563, https://leetcode.com/problems/top-k-frequent-elements,Not Done
139,Word Break,40.1%,Medium,0.0332994140690493, https://leetcode.com/problems/word-break,Not Done
269,Alien Dictionary,33.3%,Hard,0.0271100940094758, https://leetcode.com/problems/alien-dictionary,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.0083869655724832, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
772,Basic Calculator III,41.3%,Hard,0.0, https://leetcode.com/problems/basic-calculator-iii,Not Done
442,Find All Duplicates in an Array,67.8%,Medium,0.0, https://leetcode.com/problems/find-all-duplicates-in-an-array,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
424,Longest Repeating Character Replacement,47.0%,Medium,0.0, https://leetcode.com/problems/longest-repeating-character-replacement,Not Done
600,Non-negative Integers without Consecutive Ones,34.1%,Hard,0.0, https://leetcode.com/problems/non-negative-integers-without-consecutive-ones,Not Done
692,Top K Frequent Words,51.8%,Medium,0.0, https://leetcode.com/problems/top-k-frequent-words,Not Done
