ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
695,Max Area of Island,62.7%,Medium,0.2095233240977568, https://leetcode.com/problems/max-area-of-island,Not Done
127,Word Ladder,29.6%,Medium,0.1667080439422554, https://leetcode.com/problems/word-ladder,Not Done
42,Trapping Rain Water,48.9%,Hard,0.1238927637867539, https://leetcode.com/problems/trapping-rain-water,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,0.1057321937888473, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
200,Number of Islands,46.8%,Medium,0.0991045531982388, https://leetcode.com/problems/number-of-islands,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.0869640542723505, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
139,Word Break,40.1%,Medium,0.0760501461188526, https://leetcode.com/problems/word-break,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.0739252736970156, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.0697534935244004, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0543858526287479, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
13,Roman to Integer,55.7%,Easy,0.0412134686313029, https://leetcode.com/problems/roman-to-integer,Not Done
722,Remove Comments,34.6%,Medium,0.0404913613547369, https://leetcode.com/problems/remove-comments,Not Done
729,My Calendar I,51.8%,Medium,0.036433902246102, https://leetcode.com/problems/my-calendar-i,Not Done
332,Reconstruct Itinerary,36.7%,Medium,0.0306877132312374, https://leetcode.com/problems/reconstruct-itinerary,Not Done
119,Pascal's Triangle II,49.0%,Easy,0.0265659070375934, https://leetcode.com/problems/pascals-triangle-ii,Not Done
733,Flood Fill,55.3%,Easy,0.0250639686632162, https://leetcode.com/problems/flood-fill,Not Done
131,Palindrome Partitioning,47.5%,Medium,0.0139035955385773, https://leetcode.com/problems/palindrome-partitioning,Not Done
767,Reorganize String,48.7%,Medium,0.0132980683046314, https://leetcode.com/problems/reorganize-string,Not Done
208,Implement Trie (Prefix Tree),49.4%,Medium,0.0091054578566266, https://leetcode.com/problems/implement-trie-prefix-tree,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0088218568602167, https://leetcode.com/problems/product-of-array-except-self,Not Done
15,3Sum,26.8%,Medium,0.0087671794435338, https://leetcode.com/problems/3sum,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.007077170374085, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
543,Diameter of Binary Tree,48.4%,Easy,0.0053057559141498, https://leetcode.com/problems/diameter-of-binary-tree,Not Done
69,Sqrt(x),33.9%,Easy,0.0051020518838954, https://leetcode.com/problems/sqrtx,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.004247643638268, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
49,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams,Not Done
