ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
200,Number of Islands,46.8%,Medium,0.6743216943898789, https://leetcode.com/problems/number-of-islands,Not Done
695,Max Area of Island,62.7%,Medium,0.5272157745378819, https://leetcode.com/problems/max-area-of-island,Not Done
449,Serialize and Deserialize BST,52.0%,Medium,0.5089777138955178, https://leetcode.com/problems/serialize-and-deserialize-bst,Not Done
42,Trapping Rain Water,48.9%,Hard,0.3618717940435209, https://leetcode.com/problems/trapping-rain-water,Not Done
127,Word Ladder,29.6%,Medium,0.2906760866643856, https://leetcode.com/problems/word-ladder,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.2676620302183387, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.2330001096609468, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
49,Group Anagrams,56.9%,Medium,0.1942400845554824, https://leetcode.com/problems/group-anagrams,Not Done
139,Word Break,40.1%,Medium,0.1314440532234174, https://leetcode.com/problems/word-break,Not Done
1041,Robot Bounded In Circle,49.6%,Medium,0.1057321937888473, https://leetcode.com/problems/robot-bounded-in-circle,Not Done
733,Flood Fill,55.3%,Easy,0.096693624802471, https://leetcode.com/problems/flood-fill,Not Done
13,Roman to Integer,55.7%,Easy,0.0823781862214932, https://leetcode.com/problems/roman-to-integer,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.0804602339188247, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
119,Pascal's Triangle II,49.0%,Easy,0.0721189006934201, https://leetcode.com/problems/pascals-triangle-ii,Not Done
332,Reconstruct Itinerary,36.7%,Medium,0.05392141679382, https://leetcode.com/problems/reconstruct-itinerary,Not Done
15,3Sum,26.8%,Medium,0.0436139107737019, https://leetcode.com/problems/3sum,Not Done
722,Remove Comments,34.6%,Medium,0.0404913613547369, https://leetcode.com/problems/remove-comments,Not Done
729,My Calendar I,51.8%,Medium,0.036433902246102, https://leetcode.com/problems/my-calendar-i,Not Done
208,Implement Trie (Prefix Tree),49.4%,Medium,0.0359346995279286, https://leetcode.com/problems/implement-trie-prefix-tree,Not Done
131,Palindrome Partitioning,47.5%,Medium,0.0310155805069216, https://leetcode.com/problems/palindrome-partitioning,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0158537757721772, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
767,Reorganize String,48.7%,Medium,0.0132980683046314, https://leetcode.com/problems/reorganize-string,Not Done
543,Diameter of Binary Tree,48.4%,Easy,0.0118986067984958, https://leetcode.com/problems/diameter-of-binary-tree,Not Done
69,Sqrt(x),33.9%,Easy,0.0114432272223427, https://leetcode.com/problems/sqrtx,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0088218568602167, https://leetcode.com/problems/product-of-array-except-self,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.004247643638268, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
