ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
418,Sentence Screen Fitting,32.6%,Medium,0.7267557746113953, https://leetcode.com/problems/sentence-screen-fitting,Not Done
755,Pour Water,43.3%,Medium,0.5580780410684244, https://leetcode.com/problems/pour-water,Not Done
224,Basic Calculator,36.8%,Hard,0.4513597728444436, https://leetcode.com/problems/basic-calculator,Not Done
54,Spiral Matrix,34.1%,Medium,0.346812263982709, https://leetcode.com/problems/spiral-matrix,Not Done
59,Spiral Matrix II,53.9%,Medium,0.1781345304397381, https://leetcode.com/problems/spiral-matrix-ii,Not Done
68,Text Justification,27.7%,Hard,0.1614321443463724, https://leetcode.com/problems/text-justification,Not Done
697,Degree of an Array,53.8%,Easy,0.0711762784678949, https://leetcode.com/problems/degree-of-an-array,Not Done
525,Contiguous Array,42.8%,Medium,0.0197537287362325, https://leetcode.com/problems/contiguous-array,Not Done
438,Find All Anagrams in a String,43.3%,Medium,0.0081268224604974, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
1391,Check if There is a Valid Path in a Grid,44.5%,Medium,0.0, https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid,Not Done
1393,Capital Gain/Loss,89.4%,Medium,0.0, https://leetcode.com/problems/capital-gainloss,Not Done
