ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
770,Basic Calculator IV,48.1%,Hard,0.8056669695056433, https://leetcode.com/problems/basic-calculator-iv,Not Done
811,Subdomain Visit Count,69.9%,Easy,0.6153565614064571, https://leetcode.com/problems/subdomain-visit-count,Not Done
224,Basic Calculator,36.8%,Hard,0.4250461533072708, https://leetcode.com/problems/basic-calculator,Not Done
829,Consecutive Numbers Sum,37.5%,Hard,0.2948579105218522, https://leetcode.com/problems/consecutive-numbers-sum,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.1912843449600571, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
1297,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.1670540846631662, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring,Not Done
1328,Break a Palindrome,43.3%,Medium,0.1283811666482067, https://leetcode.com/problems/break-a-palindrome,Not Done
1248,Count Number of Nice Subarrays,56.4%,Medium,0.0459322988974351, https://leetcode.com/problems/count-number-of-nice-subarrays,Not Done
146,LRU Cache,33.2%,Medium,0.0284110018327798, https://leetcode.com/problems/lru-cache,Not Done
1290,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.0236231457634359, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Not Done
37,Sudoku Solver,43.6%,Hard,0.0182154398913411, https://leetcode.com/problems/sudoku-solver,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0176856643462755, https://leetcode.com/problems/sliding-window-maximum,Not Done
36,Valid Sudoku,48.7%,Medium,0.0162575835095609, https://leetcode.com/problems/valid-sudoku,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands,Not Done
