ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1283,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.0665963051641667, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Not Done
146,LRU Cache,33.2%,Medium,0.0549465554587454, https://leetcode.com/problems/lru-cache,Not Done
895,Maximum Frequency Stack,60.6%,Hard,0.0432968057533241, https://leetcode.com/problems/maximum-frequency-stack,Not Done
706,Design HashMap,61.3%,Easy,0.0390166523424517, https://leetcode.com/problems/design-hashmap,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0389364637500942, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
460,LFU Cache,34.2%,Hard,0.0309622256039668, https://leetcode.com/problems/lfu-cache,Not Done
724,Find Pivot Index,44.0%,Easy,0.0308984415512341, https://leetcode.com/problems/find-pivot-index,Not Done
56,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals,Not Done
348,Design Tic-Tac-Toe,54.3%,Medium,0.0242142581205946, https://leetcode.com/problems/design-tic-tac-toe,Not Done
557,Reverse Words in a String III,69.8%,Easy,0.0137317640013159, https://leetcode.com/problems/reverse-words-in-a-string-iii,Not Done
547,Friend Circles,58.6%,Medium,0.0122288286394345, https://leetcode.com/problems/friend-circles,Not Done
211,Add and Search Word - Data structure design,38.1%,Medium,0.0104385081439234, https://leetcode.com/problems/add-and-search-word-data-structure-design,Not Done
212,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream,Not Done
412,Fizz Buzz,62.3%,Easy,0.0071659210261436, https://leetcode.com/problems/fizz-buzz,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.0066113514893502, https://leetcode.com/problems/validate-binary-search-tree,Not Done
41,First Missing Positive,32.0%,Hard,0.0064113058208121, https://leetcode.com/problems/first-missing-positive,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring,Not Done
20,Valid Parentheses,39.0%,Easy,0.0051688605776653, https://leetcode.com/problems/valid-parentheses,Not Done
48,Rotate Image,56.7%,Medium,0.0050955524266001, https://leetcode.com/problems/rotate-image,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands,Not Done
53,Maximum Subarray,46.5%,Easy,0.0021670828721507, https://leetcode.com/problems/maximum-subarray,Not Done
1,Two Sum,45.6%,Easy,0.0018454351235873, https://leetcode.com/problems/two-sum,Not Done
2,Add Two Numbers,33.9%,Medium,0.001688619111144, https://leetcode.com/problems/add-two-numbers,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0015556336509412, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
