ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
312,Burst Balloons,51.8%,Hard,0.0567704247463943, https://leetcode.com/problems/burst-balloons,Not Done
32,Longest Valid Parentheses,28.4%,Hard,0.0347709952129409, https://leetcode.com/problems/longest-valid-parentheses,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0127715656794875, https://leetcode.com/problems/maximal-rectangle,Not Done
523,Continuous Subarray Sum,24.6%,Medium,0.0112931747934555, https://leetcode.com/problems/continuous-subarray-sum,Not Done
572,Subtree of Another Tree,44.1%,Easy,0.0100427658021386, https://leetcode.com/problems/subtree-of-another-tree,Not Done
18,4Sum,33.7%,Medium,0.0093458624182376, https://leetcode.com/problems/4sum,Not Done
876,Middle of the Linked List,68.4%,Easy,0.0072820274457654, https://leetcode.com/problems/middle-of-the-linked-list,Not Done
190,Reverse Bits,39.8%,Easy,0.0072450959918915, https://leetcode.com/problems/reverse-bits,Not Done
31,Next Permutation,32.6%,Medium,0.0057487942170244, https://leetcode.com/problems/next-permutation,Not Done
127,Word Ladder,29.6%,Medium,0.0057314958446896, https://leetcode.com/problems/word-ladder,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0048918458243339, https://leetcode.com/problems/longest-palindromic-substring,Not Done
22,Generate Parentheses,62.7%,Medium,0.0041523987827989, https://leetcode.com/problems/generate-parentheses,Not Done
1,Two Sum,45.6%,Easy,0.003139596786381, https://leetcode.com/problems/two-sum,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0031000567336666, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
20,Valid Parentheses,39.0%,Easy,0.0021976823306058, https://leetcode.com/problems/valid-parentheses,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0021580801469849, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
15,3Sum,26.8%,Medium,0.0020811662038245, https://leetcode.com/problems/3sum,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.001688120257403, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0014852223137141, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
