ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
312,Burst Balloons,51.8%,Hard,0.1436030350715959, https://leetcode.com/problems/burst-balloons,Not Done
1,Two Sum,45.6%,Easy,0.107241533061097, https://leetcode.com/problems/two-sum,Not Done
572,Subtree of Another Tree,44.1%,Easy,0.0869482914771967, https://leetcode.com/problems/subtree-of-another-tree,Not Done
31,Next Permutation,32.6%,Medium,0.0505867894666979, https://leetcode.com/problems/next-permutation,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0501358124243554, https://leetcode.com/problems/maximal-rectangle,Not Done
20,Valid Parentheses,39.0%,Easy,0.0435880899949722, https://leetcode.com/problems/valid-parentheses,Not Done
32,Longest Valid Parentheses,28.4%,Hard,0.0347709952129409, https://leetcode.com/problems/longest-valid-parentheses,Not Done
15,3Sum,26.8%,Medium,0.0327898228229908, https://leetcode.com/problems/3sum,Not Done
18,4Sum,33.7%,Medium,0.0209066848193136, https://leetcode.com/problems/4sum,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0192195337936351, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
22,Generate Parentheses,62.7%,Medium,0.0165071322730195, https://leetcode.com/problems/generate-parentheses,Not Done
876,Middle of the Linked List,68.4%,Easy,0.016310618931375, https://leetcode.com/problems/middle-of-the-linked-list,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0135298091595156, https://leetcode.com/problems/longest-palindromic-substring,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0132882510450644, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
523,Continuous Subarray Sum,24.6%,Medium,0.0112931747934555, https://leetcode.com/problems/continuous-subarray-sum,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.010504298266876, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
190,Reverse Bits,39.8%,Easy,0.0072450959918915, https://leetcode.com/problems/reverse-bits,Not Done
127,Word Ladder,29.6%,Medium,0.0057314958446896, https://leetcode.com/problems/word-ladder,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0048491474330098, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
653,Two Sum IV - Input is a BST,55.5%,Easy,0.0, https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Not Done
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.0, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Not Done
1301,Number of Paths with Max Score,37.3%,Hard,0.0, https://leetcode.com/problems/number-of-paths-with-max-score,Not Done
1139,Largest 1-Bordered Square,47.5%,Medium,0.0, https://leetcode.com/problems/largest-1-bordered-square,Not Done
1464,Maximum Product of Two Elements in an Array,78.1%,Easy,0.0, https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,Not Done
1519,Number of Nodes in the Sub-Tree With the Same Label,35.2%,Medium,0.0, https://leetcode.com/problems/number-of-nodes-in-the-sub-tree-with-the-same-label,Not Done
