ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1349,Maximum Students Taking Exam,42.0%,Hard,0.1217942495823769, https://leetcode.com/problems/maximum-students-taking-exam,Not Done
738,Monotone Increasing Digits,44.3%,Medium,0.0847965366600769, https://leetcode.com/problems/monotone-increasing-digits,Not Done
1283,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.0477988237377769, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Not Done
1048,Longest String Chain,54.7%,Medium,0.0193616890491459, https://leetcode.com/problems/longest-string-chain,Not Done
509,Fibonacci Number,67.2%,Easy,0.0159351813857973, https://leetcode.com/problems/fibonacci-number,Not Done
8,String to Integer (atoi),15.4%,Medium,0.0085131047622482, https://leetcode.com/problems/string-to-integer-atoi,Not Done
209,Minimum Size Subarray Sum,38.2%,Medium,0.0084140168248461, https://leetcode.com/problems/minimum-size-subarray-sum,Not Done
322,Coin Change,35.5%,Medium,0.0040298261265008, https://leetcode.com/problems/coin-change,Not Done
1,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0021239321954525, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
