ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
706,Design HashMap,61.3%,Easy,0.0365531024026554, https://leetcode.com/problems/design-hashmap,Not Done
653,Two Sum IV - Input is a BST,55.5%,Easy,0.029262762737408, https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Not Done
867,Transpose Matrix,62.8%,Easy,0.0287159048345577, https://leetcode.com/problems/transpose-matrix,Not Done
921,Minimum Add to Make Parentheses Valid,73.7%,Medium,0.0214255651693102, https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Not Done
1,Two Sum,45.6%,Easy,0.0164875806374676, https://leetcode.com/problems/two-sum,Not Done
1290,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.0105681300617922, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.009877165461676, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
20,Valid Parentheses,39.0%,Easy,0.0091706953260616, https://leetcode.com/problems/valid-parentheses,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0090863252209608, https://leetcode.com/problems/longest-palindromic-substring,Not Done
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams,Not Done
56,Merge Intervals,39.3%,Medium,0.0077969727060047, https://leetcode.com/problems/merge-intervals,Not Done
2,Add Two Numbers,33.9%,Medium,0.0067374349519933, https://leetcode.com/problems/add-two-numbers,Not Done
127,Word Ladder,29.6%,Medium,0.005979091056058, https://leetcode.com/problems/word-ladder,Not Done
268,Missing Number,51.7%,Easy,0.0048804391649084, https://leetcode.com/problems/missing-number,Not Done
155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
387,First Unique Character in a String,53.4%,Easy,0.0041854199427069, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
242,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0039304364247245, https://leetcode.com/problems/product-of-array-except-self,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.003839922800048, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
344,Reverse String,68.5%,Easy,0.0032695795025198, https://leetcode.com/problems/reverse-string,Not Done
200,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands,Not Done
15,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum,Not Done
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0019513153174351, https://leetcode.com/problems/remove-duplicates-from-sorted-array,Not Done
