ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
706,Design HashMap,61.3%,Easy,0.1171974903999194, https://leetcode.com/problems/design-hashmap,Not Done
653,Two Sum IV - Input is a BST,55.5%,Easy,0.0907884698478466, https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Not Done
1,Two Sum,45.6%,Easy,0.0643794492957739, https://leetcode.com/problems/two-sum,Not Done
20,Valid Parentheses,39.0%,Easy,0.0559837223814206, https://leetcode.com/problems/valid-parentheses,Not Done
127,Word Ladder,29.6%,Medium,0.0367959097020458, https://leetcode.com/problems/word-ladder,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0348298725805272, https://leetcode.com/problems/product-of-array-except-self,Not Done
867,Transpose Matrix,62.8%,Easy,0.031179454774354, https://leetcode.com/problems/transpose-matrix,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0271992398043688, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
1290,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.0236231457634359, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer,Not Done
56,Merge Intervals,39.3%,Medium,0.0215099061352744, https://leetcode.com/problems/merge-intervals,Not Done
921,Minimum Add to Make Parentheses Valid,73.7%,Medium,0.0214255651693102, https://leetcode.com/problems/minimum-add-to-make-parentheses-valid,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.0203293465686688, https://leetcode.com/problems/longest-palindromic-substring,Not Done
242,Valid Anagram,56.9%,Easy,0.0165139473756747, https://leetcode.com/problems/valid-anagram,Not Done
2,Add Two Numbers,33.9%,Medium,0.0150958921734673, https://leetcode.com/problems/add-two-numbers,Not Done
15,3Sum,26.8%,Medium,0.0136651484190809, https://leetcode.com/problems/3sum,Not Done
200,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands,Not Done
155,Min Stack,44.5%,Easy,0.010653509851791, https://leetcode.com/problems/min-stack,Not Done
103,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.010630255727992, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Not Done
387,First Unique Character in a String,53.4%,Easy,0.0093926801990541, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams,Not Done
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0077825189730631, https://leetcode.com/problems/remove-duplicates-from-sorted-array,Not Done
268,Missing Number,51.7%,Easy,0.0048804391649084, https://leetcode.com/problems/missing-number,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0043506703387449, https://leetcode.com/problems/trapping-rain-water,Not Done
344,Reverse String,68.5%,Easy,0.0032695795025198, https://leetcode.com/problems/reverse-string,Not Done
