ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
296,Best Meeting Point,57.5%,Hard,1.0585568181106575, https://leetcode.com/problems/best-meeting-point,Not Done
146,LRU Cache,33.2%,Medium,0.9412050074721252, https://leetcode.com/problems/lru-cache,Not Done
212,Word Search II,34.9%,Hard,0.7871523471289301, https://leetcode.com/problems/word-search-ii,Not Done
68,Text Justification,27.7%,Hard,0.7812966622905007, https://leetcode.com/problems/text-justification,Not Done
527,Word Abbreviation,54.3%,Hard,0.7435780341868372, https://leetcode.com/problems/word-abbreviation,Not Done
36,Valid Sudoku,48.7%,Medium,0.589525373843642, https://leetcode.com/problems/valid-sudoku,Not Done
772,Basic Calculator III,41.3%,Hard,0.5881497072005337, https://leetcode.com/problems/basic-calculator-iii,Not Done
439,Ternary Expression Parser,55.9%,Medium,0.5705448584676129, https://leetcode.com/problems/ternary-expression-parser,Not Done
253,Meeting Rooms II,45.7%,Medium,0.5493362897220211, https://leetcode.com/problems/meeting-rooms-ii,Not Done
332,Reconstruct Itinerary,36.7%,Medium,0.5180020277364334, https://leetcode.com/problems/reconstruct-itinerary,Not Done
403,Frog Jump,39.7%,Hard,0.504766595745896, https://leetcode.com/problems/frog-jump,Not Done
289,Game of Life,54.5%,Medium,0.4880250602262541, https://leetcode.com/problems/game-of-life,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.4817811959810462, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
127,Word Ladder,29.6%,Medium,0.4325804000994867, https://leetcode.com/problems/word-ladder,Not Done
227,Basic Calculator II,36.9%,Medium,0.4233944910226638, https://leetcode.com/problems/basic-calculator-ii,Not Done
139,Word Break,40.1%,Medium,0.3294518178898106, https://leetcode.com/problems/word-break,Not Done
460,LFU Cache,34.2%,Hard,0.3258590625960574, https://leetcode.com/problems/lfu-cache,Not Done
224,Basic Calculator,36.8%,Hard,0.291910408561302, https://leetcode.com/problems/basic-calculator,Not Done
37,Sudoku Solver,43.6%,Hard,0.2578291093020998, https://leetcode.com/problems/sudoku-solver,Not Done
415,Add Strings,47.5%,Easy,0.2423038266840277, https://leetcode.com/problems/add-strings,Not Done
269,Alien Dictionary,33.3%,Hard,0.2306743801916798, https://leetcode.com/problems/alien-dictionary,Not Done
635,Design Log Storage System,58.6%,Medium,0.2244006225042608, https://leetcode.com/problems/design-log-storage-system,Not Done
161,One Edit Distance,32.3%,Medium,0.207697073177718, https://leetcode.com/problems/one-edit-distance,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.2037476209666304, https://leetcode.com/problems/find-median-from-data-stream,Not Done
200,Number of Islands,46.8%,Medium,0.1699216454242077, https://leetcode.com/problems/number-of-islands,Not Done
632,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.1528392042294475, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Not Done
169,Majority Element,58.7%,Easy,0.1333987030810011, https://leetcode.com/problems/majority-element,Not Done
839,Similar String Groups,38.6%,Hard,0.1193467576325661, https://leetcode.com/problems/similar-string-groups,Not Done
79,Word Search,35.6%,Medium,0.1136648262632914, https://leetcode.com/problems/word-search,Not Done
140,Word Break II,32.6%,Hard,0.1084325068142745, https://leetcode.com/problems/word-break-ii,Not Done
311,Sparse Matrix Multiplication,61.9%,Medium,0.10648348040245, https://leetcode.com/problems/sparse-matrix-multiplication,Not Done
42,Trapping Rain Water,48.9%,Hard,0.103462050225593, https://leetcode.com/problems/trapping-rain-water,Not Done
54,Spiral Matrix,34.1%,Medium,0.1006188916406405, https://leetcode.com/problems/spiral-matrix,Not Done
282,Expression Add Operators,35.5%,Hard,0.0872011843357438, https://leetcode.com/problems/expression-add-operators,Not Done
56,Merge Intervals,39.3%,Medium,0.0833955243057907, https://leetcode.com/problems/merge-intervals,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0776335361177607, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
480,Sliding Window Median,37.2%,Hard,0.0743529801177063, https://leetcode.com/problems/sliding-window-median,Not Done
986,Interval List Intersections,67.3%,Medium,0.0725586518231494, https://leetcode.com/problems/interval-list-intersections,Not Done
394,Decode String,50.0%,Medium,0.0712044462917916, https://leetcode.com/problems/decode-string,Not Done
1146,Snapshot Array,37.0%,Medium,0.0701768767918377, https://leetcode.com/problems/snapshot-array,Not Done
1,Two Sum,45.6%,Easy,0.0643794492957739, https://leetcode.com/problems/two-sum,Not Done
340,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.0629881529323504, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Not Done
305,Number of Islands II,40.1%,Hard,0.0600781239432833, https://leetcode.com/problems/number-of-islands-ii,Not Done
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter,Not Done
653,Two Sum IV - Input is a BST,55.5%,Easy,0.0557247218381, https://leetcode.com/problems/two-sum-iv-input-is-a-bst,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0547332219608938, https://leetcode.com/problems/minimum-window-substring,Not Done
