ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
149,Max Points on a Line,16.9%,Hard,0.0824394161179984, https://leetcode.com/problems/max-points-on-a-line,Not Done
274,H-Index,36.1%,Medium,0.0632254597089662, https://leetcode.com/problems/h-index,Not Done
1213,Intersection of Three Sorted Arrays,78.9%,Easy,0.0440115032999339, https://leetcode.com/problems/intersection-of-three-sorted-arrays,Not Done
692,Top K Frequent Words,51.8%,Medium,0.0439052078041538, https://leetcode.com/problems/top-k-frequent-words,Not Done
1002,Find Common Characters,67.7%,Easy,0.0331766513177327, https://leetcode.com/problems/find-common-characters,Not Done
65,Valid Number,15.3%,Hard,0.021681066061324, https://leetcode.com/problems/valid-number,Not Done
384,Shuffle an Array,52.8%,Medium,0.0147061473896954, https://leetcode.com/problems/shuffle-an-array,Not Done
528,Random Pick with Weight,43.9%,Medium,0.014383563329954, https://leetcode.com/problems/random-pick-with-weight,Not Done
146,LRU Cache,33.2%,Medium,0.0098072051169647, https://leetcode.com/problems/lru-cache,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0069616617794876, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
73,Set Matrix Zeroes,43.1%,Medium,0.0066990704390728, https://leetcode.com/problems/set-matrix-zeroes,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.0063060747091605, https://leetcode.com/problems/validate-binary-search-tree,Not Done
139,Word Break,40.1%,Medium,0.0037551677623236, https://leetcode.com/problems/word-break,Not Done
101,Symmetric Tree,46.8%,Easy,0.0032666423495169, https://leetcode.com/problems/symmetric-tree,Not Done
206,Reverse Linked List,62.5%,Easy,0.0022317701613936, https://leetcode.com/problems/reverse-linked-list,Not Done
70,Climbing Stairs,47.8%,Easy,0.0014753073158671, https://leetcode.com/problems/climbing-stairs,Not Done
