ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
974,Subarray Sums Divisible by K,48.9%,Medium,1.8764428348188085, https://leetcode.com/problems/subarray-sums-divisible-by-k,Not Done
146,LRU Cache,33.2%,Medium,1.1096937929728194, https://leetcode.com/problems/lru-cache,Not Done
935,Knight Dialer,45.2%,Medium,0.3429447511268304, https://leetcode.com/problems/knight-dialer,Not Done
68,Text Justification,27.7%,Hard,0.295187125568808, https://leetcode.com/problems/text-justification,Not Done
332,Reconstruct Itinerary,36.7%,Medium,0.2472279119343532, https://leetcode.com/problems/reconstruct-itinerary,Not Done
20,Valid Parentheses,39.0%,Easy,0.0928626343812616, https://leetcode.com/problems/valid-parentheses,Not Done
225,Implement Stack using Queues,45.1%,Easy,0.0366192258067424, https://leetcode.com/problems/implement-stack-using-queues,Not Done
560,Subarray Sum Equals K,43.9%,Medium,0.0264509707947558, https://leetcode.com/problems/subarray-sum-equals-k,Not Done
532,K-diff Pairs in an Array,31.6%,Easy,0.0187359110574698, https://leetcode.com/problems/k-diff-pairs-in-an-array,Not Done
139,Word Break,40.1%,Medium,0.0154876776913513, https://leetcode.com/problems/word-break,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams,Not Done
1,Two Sum,45.6%,Easy,0.0051178232035212, https://leetcode.com/problems/two-sum,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
14,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix,Not Done
965,Univalued Binary Tree,67.7%,Easy,0.0, https://leetcode.com/problems/univalued-binary-tree,Not Done
1507,Reformat Date,60.5%,Easy,0.0, https://leetcode.com/problems/reformat-date,Not Done
