ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
547,Friend Circles,58.6%,Medium,2.779485180300092, https://leetcode.com/problems/friend-circles,Not Done
1048,Longest String Chain,54.7%,Medium,2.0101066512808607, https://leetcode.com/problems/longest-string-chain,Not Done
918,Maximum Sum Circular Subarray,33.7%,Medium,1.200561419408042, https://leetcode.com/problems/maximum-sum-circular-subarray,Not Done
123,Best Time to Buy and Sell Stock III,37.5%,Hard,0.3910161875352235, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Not Done
146,LRU Cache,33.2%,Medium,0.3479336801402196, https://leetcode.com/problems/lru-cache,Not Done
710,Random Pick with Blacklist,32.5%,Hard,0.3161972427598021, https://leetcode.com/problems/random-pick-with-blacklist,Not Done
528,Random Pick with Weight,43.9%,Medium,0.1261734215253962, https://leetcode.com/problems/random-pick-with-weight,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.1141302391310947, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
44,Wildcard Matching,24.7%,Hard,0.0537222152292479, https://leetcode.com/problems/wildcard-matching,Not Done
1163,Last Substring in Lexicographical Order,33.9%,Hard,0.0513591683706447, https://leetcode.com/problems/last-substring-in-lexicographical-order,Not Done
53,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray,Not Done
384,Shuffle an Array,52.8%,Medium,0.0152500096097238, https://leetcode.com/problems/shuffle-an-array,Not Done
221,Maximal Square,37.7%,Medium,0.0098863879885551, https://leetcode.com/problems/maximal-square,Not Done
56,Merge Intervals,39.3%,Medium,0.0077969727060047, https://leetcode.com/problems/merge-intervals,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
