ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
529,Minesweeper,59.1%,Medium,1.3576226678233785, https://leetcode.com/problems/minesweeper,Not Done
757,Set Intersection Size At Least Two,40.1%,Hard,1.267992345644121, https://leetcode.com/problems/set-intersection-size-at-least-two,Not Done
427,Construct Quad Tree,61.4%,Medium,1.1083419721414765, https://leetcode.com/problems/construct-quad-tree,Not Done
267,Palindrome Permutation II,36.4%,Medium,0.9486915986388316, https://leetcode.com/problems/palindrome-permutation-ii,Not Done
741,Cherry Pickup,33.9%,Hard,0.8368333911973983, https://leetcode.com/problems/cherry-pickup,Not Done
305,Number of Islands II,40.1%,Hard,0.751971278948869, https://leetcode.com/problems/number-of-islands-ii,Not Done
291,Word Pattern II,43.4%,Hard,0.6452087603122145, https://leetcode.com/problems/word-pattern-ii,Not Done
773,Sliding Puzzle,59.3%,Hard,0.62034837400244, https://leetcode.com/problems/sliding-puzzle,Not Done
332,Reconstruct Itinerary,36.7%,Medium,0.4606980004997951, https://leetcode.com/problems/reconstruct-itinerary,Not Done
668,Kth Smallest Number in Multiplication Table,45.6%,Hard,0.4506902061131003, https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Not Done
465,Optimal Account Balancing,46.9%,Hard,0.4474602291447676, https://leetcode.com/problems/optimal-account-balancing,Not Done
655,Print Binary Tree,55.0%,Medium,0.3866059883710684, https://leetcode.com/problems/print-binary-tree,Not Done
1281,Subtract the Product and Sum of Digits of an Integer,85.2%,Easy,0.3807587855252646, https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,Not Done
936,Stamping The Sequence,42.8%,Hard,0.2972515234679316, https://leetcode.com/problems/stamping-the-sequence,Not Done
1136,Parallel Courses,61.1%,Hard,0.2858421455297737, https://leetcode.com/problems/parallel-courses,Not Done
227,Basic Calculator II,36.9%,Medium,0.2714880230931468, https://leetcode.com/problems/basic-calculator-ii,Not Done
527,Word Abbreviation,54.3%,Hard,0.2436220826577504, https://leetcode.com/problems/word-abbreviation,Not Done
772,Basic Calculator III,41.3%,Hard,0.2322522675124501, https://leetcode.com/problems/basic-calculator-iii,Not Done
986,Interval List Intersections,67.3%,Medium,0.2181945400662889, https://leetcode.com/problems/interval-list-intersections,Not Done
56,Merge Intervals,39.3%,Medium,0.1787202517864883, https://leetcode.com/problems/merge-intervals,Not Done
1278,Palindrome Partitioning III,59.9%,Hard,0.1728428128394108, https://leetcode.com/problems/palindrome-partitioning-iii,Not Done
166,Fraction to Recurring Decimal,21.6%,Medium,0.168227793718095, https://leetcode.com/problems/fraction-to-recurring-decimal,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.1668988292677293, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.1634417989772525, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
253,Meeting Rooms II,45.7%,Medium,0.1520916039435107, https://leetcode.com/problems/meeting-rooms-ii,Not Done
365,Water and Jug Problem,30.6%,Medium,0.1456527531568674, https://leetcode.com/problems/water-and-jug-problem,Not Done
863,All Nodes Distance K in Binary Tree,55.4%,Medium,0.1431578464338256, https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.1425757155399302, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.1358304073318783, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
361,Bomb Enemy,46.0%,Medium,0.1271551754852466, https://leetcode.com/problems/bomb-enemy,Not Done
528,Random Pick with Weight,43.9%,Medium,0.1261734215253962, https://leetcode.com/problems/random-pick-with-weight,Not Done
221,Maximal Square,37.7%,Medium,0.1148533190698158, https://leetcode.com/problems/maximal-square,Not Done
780,Reaching Points,29.4%,Hard,0.1123374412146056, https://leetcode.com/problems/reaching-points,Not Done
1188,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue,Not Done
146,LRU Cache,33.2%,Medium,0.1090999130829226, https://leetcode.com/problems/lru-cache,Not Done
1135,Connecting Cities With Minimum Cost,57.5%,Medium,0.0990909026442309, https://leetcode.com/problems/connecting-cities-with-minimum-cost,Not Done
837,New 21 Game,34.6%,Medium,0.0964602661875622, https://leetcode.com/problems/new-21-game,Not Done
149,Max Points on a Line,16.9%,Hard,0.0958817717032825, https://leetcode.com/problems/max-points-on-a-line,Not Done
642,Design Search Autocomplete System,44.7%,Hard,0.0950081106281871, https://leetcode.com/problems/design-search-autocomplete-system,Not Done
752,Open the Lock,51.8%,Medium,0.0949141065821838, https://leetcode.com/problems/open-the-lock,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.092711463262061, https://leetcode.com/problems/sliding-window-maximum,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0850973826412386, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0735156399186752, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
262,Trips and Users,32.7%,Hard,0.0708399953891058, https://leetcode.com/problems/trips-and-users,Not Done
200,Number of Islands,46.8%,Medium,0.0698510378599645, https://leetcode.com/problems/number-of-islands,Not Done
855,Exam Room,43.1%,Medium,0.0637158143861076, https://leetcode.com/problems/exam-room,Not Done
36,Valid Sudoku,48.7%,Medium,0.0635021985093634, https://leetcode.com/problems/valid-sudoku,Not Done
68,Text Justification,27.7%,Hard,0.0611603618716958, https://leetcode.com/problems/text-justification,Not Done
353,Design Snake Game,34.2%,Medium,0.0605328492288423, https://leetcode.com/problems/design-snake-game,Not Done
49,Group Anagrams,56.9%,Medium,0.0591943474367346, https://leetcode.com/problems/group-anagrams,Not Done
2,Add Two Numbers,33.9%,Medium,0.0590625956408376, https://leetcode.com/problems/add-two-numbers,Not Done
279,Perfect Squares,47.4%,Medium,0.0562578026500943, https://leetcode.com/problems/perfect-squares,Not Done
1229,Meeting Scheduler,52.7%,Medium,0.0535603238337368, https://leetcode.com/problems/meeting-scheduler,Not Done
679,24 Game,46.4%,Hard,0.0534172374969858, https://leetcode.com/problems/24-game,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0522994994028489, https://leetcode.com/problems/maximal-rectangle,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0520342450174788, https://leetcode.com/problems/trapping-rain-water,Not Done
1,Two Sum,45.6%,Easy,0.0512070908527417, https://leetcode.com/problems/two-sum,Not Done
282,Expression Add Operators,35.5%,Hard,0.0499826408677354, https://leetcode.com/problems/expression-add-operators,Not Done
269,Alien Dictionary,33.3%,Hard,0.0499791705746588, https://leetcode.com/problems/alien-dictionary,Not Done
438,Find All Anagrams in a String,43.3%,Medium,0.0497417036961316, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
969,Pancake Sorting,67.5%,Medium,0.0490896101965235, https://leetcode.com/problems/pancake-sorting,Not Done
759,Employee Free Time,66.3%,Hard,0.0486122440550937, https://leetcode.com/problems/employee-free-time,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.048533985055329, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
130,Surrounded Regions,28.1%,Medium,0.0470260020114069, https://leetcode.com/problems/surrounded-regions,Not Done
359,Logger Rate Limiter,70.8%,Easy,0.0467617659080393, https://leetcode.com/problems/logger-rate-limiter,Not Done
493,Reverse Pairs,25.2%,Hard,0.0431101236537285, https://leetcode.com/problems/reverse-pairs,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0414997309067527, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
126,Word Ladder II,22.1%,Hard,0.0400409360555613, https://leetcode.com/problems/word-ladder-ii,Not Done
337,House Robber III,50.6%,Medium,0.0382537079594693, https://leetcode.com/problems/house-robber-iii,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.0379552200004355, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
992,Subarrays with K Different Integers,48.6%,Hard,0.0370069981086968, https://leetcode.com/problems/subarrays-with-k-different-integers,Not Done
127,Word Ladder,29.6%,Medium,0.0367959097020458, https://leetcode.com/problems/word-ladder,Not Done
729,My Calendar I,51.8%,Medium,0.036433902246102, https://leetcode.com/problems/my-calendar-i,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.0355198272485353, https://leetcode.com/problems/find-median-from-data-stream,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0345656531122808, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
173,Binary Search Tree Iterator,56.6%,Medium,0.0335320602905746, https://leetcode.com/problems/binary-search-tree-iterator,Not Done
567,Permutation in String,44.4%,Medium,0.0333240757315918, https://leetcode.com/problems/permutation-in-string,Not Done
694,Number of Distinct Islands,56.0%,Medium,0.0327898228229908, https://leetcode.com/problems/number-of-distinct-islands,Not Done
301,Remove Invalid Parentheses,43.3%,Hard,0.0322608622182214, https://leetcode.com/problems/remove-invalid-parentheses,Not Done
1146,Snapshot Array,37.0%,Medium,0.0317991816929387, https://leetcode.com/problems/snapshot-array,Not Done
1091,Shortest Path in Binary Matrix,38.2%,Medium,0.0316482109507817, https://leetcode.com/problems/shortest-path-in-binary-matrix,Not Done
228,Summary Ranges,39.5%,Medium,0.0315732619160902, https://leetcode.com/problems/summary-ranges,Not Done
