ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
757,Set Intersection Size At Least Two,40.1%,Hard,0.5396314899631808, https://leetcode.com/problems/set-intersection-size-at-least-two,Not Done
529,Minesweeper,59.1%,Medium,0.4349614506910173, https://leetcode.com/problems/minesweeper,Not Done
305,Number of Islands II,40.1%,Hard,0.3271409091923286, https://leetcode.com/problems/number-of-islands-ii,Not Done
1136,Parallel Courses,61.1%,Hard,0.2858421455297737, https://leetcode.com/problems/parallel-courses,Not Done
773,Sliding Puzzle,59.3%,Hard,0.2632906193276217, https://leetcode.com/problems/sliding-puzzle,Not Done
527,Word Abbreviation,54.3%,Hard,0.2436220826577504, https://leetcode.com/problems/word-abbreviation,Not Done
427,Construct Quad Tree,61.4%,Medium,0.1358015411590617, https://leetcode.com/problems/construct-quad-tree,Not Done
1188,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue,Not Done
267,Palindrome Permutation II,36.4%,Medium,0.1034513373880247, https://leetcode.com/problems/palindrome-permutation-ii,Not Done
1281,Subtract the Product and Sum of Digits of an Integer,85.2%,Easy,0.0941379198274643, https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer,Not Done
128,Longest Consecutive Sequence,45.1%,Hard,0.0786603197723907, https://leetcode.com/problems/longest-consecutive-sequence,Not Done
969,Pancake Sorting,67.5%,Medium,0.0490896101965235, https://leetcode.com/problems/pancake-sorting,Not Done
2,Add Two Numbers,33.9%,Medium,0.033650830145699, https://leetcode.com/problems/add-two-numbers,Not Done
228,Summary Ranges,39.5%,Medium,0.0315732619160902, https://leetcode.com/problems/summary-ranges,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum,Not Done
56,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals,Not Done
445,Add Two Numbers II,54.5%,Medium,0.0275330943599893, https://leetcode.com/problems/add-two-numbers-ii,Not Done
1038,Binary Search Tree to Greater Sum Tree,80.8%,Medium,0.0254466656611642, https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree,Not Done
149,Max Points on a Line,16.9%,Hard,0.0248459985865308, https://leetcode.com/problems/max-points-on-a-line,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0243155336983582, https://leetcode.com/problems/product-of-array-except-self,Not Done
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0242289259743798, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters,Not Done
426,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0242142581205946, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list,Not Done
282,Expression Add Operators,35.5%,Hard,0.0225234746670829, https://leetcode.com/problems/expression-add-operators,Not Done
74,Search a 2D Matrix,36.5%,Medium,0.0208969758772161, https://leetcode.com/problems/search-a-2d-matrix,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
146,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache,Not Done
1,Two Sum,45.6%,Easy,0.0164875806374676, https://leetcode.com/problems/two-sum,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0158537757721772, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
85,Maximal Rectangle,37.7%,Hard,0.0133335308694651, https://leetcode.com/problems/maximal-rectangle,Not Done
57,Insert Interval,33.5%,Hard,0.0131192435924988, https://leetcode.com/problems/insert-interval,Not Done
852,Peak Index in a Mountain Array,71.6%,Easy,0.0126184639592115, https://leetcode.com/problems/peak-index-in-a-mountain-array,Not Done
227,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii,Not Done
986,Interval List Intersections,67.3%,Medium,0.0119690237953207, https://leetcode.com/problems/interval-list-intersections,Not Done
130,Surrounded Regions,28.1%,Medium,0.0119654433856753, https://leetcode.com/problems/surrounded-regions,Not Done
211,Add and Search Word - Data structure design,38.1%,Medium,0.0104385081439234, https://leetcode.com/problems/add-and-search-word-data-structure-design,Not Done
72,Edit Distance,44.8%,Hard,0.0100176144523177, https://leetcode.com/problems/edit-distance,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0097625246556591, https://leetcode.com/problems/trapping-rain-water,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0095319510098118, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
46,Permutations,63.5%,Medium,0.0094618031372884, https://leetcode.com/problems/permutations,Not Done
32,Longest Valid Parentheses,28.4%,Hard,0.0091116803512558, https://leetcode.com/problems/longest-valid-parentheses,Not Done
438,Find All Anagrams in a String,43.3%,Medium,0.0081268224604974, https://leetcode.com/problems/find-all-anagrams-in-a-string,Not Done
54,Spiral Matrix,34.1%,Medium,0.006594155117513, https://leetcode.com/problems/spiral-matrix,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0062080671193743, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
127,Word Ladder,29.6%,Medium,0.005979091056058, https://leetcode.com/problems/word-ladder,Not Done
39,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum,Not Done
152,Maximum Product Subarray,31.7%,Medium,0.005590510716885, https://leetcode.com/problems/maximum-product-subarray,Not Done
300,Longest Increasing Subsequence,42.6%,Medium,0.0052645554600032, https://leetcode.com/problems/longest-increasing-subsequence,Not Done
