ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
427,Construct Quad Tree,61.4%,Medium,3.202577767066628, https://leetcode.com/problems/construct-quad-tree,Not Done
291,Word Pattern II,43.4%,Hard,3.0090998629797148, https://leetcode.com/problems/word-pattern-ii,Not Done
529,Minesweeper,59.1%,Medium,2.8156219588928013, https://leetcode.com/problems/minesweeper,Not Done
305,Number of Islands II,40.1%,Hard,2.7873368509214487, https://leetcode.com/problems/number-of-islands-ii,Not Done
741,Cherry Pickup,33.9%,Hard,2.728198259587133, https://leetcode.com/problems/cherry-pickup,Not Done
757,Set Intersection Size At Least Two,40.1%,Hard,2.53472035550022, https://leetcode.com/problems/set-intersection-size-at-least-two,Not Done
332,Reconstruct Itinerary,36.7%,Medium,2.473063947812065, https://leetcode.com/problems/reconstruct-itinerary,Not Done
341,Flatten Nested List Iterator,52.9%,Medium,2.4575427125463496, https://leetcode.com/problems/flatten-nested-list-iterator,Not Done
68,Text Justification,27.7%,Hard,2.4560547921829063, https://leetcode.com/problems/text-justification,Not Done
465,Optimal Account Balancing,46.9%,Hard,2.3937825793600807, https://leetcode.com/problems/optimal-account-balancing,Not Done
146,LRU Cache,33.2%,Medium,2.2330774739793853, https://leetcode.com/problems/lru-cache,Not Done
262,Trips and Users,32.7%,Hard,2.179117086708829, https://leetcode.com/problems/trips-and-users,Not Done
56,Merge Intervals,39.3%,Medium,1.985639182621916, https://leetcode.com/problems/merge-intervals,Not Done
267,Palindrome Permutation II,36.4%,Medium,1.9644220544755755, https://leetcode.com/problems/palindrome-permutation-ii,Not Done
36,Valid Sudoku,48.7%,Medium,1.96380460343855, https://leetcode.com/problems/valid-sudoku,Not Done
655,Print Binary Tree,55.0%,Medium,1.9142294173827312, https://leetcode.com/problems/print-binary-tree,Not Done
227,Basic Calculator II,36.9%,Medium,1.831507899537194, https://leetcode.com/problems/basic-calculator-ii,Not Done
42,Trapping Rain Water,48.9%,Hard,1.8228811997291603, https://leetcode.com/problems/trapping-rain-water,Not Done
200,Number of Islands,46.8%,Medium,1.809092583045218, https://leetcode.com/problems/number-of-islands,Not Done
986,Interval List Intersections,67.3%,Medium,1.7189319563632988, https://leetcode.com/problems/interval-list-intersections,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,1.6607276556789818, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
253,Meeting Rooms II,45.7%,Medium,1.6305479346444065, https://leetcode.com/problems/meeting-rooms-ii,Not Done
1,Two Sum,45.6%,Easy,1.6253762244734984, https://leetcode.com/problems/two-sum,Not Done
428,Serialize and Deserialize N-ary Tree,59.4%,Hard,1.619513564422842, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,1.5587288098338494, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
773,Sliding Puzzle,59.3%,Hard,1.5000532464765486, https://leetcode.com/problems/sliding-puzzle,Not Done
359,Logger Rate Limiter,70.8%,Easy,1.4642891467178614, https://leetcode.com/problems/logger-rate-limiter,Not Done
772,Basic Calculator III,41.3%,Hard,1.324801306769502, https://leetcode.com/problems/basic-calculator-iii,Not Done
166,Fraction to Recurring Decimal,21.6%,Medium,1.3061986410149269, https://leetcode.com/problems/fraction-to-recurring-decimal,Not Done
780,Reaching Points,29.4%,Hard,1.277920355988899, https://leetcode.com/problems/reaching-points,Not Done
239,Sliding Window Maximum,43.0%,Hard,1.2321602024355651, https://leetcode.com/problems/sliding-window-maximum,Not Done
224,Basic Calculator,36.8%,Hard,1.204714054955524, https://leetcode.com/problems/basic-calculator,Not Done
49,Group Anagrams,56.9%,Medium,1.190205287799969, https://leetcode.com/problems/group-anagrams,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,1.1735261038835452, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
212,Word Search II,34.9%,Hard,1.1712646007295122, https://leetcode.com/problems/word-search-ii,Not Done
