ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
829,Consecutive Numbers Sum,37.5%,Hard,0.534071766545536, https://leetcode.com/problems/consecutive-numbers-sum,Not Done
761,Special Binary String,54.7%,Hard,0.3007541540191337, https://leetcode.com/problems/special-binary-string,Not Done
42,Trapping Rain Water,48.9%,Hard,0.0674365414927314, https://leetcode.com/problems/trapping-rain-water,Not Done
362,Design Hit Counter,63.7%,Medium,0.0562296764986782, https://leetcode.com/problems/design-hit-counter,Not Done
735,Asteroid Collision,41.0%,Medium,0.0547915488296824, https://leetcode.com/problems/asteroid-collision,Not Done
1353,Maximum Number of Events That Can Be Attended,30.5%,Medium,0.0542874128378284, https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Not Done
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.0418033698043605, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60,Not Done
697,Degree of an Array,53.8%,Easy,0.0322608622182214, https://leetcode.com/problems/degree-of-an-array,Not Done
1,Two Sum,45.6%,Easy,0.0291259161240908, https://leetcode.com/problems/two-sum,Not Done
15,3Sum,26.8%,Medium,0.0266103130111179, https://leetcode.com/problems/3sum,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.0261871234163406, https://leetcode.com/problems/validate-binary-search-tree,Not Done
377,Combination Sum IV,45.3%,Medium,0.0208775850215552, https://leetcode.com/problems/combination-sum-iv,Not Done
253,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii,Not Done
54,Spiral Matrix,34.1%,Medium,0.0147761677076887, https://leetcode.com/problems/spiral-matrix,Not Done
76,Minimum Window Substring,34.6%,Hard,0.0139667074817081, https://leetcode.com/problems/minimum-window-substring,Not Done
273,Integer to English Words,27.1%,Hard,0.0120810892503397, https://leetcode.com/problems/integer-to-english-words,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0105758917590581, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
322,Coin Change,35.5%,Medium,0.0090443788066599, https://leetcode.com/problems/coin-change,Not Done
238,Product of Array Except Self,60.1%,Medium,0.0088218568602167, https://leetcode.com/problems/product-of-array-except-self,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
49,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
200,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.0061910118808252, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
973,K Closest Points to Origin,63.8%,Medium,0.0057736880944263, https://leetcode.com/problems/k-closest-points-to-origin,Not Done
206,Reverse Linked List,62.5%,Easy,0.0052570214528016, https://leetcode.com/problems/reverse-linked-list,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0047725193990346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
155,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack,Not Done
146,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.004247643638268, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
56,Merge Intervals,39.3%,Medium,0.0034728286335985, https://leetcode.com/problems/merge-intervals,Not Done
101,Symmetric Tree,46.8%,Easy,0.0034057078469827, https://leetcode.com/problems/symmetric-tree,Not Done
14,Longest Common Prefix,35.4%,Easy,0.0033203317629841, https://leetcode.com/problems/longest-common-prefix,Not Done
20,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
53,Maximum Subarray,46.5%,Easy,0.0021670828721507, https://leetcode.com/problems/maximum-subarray,Not Done
