ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
1,Two Sum,45.6%,Easy,1.0504031269795928, https://leetcode.com/problems/two-sum,Not Done
146,LRU Cache,33.2%,Medium,0.926846943318982, https://leetcode.com/problems/lru-cache,Not Done
479,Largest Palindrome Product,29.0%,Hard,0.8032907596583713, https://leetcode.com/problems/largest-palindrome-product,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.7853099973687983, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.7610346403858894, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
2,Add Two Numbers,33.9%,Medium,0.6795404182689078, https://leetcode.com/problems/add-two-numbers,Not Done
5,Longest Palindromic Substring,29.5%,Medium,0.6502013445328179, https://leetcode.com/problems/longest-palindromic-substring,Not Done
13,Roman to Integer,55.7%,Easy,0.6096336377374073, https://leetcode.com/problems/roman-to-integer,Not Done
384,Shuffle an Array,52.8%,Medium,0.4860774540767966, https://leetcode.com/problems/shuffle-an-array,Not Done
387,First Unique Character in a String,53.4%,Easy,0.4855078157817007, https://leetcode.com/problems/first-unique-character-in-a-string,Not Done
23,Merge k Sorted Lists,40.2%,Hard,0.4441878132830255, https://leetcode.com/problems/merge-k-sorted-lists,Not Done
238,Product of Array Except Self,60.1%,Medium,0.4040210645359307, https://leetcode.com/problems/product-of-array-except-self,Not Done
205,Isomorphic Strings,39.8%,Easy,0.3839990482132866, https://leetcode.com/problems/isomorphic-strings,Not Done
295,Find Median from Data Stream,44.3%,Hard,0.3488703391868487, https://leetcode.com/problems/find-median-from-data-stream,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.3224453217249434, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
15,3Sum,26.8%,Medium,0.3218570242502425, https://leetcode.com/problems/3sum,Not Done
206,Reverse Linked List,62.5%,Easy,0.32033584826897, https://leetcode.com/problems/reverse-linked-list,Not Done
139,Word Break,40.1%,Medium,0.2923270241489888, https://leetcode.com/problems/word-break,Not Done
322,Coin Change,35.5%,Medium,0.2727167684165738, https://leetcode.com/problems/coin-change,Not Done
75,Sort Colors,47.3%,Medium,0.2677277368023262, https://leetcode.com/problems/sort-colors,Not Done
7,Reverse Integer,25.8%,Easy,0.2635507930508001, https://leetcode.com/problems/reverse-integer,Not Done
12,Integer to Roman,55.1%,Medium,0.257180871098171, https://leetcode.com/problems/integer-to-roman,Not Done
1168,Optimize Water Distribution in a Village,60.9%,Hard,0.2466415225815136, https://leetcode.com/problems/optimize-water-distribution-in-a-village,Not Done
200,Number of Islands,46.8%,Medium,0.2444449971304404, https://leetcode.com/problems/number-of-islands,Not Done
175,Combine Two Tables,60.8%,Easy,0.2362329359319946, https://leetcode.com/problems/combine-two-tables,Not Done
22,Generate Parentheses,62.7%,Medium,0.2361040353437801, https://leetcode.com/problems/generate-parentheses,Not Done
20,Valid Parentheses,39.0%,Easy,0.2360297500996236, https://leetcode.com/problems/valid-parentheses,Not Done
49,Group Anagrams,56.9%,Medium,0.2335579537959246, https://leetcode.com/problems/group-anagrams,Not Done
95,Unique Binary Search Trees II,40.6%,Medium,0.2314087308508338, https://leetcode.com/problems/unique-binary-search-trees-ii,Not Done
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.220651159985368, https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Not Done
204,Count Primes,31.5%,Easy,0.2185195800671282, https://leetcode.com/problems/count-primes,Not Done
212,Word Search II,34.9%,Hard,0.2120737658512841, https://leetcode.com/problems/word-search-ii,Not Done
273,Integer to English Words,27.1%,Hard,0.211005213669841, https://leetcode.com/problems/integer-to-english-words,Not Done
53,Maximum Subarray,46.5%,Easy,0.2061683441021684, https://leetcode.com/problems/maximum-subarray,Not Done
362,Design Hit Counter,63.7%,Medium,0.2001110983574529, https://leetcode.com/problems/design-hit-counter,Not Done
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.1999722566498638, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Not Done
240,Search a 2D Matrix II,43.2%,Medium,0.199673934851342, https://leetcode.com/problems/search-a-2d-matrix-ii,Not Done
160,Intersection of Two Linked Lists,40.6%,Easy,0.1812626708782031, https://leetcode.com/problems/intersection-of-two-linked-lists,Not Done
46,Permutations,63.5%,Medium,0.1786554970305845, https://leetcode.com/problems/permutations,Not Done
316,Remove Duplicate Letters,35.8%,Hard,0.1692074260063661, https://leetcode.com/problems/remove-duplicate-letters,Not Done
102,Binary Tree Level Order Traversal,54.6%,Medium,0.1577560793938668, https://leetcode.com/problems/binary-tree-level-order-traversal,Not Done
297,Serialize and Deserialize Binary Tree,47.5%,Hard,0.1557383253942016, https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Not Done
669,Trim a Binary Search Tree,63.0%,Easy,0.1544156857914433, https://leetcode.com/problems/trim-a-binary-search-tree,Not Done
141,Linked List Cycle,41.1%,Easy,0.1519593115011164, https://leetcode.com/problems/linked-list-cycle,Not Done
56,Merge Intervals,39.3%,Medium,0.1506602748874898, https://leetcode.com/problems/merge-intervals,Not Done
215,Kth Largest Element in an Array,55.4%,Medium,0.1468246397351854, https://leetcode.com/problems/kth-largest-element-in-an-array,Not Done
283,Move Zeroes,57.8%,Easy,0.1444351280411623, https://leetcode.com/problems/move-zeroes,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.1416197608332402, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
17,Letter Combinations of a Phone Number,46.8%,Medium,0.1414394798141693, https://leetcode.com/problems/letter-combinations-of-a-phone-number,Not Done
77,Combinations,54.7%,Medium,0.13693231153364, https://leetcode.com/problems/combinations,Not Done
9,Palindrome Number,48.4%,Easy,0.1333857792278328, https://leetcode.com/problems/palindrome-number,Not Done
169,Majority Element,58.7%,Easy,0.1282449118296849, https://leetcode.com/problems/majority-element,Not Done
274,H-Index,36.1%,Medium,0.1235184057411276, https://leetcode.com/problems/h-index,Not Done
217,Contains Duplicate,56.0%,Easy,0.1230533923428065, https://leetcode.com/problems/contains-duplicate,Not Done
42,Trapping Rain Water,48.9%,Hard,0.1176683633324231, https://leetcode.com/problems/trapping-rain-water,Not Done
34,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.1165787774360674, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Not Done
162,Find Peak Element,43.3%,Medium,0.1162765141658937, https://leetcode.com/problems/find-peak-element,Not Done
284,Peeking Iterator,45.7%,Medium,0.114903873704726, https://leetcode.com/problems/peeking-iterator,Not Done
138,Copy List with Random Pointer,36.4%,Medium,0.1131068984432692, https://leetcode.com/problems/copy-list-with-random-pointer,Not Done
93,Restore IP Addresses,35.6%,Medium,0.112427347695069, https://leetcode.com/problems/restore-ip-addresses,Not Done
79,Word Search,35.6%,Medium,0.1121328507765556, https://leetcode.com/problems/word-search,Not Done
18,4Sum,33.7%,Medium,0.1088754577652707, https://leetcode.com/problems/4sum,Not Done
503,Next Greater Element II,56.5%,Medium,0.1081433006930573, https://leetcode.com/problems/next-greater-element-ii,Not Done
450,Delete Node in a BST,43.1%,Medium,0.1058965649871995, https://leetcode.com/problems/delete-node-in-a-bst,Not Done
108,Convert Sorted Array to Binary Search Tree,57.9%,Easy,0.1026736895071526, https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.1008630493986932, https://leetcode.com/problems/top-k-frequent-elements,Not Done
168,Excel Sheet Column Title,31.1%,Easy,0.0997636823975672, https://leetcode.com/problems/excel-sheet-column-title,Not Done
