ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
487,Max Consecutive Ones II,48.5%,Medium,0.0364448383447941, https://leetcode.com/problems/max-consecutive-ones-ii,Not Done
281,Zigzag Iterator,58.4%,Medium,0.0349260346058104, https://leetcode.com/problems/zigzag-iterator,Not Done
283,Move Zeroes,57.8%,Easy,0.024557850781664, https://leetcode.com/problems/move-zeroes,Not Done
567,Permutation in String,44.4%,Medium,0.0141896669575176, https://leetcode.com/problems/permutation-in-string,Not Done
150,Evaluate Reverse Polish Notation,36.3%,Medium,0.0135549347517152, https://leetcode.com/problems/evaluate-reverse-polish-notation,Not Done
56,Merge Intervals,39.3%,Medium,0.0131862797400906, https://leetcode.com/problems/merge-intervals,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0093414971691129, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
279,Perfect Squares,47.4%,Medium,0.0087816151603847, https://leetcode.com/problems/perfect-squares,Not Done
98,Validate Binary Search Tree,27.8%,Medium,0.0063060747091605, https://leetcode.com/problems/validate-binary-search-tree,Not Done
21,Merge Two Sorted Lists,53.5%,Easy,0.0048491474330098, https://leetcode.com/problems/merge-two-sorted-lists,Not Done
146,LRU Cache,33.2%,Medium,0.0043706363281089, https://leetcode.com/problems/lru-cache,Not Done
22,Generate Parentheses,62.7%,Medium,0.0041523987827989, https://leetcode.com/problems/generate-parentheses,Not Done
125,Valid Palindrome,36.7%,Easy,0.0037979536727587, https://leetcode.com/problems/valid-palindrome,Not Done
49,Group Anagrams,56.9%,Medium,0.0036347154963361, https://leetcode.com/problems/group-anagrams,Not Done
33,Search in Rotated Sorted Array,34.5%,Medium,0.0031000567336666, https://leetcode.com/problems/search-in-rotated-sorted-array,Not Done
88,Merge Sorted Array,39.4%,Easy,0.0028855884977203, https://leetcode.com/problems/merge-sorted-array,Not Done
206,Reverse Linked List,62.5%,Easy,0.0022317701613936, https://leetcode.com/problems/reverse-linked-list,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.0014852223137141, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
