ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
599,Minimum Index Sum of Two Lists,50.7%,Easy,2.30819311902822, https://leetcode.com/problems/minimum-index-sum-of-two-lists,Not Done
564,Find the Closest Palindrome,19.7%,Hard,1.686299975418363, https://leetcode.com/problems/find-the-closest-palindrome,Not Done
273,Integer to English Words,27.1%,Hard,1.064406831808506, https://leetcode.com/problems/integer-to-english-words,Not Done
332,Reconstruct Itinerary,36.7%,Medium,1.0408834009118708, https://leetcode.com/problems/reconstruct-itinerary,Not Done
355,Design Twitter,30.3%,Medium,1.0346399906708852, https://leetcode.com/problems/design-twitter,Not Done
56,Merge Intervals,39.3%,Medium,0.987222928819735, https://leetcode.com/problems/merge-intervals,Not Done
49,Group Anagrams,56.9%,Medium,0.4375016004832723, https://leetcode.com/problems/group-anagrams,Not Done
692,Top K Frequent Words,51.8%,Medium,0.4350739604303181, https://leetcode.com/problems/top-k-frequent-words,Not Done
139,Word Break,40.1%,Medium,0.3578156451548629, https://leetcode.com/problems/word-break,Not Done
218,The Skyline Problem,34.6%,Hard,0.3456466128972542, https://leetcode.com/problems/the-skyline-problem,Not Done
347,Top K Frequent Elements,61.2%,Medium,0.3398753854298785, https://leetcode.com/problems/top-k-frequent-elements,Not Done
1126,Active Businesses,68.5%,Medium,0.3208150073042144, https://leetcode.com/problems/active-businesses,Not Done
528,Random Pick with Weight,43.9%,Medium,0.3174004377809195, https://leetcode.com/problems/random-pick-with-weight,Not Done
253,Meeting Rooms II,45.7%,Medium,0.29470460870072, https://leetcode.com/problems/meeting-rooms-ii,Not Done
127,Word Ladder,29.6%,Medium,0.2906760866643856, https://leetcode.com/problems/word-ladder,Not Done
1333,Filter Restaurants by Vegan-Friendly & Price and Distance,54.6%,Medium,0.263911853117869, https://leetcode.com/problems/filter-restaurants-by-vegan-friendly-price-and-distance,Not Done
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.2022757868444057, https://leetcode.com/problems/longest-substring-without-repeating-characters,Not Done
14,Longest Common Prefix,35.4%,Easy,0.1714957284786035, https://leetcode.com/problems/longest-common-prefix,Not Done
205,Isomorphic Strings,39.8%,Easy,0.1703978238463443, https://leetcode.com/problems/isomorphic-strings,Not Done
126,Word Ladder II,22.1%,Hard,0.1513583795617279, https://leetcode.com/problems/word-ladder-ii,Not Done
1,Two Sum,45.6%,Easy,0.1394299376526441, https://leetcode.com/problems/two-sum,Not Done
22,Generate Parentheses,62.7%,Medium,0.1241728337551544, https://leetcode.com/problems/generate-parentheses,Not Done
207,Course Schedule,43.1%,Medium,0.1172576149620785, https://leetcode.com/problems/course-schedule,Not Done
192,Word Frequency,25.8%,Medium,0.1018691733172172, https://leetcode.com/problems/word-frequency,Not Done
380,Insert Delete GetRandom O(1),47.5%,Medium,0.0850973826412386, https://leetcode.com/problems/insert-delete-getrandom-o1,Not Done
784,Letter Case Permutation,64.6%,Medium,0.0787033338274549, https://leetcode.com/problems/letter-case-permutation,Not Done
39,Combination Sum,56.1%,Medium,0.0503039831685079, https://leetcode.com/problems/combination-sum,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum,Not Done
206,Reverse Linked List,62.5%,Easy,0.0208642746707607, https://leetcode.com/problems/reverse-linked-list,Not Done
349,Intersection of Two Arrays,62.5%,Easy,0.0162399815984884, https://leetcode.com/problems/intersection-of-two-arrays,Not Done
242,Valid Anagram,56.9%,Easy,0.0093226281162749, https://leetcode.com/problems/valid-anagram,Not Done
394,Decode String,50.0%,Medium,0.0081666440002722, https://leetcode.com/problems/decode-string,Not Done
151,Reverse Words in a String,21.9%,Medium,0.0034560919159889, https://leetcode.com/problems/reverse-words-in-a-string,Not Done
381,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Not Done
443,String Compression,41.3%,Easy,0.0, https://leetcode.com/problems/string-compression,Not Done
1436,Destination City,77.3%,Easy,0.0, https://leetcode.com/problems/destination-city,Not Done
1455,Check If a Word Occurs As a Prefix of Any Word in a Sentence,64.6%,Easy,0.0, https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,Not Done
