ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link,Status
42,Trapping Rain Water,48.9%,Hard,0.2080272315165578, https://leetcode.com/problems/trapping-rain-water,Not Done
52,N-Queens II,57.9%,Hard,0.2034092029429234, https://leetcode.com/problems/n-queens-ii,Not Done
255,Verify Preorder Sequence in Binary Search Tree,45.7%,Medium,0.1348842676899421, https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,Not Done
251,Flatten 2D Vector,45.7%,Medium,0.0663593324369607, https://leetcode.com/problems/flatten-2d-vector,Not Done
317,Shortest Distance from All Buildings,41.4%,Hard,0.0379552200004355, https://leetcode.com/problems/shortest-distance-from-all-buildings,Not Done
109,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.0322031404946347, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Not Done
206,Reverse Linked List,62.5%,Easy,0.0208642746707607, https://leetcode.com/problems/reverse-linked-list,Not Done
146,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache,Not Done
20,Valid Parentheses,39.0%,Easy,0.0091706953260616, https://leetcode.com/problems/valid-parentheses,Not Done
4,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays,Not Done
210,Course Schedule II,40.7%,Medium,0.0076129215755619, https://leetcode.com/problems/course-schedule-ii,Not Done
200,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands,Not Done
22,Generate Parentheses,62.7%,Medium,0.0, https://leetcode.com/problems/generate-parentheses,Not Done
125,Valid Palindrome,36.7%,Easy,0.0, https://leetcode.com/problems/valid-palindrome,Not Done
155,Min Stack,44.5%,Easy,0.0, https://leetcode.com/problems/min-stack,Not Done
168,Excel Sheet Column Title,31.1%,Easy,0.0, https://leetcode.com/problems/excel-sheet-column-title,Not Done
169,Majority Element,58.7%,Easy,0.0, https://leetcode.com/problems/majority-element,Not Done
207,Course Schedule,43.1%,Medium,0.0, https://leetcode.com/problems/course-schedule,Not Done
229,Majority Element II,35.6%,Medium,0.0, https://leetcode.com/problems/majority-element-ii,Not Done
239,Sliding Window Maximum,43.0%,Hard,0.0, https://leetcode.com/problems/sliding-window-maximum,Not Done
261,Graph Valid Tree,42.2%,Medium,0.0, https://leetcode.com/problems/graph-valid-tree,Not Done
